Subject;Activity;Verb phrases;Noun phrases;ActivityCombined;VerbPhrases;NounPhrases;ProperNouns
Production;Pack and label product;packs|labels;"Production;product";Production Pack and label product;;Production Pack|label product;
Production;Transport product to the warehouse;transports;"Production;product to the warehouse";Production Transport product to the warehouse;;Production Transport product to the warehouse;
Production;Perform follow-up production;performs;"Production;follow-up production";Production Perform follow-up production;Performs follow;Production|production;
Teacher;Check process model;checks;"Teacher;process model";Teacher Check process model;;Teacher Check process model;
Teacher;Assign penalty points;assigns;"Teacher;penalty points";Teacher Assign penalty points;;Teacher Assign penalty points;
Teacher;Check process assign points;checks;"Teacher;process|points";Teacher Check process assign points;assigns;Teacher Check process|points;
Teacher;Consult project, check progress;consults;"Teacher;project|progress";Teacher Consult project, check progress;checks;Teacher Consult project|progress;
Team;Agree on team field;agrees on;"Team;team field";Team Agree on team field;Agrees on;Team|team field;
Team;Analyse field and identify process;"analyses;identifies";"Team;field;process";Team Analyse field and identify process;identifies;Team Analyse field|process;
Team;Assign roles in team;assigns;"Team;roles in team";Team Assign roles in team;;Team Assign roles in team;
Team;Present the project;presents;"Team;project";Team Present the project;;Team Present the project;
Student;Join team;joins;"Student;team";Student Join team;;Student Join team;
Student;Create one process model;creates;"Student;process model";Student Create one process model;Creates;Student|process model;
Student;Fix process until next session;fixes;"Student;process until next session";Student Fix process until next session;;Student Fix process until next session;
Student;Extend their process to L 2,3;extends;"Student;process to L 2,3";Student Extend their process to L 2,3;Extends;Student|process to L 2,3;
Student;perform work according to the role;performs;"Student;work according to the role";Student perform work according to the role;performs|accords to;Student|work|role;
Client;Deposit amount of money;deposits;"Client;amount of money";Client Deposit amount of money;;Client Deposit amount of money;
Client;Withdraw amount of money;withdraws;"Client;amount of money";Client Withdraw amount of money;Withdraws;Client|amount of money;
Client;Transfer amount of money;transfers;"Client;amount of money";Client Transfer amount of money;;Client Transfer amount of money;
Client;Provide Further Information;provides;"Client;Further Information";Client Provide Further Information;Provides;Client|Further Information;
Client;Cancel the order;cancels;"Client;order";Client Cancel the order;Cancels;Client|order;
Client;Receive invoice;receives;"Client;invoice";Client Receive invoice;Receives;Client|invoice;
Bank Agent;Enter the required transaction details;enters;"Bank Agent;transaction details";Bank Agent Enter the required transaction details;Enters;Bank Agent|required transaction details;
Bank Agent;Enter client's account details;enters;"Bank Agent;client's account details";Bank Agent Enter client's account details;;Bank Agent Enter client's account details;
Bank Agent;Notify the client of problem;notifies;"Bank Agent;client of problem";Bank Agent Notify the client of problem;Notifies;Bank Agent|client of problem;
Bank Agent;Notify client of complete transaction;notifies;"Bank Agent;client of complete transaction";Bank Agent Notify client of complete transaction;;Bank Agent Notify client of complete transaction;
Bank System;Check Client's account details;checks;"Bank System;Client's account details";Bank System Check Client's account details;;Bank System Check Client's account details;
Bank System;Add amount of money deposit to account;adds;"Bank System;amount of money deposit";Bank System Add amount of money deposit to account;Adds|accounts;Bank System|amount of money deposit to;
Bank System;transfer amount of money to account;accounts;"Bank System;transfer amount of money";Bank System transfer amount of money to account;accounts;Bank System transfer amount of money to;
Bank System;Check account balance;checks;"Bank System;account balance";Bank System Check account balance;;Bank System Check account balance;
Bank System;Withdraw amount from account;withdraws;"Bank System;amount from account";Bank System Withdraw amount from account;Withdraws;Bank System|amount from account;
Bank System;Issue invoice;issues;"Bank System;invoice";Bank System Issue invoice;;Bank System Issue invoice;
Business Analyst;Collect data conduct business analysis regarding customer feedback;collects;"Business Analyst;data conduct business analysis regarding customer feedback";Business Analyst Collect data conduct business analysis regarding customer feedback;conducts|regards;Business Analyst Collect data|business analysis|customer feedback;
Business Analyst;Check design and provide feedback;"checks;provides";"Business Analyst;design;feedback";Business Analyst Check design and provide feedback;provides;Business Analyst Check design|feedback;
Web Designer;Change design;changes;"Web Designer;design";Web Designer Change design;;Web Designer Change design;
PHP/HTML/CSS Specialist;Integrate with the overall implemenation;integrates with;"PHP/HTML/CSS Specialist;overall implemenation";PHP/HTML/CSS Specialist Integrate with the overall implemenation;Integrates with;PHP|HTML|CSS Specialist|overall implemenation;
PHP/HTML/CSS Specialist;Adjust according to test results;adjusts according to;"PHP/HTML/CSS Specialist;test results";PHP/HTML/CSS Specialist Adjust according to test results;accords to;PHP|HTML|CSS Specialist Adjust|test results;
Tester;Test the final website to make sure everything is going well;tests;"Tester;final website";Tester Test the final website to make sure everything is going well;makes|goes;Tester Test the final website to;
Tester;provide test results;provides;"Tester;test results";Tester provide test results;provides;Tester|test results;
Business Analyst;Collect data conduct business analysis regarding customer service;collects;"Business Analyst;data conduct business analysis regarding customer service";Business Analyst Collect data conduct business analysis regarding customer service;conducts|regards;Business Analyst Collect data|business analysis|customer service;
Marketing Manager;Create and provide information about the company;creates|provides;"Marketing Manager;information about the company";Marketing Manager Create and provide information about the company;Creates|provides;Marketing Manager|information about the company;
IT Staff Member;Create community groups on Facebook, Twitter and Myspace;creates;"IT Staff Member;community groups on Facebook,Twitter and Myspace";IT Staff Member Create community groups on Facebook, Twitter and Myspace;Creates;IT Staff Member|community groups on Facebook|Twitter|Myspace;
IT Staff Member;Add provided information to the created groups;adds provided;"IT Staff Member;information";IT Staff Member Add provided information to the created groups;provides|creates;IT Staff Member Add|information|groups;
IT Staff Member;Add the provided information to the community;adds;"IT Staff Member;information to the community";IT Staff Member Add the provided information to the community;Adds|provides;IT Staff Member|information to the community;
IT Staff Member;Add new information as soon as Received;adds;"IT Staff Member;new information";IT Staff Member Add new information as soon as Received;Adds|Receiveds;IT Staff Member|new information;
Company's Spokesperson;Inquire about PRWeb press release services and prices for company's specific requirements;inquires about;"Company's Spokesperson;PRWeb press release services|prices for company's specific requirements";Company's Spokesperson Inquire about PRWeb press release services and prices for company's specific requirements;Inquires about;Company's Spokesperson|PRWeb press release services|prices for company's specific requirements;
Company's Spokesperson;Make an order for the specific first run press release;makes;"Company's Spokesperson;order for the specific first run press release";Company's Spokesperson Make an order for the specific first run press release;Makes;Company's Spokesperson|order for the specific first run press release;
PRWeb Representative;Send back information regarding the requested requirements;sends;"PRWeb Representative;back information regarding the requested requirements";PRWeb Representative Send back information regarding the requested requirements;Sends|regards|requests;PRWeb Representative|back information|requirements;
PRWeb Representative;Place an order for a fist run press release with the detailed company info;places;"PRWeb Representative;order for a fist run press release with the detailed company info";PRWeb Representative Place an order for a fist run press release with the detailed company info;;PRWeb Representative Place an order for a fist run press release with the detailed company info;
PRWeb Services Headquarters;Run the first press release for the company;runs;"PRWeb Services Headquarters;first press release for the company";PRWeb Services Headquarters Run the first press release for the company;Runs;PRWeb Services Headquarters|first press release for the company;
Business Analyst;Collect data about company's products conduct business analysis;collects;"Business Analyst;data about company|products|business analysis";Business Analyst Collect data about company's products conduct business analysis;conducts;Business Analyst Collect data about company's products|business analysis;
Web Designer;Integrate Design and decide where such data should be placed;"integrates;decides";"Web Designer;Design;where such data should be placed";Web Designer Integrate Design and decide where such data should be placed;decides|places;Web Designer Integrate Design|where such data;
Marketing Manager;collect data and conduct business analysis covering all aspects about company's products;"collects;conducts";"Marketing Manager;data|business analysis covering all aspects about company's products";Marketing Manager collect data and conduct business analysis covering all aspects about company's products;collects|conducts|covers;Marketing Manager|data|business analysis|aspects about company's products;
Marketing Manager;create written material for the leaflet;creates;"Marketing Manager;written material for the leaflet";Marketing Manager create written material for the leaflet;creates written;Marketing Manager|material for the leaflet;
Marketing Manager;create written material for the whitepaper;creates;"Marketing Manager;written material for the whitepaper";Marketing Manager create written material for the whitepaper;creates written;Marketing Manager|material for the whitepaper;
Graphic Designer;create graphics and develop design for the leaflet;"creates;develops";"Graphic Designer;graphics;design for the leaflet";Graphic Designer create graphics and develop design for the leaflet;creates|develops;Graphic Designer|graphics|design for the leaflet;
Graphic Designer;create graphics and develop design for the whitepaper;"creates;develops";"Graphic Designer;graphics;design for the whitepaper";Graphic Designer create graphics and develop design for the whitepaper;creates|develops;Graphic Designer|graphics|design for the whitepaper;
Printing house;Print leaflets as ordered;prints;"Printing house;leaflets";Printing house Print leaflets as ordered;Printings|orders;house Print leaflets;
IT Staff Member;Integrate the whitepaper with company's website;integrates;"IT Staff Member;whitepaper with company's website";IT Staff Member Integrate the whitepaper with company's website;Integrates;IT Staff Member|whitepaper with company's website;
Company Representative;Define the Audience;defines;"Company Representative;Audience";Company Representative Define the Audience;Defines;Company Representative|Audience;
Company Representative;Develop a Concept;develops;"Company Representative;Concept";Company Representative Develop a Concept;Develops;Company Representative|Concept;
Company Representative;Upload to Youtube;uploads to;"Company Representative;Youtube";Company Representative Upload to Youtube;Uploads to;Company Representative|Youtube;
Camera man;Shoot Video;shoots;"Camera man;Video";Camera man Shoot Video;;Camera man Shoot Video;
Graphic designer;Create Graphics;creates;"Graphic designer;Graphics";Graphic designer Create Graphics;;Graphic designer Create Graphics;
Sound editor;Record Narration;records;"Sound editor;Narration";Sound editor Record Narration;;Sound editor Record Narration;
Sound editor;Find or create Music;finds;"Sound editor;Music";Sound editor Find or create Music;creates;Sound editor Find|Music;
Executive producer/Director;Capture Video to Computer;captures;"Executive producer/Director;Video to Computer";Executive producer/Director Capture Video to Computer;;Executive producer|Director Capture Video to Computer;
Executive producer/Director;Import Audio: Narration, Music and Sound Effects;imports;"Executive producer/Director;Audio|Narration|Music|Sound Effects";Executive producer/Director Import Audio: Narration, Music and Sound Effects;;Executive producer|Director Import Audio|Narration|Music|Sound Effects;
Executive producer/Director;Import Graphics;imports;"Executive producer/Director;Graphics";Executive producer/Director Import Graphics;;Executive producer|Director Import Graphics;
Executive producer/Director;Create Titles, Subtitles, Credits;creates;"Executive producer/Director;Titles|Subtitles|Credits";Executive producer/Director Create Titles, Subtitles, Credits;;Executive producer|Director Create Titles|Subtitles|Credits;
Executive producer/Director;Edit it all together;edits;"Executive producer/Director;it all together";Executive producer/Director Edit it all together;;Executive producer|Director Edit;
Advertisments Advisor;Determine the Form or Style;determines;"Advertisments Advisor;Form|Style";Advertisments Advisor Determine the Form or Style;;Advertisments Advisor Determine the Form|Style;
Advertisments Advisor;Write the Script;writes;"Advertisments Advisor;Script";Advertisments Advisor Write the Script;Writes;Advertisments Advisor|Script;
Advertisments Advisor;Create a Storyboard;creates;"Advertisments Advisor;Storyboard";Advertisments Advisor Create a Storyboard;Creates;Advertisments Advisor|Storyboard;
Customer;bring computer for checking;brings;"Customer;computer for checking";Customer bring computer for checking;brings|checks;Customer|computer;
Customer;deciding if the cost is low;decides;"Customer;cost";Customer deciding if the cost is low;decides;Customer|cost;
Customer;Deciding to repair;decides to;"Customer;repair";Customer Deciding to repair;Decidings|repairs;Customer;
Customer;going home without fixing the computer;goes;"Customer;computer";Customer going home without fixing the computer;goes|fixes;Customer|computer;
Customer;Getting back computer;gets;"Customer;back computer";Customer Getting back computer;Gettings back;Customer|computer;
Customer;Paying for the repair;pays for;"Customer;repair";Customer Paying for the repair;Payings for;Customer|repair;
Customer;GOING HOME;goes;"Customer;Home";Customer GOING HOME;GOINGs;Customer;
CSR;Checking defecrive computer;checks;"CSR;defecrive computer";CSR Checking defecrive computer;;CSR Checking defecrive computer;
CSR;calculate and send price offer;calculates|sends;"CSR;price offer";CSR calculate and send price offer;calculates|sends;CSR|price offer;
CSR;getting computer for repairing;gets;"CSR;computer for repairing";CSR getting computer for repairing;gets|repairs;CSR|computer;
CSR;check and repair the hardware;checks|repairs;"CSR;hardware";CSR check and repair the hardware;repairs;CSR check|hardware;
CSR;proper system functionality is tested;is tested;"CSR;proper system functionality";CSR proper system functionality is tested;tests;CSR proper system functionality;
CSR;checks and configures the software;checks|configures;"CSR;software";CSR checks and configures the software;configures;CSR checks|software;
CSR;repair is finished;is finished;"CSR;repair";CSR repair is finished;finishes;CSR repair;
CSR;another arbitrary repair activity is executed;is executed;"CSR;arbitrary repair activity";CSR another arbitrary repair activity is executed;executes;CSR another arbitrary repair activity;
Pit's Store;Update the online cataloge;updates;"Pit's Store;online cataloge";Pit's Store Update the online cataloge;Updates;Pit's Store|online cataloge;
Pit's Store;checks available bikes by the envisioned conf.;checks;"Pit's Store;available bikes by the envisioned conf.";Pit's Store checks available bikes by the envisioned conf.;envisions;Pit's Store checks available bikes|conf;
Pit's Store;Offer a test ride;offers;"Pit's Store;test ride";Pit's Store Offer a test ride;Offers;Pit's Store|test ride;
Pit's Store;Don't offer a test ride;offers;"Pit's Store;test ride";Pit's Store Don't offer a test ride;offers;Pit's Store|test ride;
Pit's Store;final configuration price offer;;Pit's Store final configuration price offer;Pit's Store final configuration price offer;;Pit's Store final configuration price offer;
Pit's Store;Close the deal;closes;"Pit's Store;deal";Pit's Store Close the deal;Closes;Pit's Store|deal;
Pit's Store;Don't close the deal;don'ts close;"Pit's Store;deal";Pit's Store Don't close the deal;closes;Pit's Store|deal;
Pit's Store;Get customer concent;gets;"Pit's Store;customer concent";Pit's Store Get customer concent;;Pit's Store Get customer concent;
Pit's Store;Contact customer to pick up bike;contacts;"Pit's Store;customer to pick up bike";Pit's Store Contact customer to pick up bike;picks up;Pit's Store Contact customer to|bike;
Pit's Store;Give the customer the bike;gives;"Pit's Store;customer the bike";Pit's Store Give the customer the bike;Gives;Pit's Store|customer the bike;
Pit's Store;Get Bike;gets;"Pit's Store;Bike";Pit's Store Get Bike;;Pit's Store Get Bike;
Pit's Store;starting cancellation;starts;"Pit's Store;cancellation";Pit's Store starting cancellation;;Pit's Store starting cancellation;
Pit's Store;get refunds from Fami except of cancellation fee;gets;"Pit's Store;refunds from Fami except cancellation fee";Pit's Store get refunds from Fami except of cancellation fee;gets;Pit's Store|refunds from Fami|cancellation fee;
Pit's Store;Returning payment to customer;returns;"Pit's Store;payment to customer";Pit's Store Returning payment to customer;Returnings;Pit's Store|payment to customer;
Fami;send payments;sends;"Fami;payments";Fami send payments;sends;payments;
Customer;Intend to Order a bike;intends to order;"Customer;bike";Customer Intend to Order a bike;Intends|Orders;Customer|bike;
Customer;Decide of final configuration;decides of;"Customer;final configuration";Customer Decide of final configuration;;Customer Decide of final configuration;
Customer;Don't want to Order from Pit;wants;"Customer;Pit";Customer Don't want to Order from Pit;wants|Orders from;Customer|Pit;
Customer;Accept price;accepts;"Customer;price";Customer Accept price;Accepts;Customer|price;
Customer;Bargain about price;bargains about;"Customer;price";Customer Bargain about price;;Customer Bargain about price;
Customer;stop negotiation and don't order;stops;"Customer;negotiation";Customer stop negotiation and don't order;stops|orders;Customer|negotiation;
Customer;Pick up bike;picks up;"Customer;bike";Customer Pick up bike;Picks up;Customer|bike;
Customer;Get payment back;gets;"Customer;payment";Customer Get payment back;Gets;Customer|payment;
Pit's Store;accept the deal;accepts;"Pit's Store;deal";Pit's Store accept the deal;accepts;Pit's Store|deal;
Fami;Update Website;updates;"Fami;Website";Fami Update Website;;Fami Update Website;
Customer;test ride;tests;"Customer;ride";Customer test ride;;Customer test ride;
Pit's Store;waiting for new bike with updated conf.;waits for;"Pit's Store;new bike with updated conf";Pit's Store waiting for new bike with updated conf.;waits for|updates;Pit's Store|new bike|conf;
Pit's Store;Receive monthly payment;receives;"Pit's Store;monthly payment";Pit's Store Receive monthly payment;Receives;Pit's Store|monthly payment;
Pit's Store;checking if can be cancelled/ updated;checks;"Pit's Store;if can be cancelled/ updated";Pit's Store checking if can be cancelled/ updated;updates;Pit's Store checking;
Teacher;Assign team to student;assigns;"Teacher;team to student";Teacher Assign team to student;;Teacher Assign team to student;
Teacher;Consult;consults;"Teacher;nan";Teacher Consult;Consults;Teacher;
Teacher;Check progress;checks;"Teacher;progress";Teacher Check progress;;Teacher Check progress;
Student;Fix the process until next session;fixes;"Student;process until next session";Student Fix the process until next session;Fixes;Student|process until next session;
Student;Extend their process to Level 2,3;extends;"Student;process to Level 2";Student Extend their process to Level 2,3;Extends;Student|process to Level 2,3;
Student;Perform a work according to the role;performs;"Student;work according to role";Student Perform a work according to the role;Performs|accords to;Student|work|role;
Team;Analyse field and identify processes;"analyses;identifies";"Team;field;processes";Team Analyse field and identify processes;identifies;Team Analyse field|processes;
Team;present the project;presents;"Team;project";Team present the project;presents;Team|project;
Marketing;Analyze market;analyzes;"Marketing;market";Marketing Analyze market;;Marketing Analyze market;
Marketing;Send offer to potential client;sends;"Marketing;offer to potential client";Marketing Send offer to potential client;;Marketing Send offer to potential client;
Marketing;Prepare portfolio presentation;prepares;"Marketing;portfolio presentation";Marketing Prepare portfolio presentation;;Marketing Prepare portfolio presentation;
Marketing;Inform management about potential client's responses;informs;"Marketing;management about potential client's responses";Marketing Inform management about potential client's responses;;Marketing Inform management about potential client's responses;
Management;New client needed;needs;"Management;New client";Management New client needed;needs;Management New client;
Management;Analyze responses and start negotiation;"analyzes;starts";"Management;responses;negotiation";Management Analyze responses and start negotiation;starts;Management Analyze responses|negotiation;
Management;Prepare contract for sign;prepares;"Management;contract for sign";Management Prepare contract for sign;;Management Prepare contract for sign;
Management;Analyze reasons and learn a lesson;"analyzes;learns";"Management;reasons;lesson";Management Analyze reasons and learn a lesson;learns;Management Analyze reasons|lesson;
Management;Sign contract;signs;"Management;contract";Management Sign contract;;Management Sign contract;
Management;Analyze request;analyzes;"Management;request";Management Analyze request;;Management Analyze request;
Finance;find finance resources;finds;"Finance;finance resources";Finance find finance resources;finds;Finance|finance resources;
Finance;Pay invoice;pays;"Finance;invoice";Finance Pay invoice;;Finance Pay invoice;
IT Department;Analyze request;analyzes;"IT Department;request";IT Department Analyze request;;IT Department Analyze request;
IT Department;Edit and complete request;edits|completes;"IT Department;request";IT Department Edit and complete request;;IT Department Edit|complete request;
IT Department;fullfil form and send request to management;"fulfills;sends";"IT Department;form|request to management";IT Department fullfil form and send request to management;fullfils|sends;IT Department|form|request to management;
IT Department;prepare order;prepares;"IT Department;order";IT Department prepare order;prepares;IT Department|order;
IT Department;receive hw and invoice;receives;"IT Department;hw|invoice";IT Department receive hw and invoice;receives|invoices;IT Department|hw;
Technician;travel by car;travels by;"Technician;car";Technician travel by car;;Technician travel by car;
Technician;analyze problem;analyzes;"Technician;problem";Technician analyze problem;analyzes;Technician|problem;
Technician;fix problem;fixes;"Technician;problem";Technician fix problem;;Technician fix problem;
Technician;call operator;calls;"Technician;operator";Technician call operator;;Technician call operator;
Technician;give customer invoice;gives;"Technician;customer invoice";Technician give customer invoice;gives;Technician|customer invoice;
Technician;accept assignment;accepts;"Technician;assignment";Technician accept assignment;accepts;Technician|assignment;
Technician;select car;selects;"Technician;car";Technician select car;;Technician select car;
Technician;travel by bus;travels by;"Technician;bus";Technician travel by bus;;Technician travel by bus;
Operator;understand customers problem;understands;"Operator;customers problem";Operator understand customers problem;understands|problems;Operator|customers;
Operator;select appropriate technician;selects;"Operator;appropriate technician";Operator select appropriate technician;selects;Operator|appropriate technician;
Operator;check technicians report;checks;"Operator;technicians report";Operator check technicians report;reports;Operator check technicians;
Operator;close problem;closes;"Operator;problem";Operator close problem;;Operator close problem;
Operator;store problem details into database;stores;"Operator;problem details into database";Operator store problem details into database;;Operator store problem details into database;
Operator;arrange new meeting;arranges;"Operator;new meeting";Operator arrange new meeting;arranges;Operator|new meeting;
Finance;calculate reward;calculates;"Finance;reward";Finance calculate reward;calculates;Finance|reward;
Finance;pay reward;pays;"Finance;reward";Finance pay reward;pays;Finance|reward;
HR;Dismiss employee;dismisses;"HR;employee";HR Dismiss employee;;HR Dismiss employee;
HR;provide training;provides;"HR;training";HR provide training;provides;HR|training;
Management;Check employee performance;checks;"Management;employee performance";Management Check employee performance;;Management Check employee performance;
Management;Suggest for reward;suggests for;"Management;reward";Management Suggest for reward;Suggests for;Management|reward;
Management;Suggest training;suggests;"Management;training";Management Suggest training;Suggests;Management|training;
Management;Suggest employee dismissal;suggests;"Management;employee dismissal";Management Suggest employee dismissal;Suggests;Management|employee dismissal;
Management;Choose appropriate benefit;chooses;"Management;appropriate benefit";Management Choose appropriate benefit;Chooses;Management|appropriate benefit;
Management;Announce employee of the month;announces;"Management;employee of the month";Management Announce employee of the month;;Management Announce employee of the month;
Management;Prepare timetable for next 2 weeks;prepares;"Management;timetable for next 2 weeks";Management Prepare timetable for next 2 weeks;;Management Prepare timetable|weeks;
Management;check volume of work required;checks;"Management;volume of work";Management check volume of work required;requires;Management check volume of work;
Management;check workers availability;checks;"Management;workers availability";Management check workers availability;checks;Management|workers availability;
Management;publish timetable;publishes;"Management;timetable";Management publish timetable;publishes;Management|timetable;
Management;fill shift sheet;fills;"Management;shift sheet";Management fill shift sheet;fills;Management|shift sheet;
Management;publish shift schedule;publishes;"Management;shift schedule";Management publish shift schedule;publishes;Management|shift schedule;
Support line - part time workers;fullfil availability;fulfills;"Support line - part time workers;availability";Support line - part time workers fullfil availability;fullfils;Support line|part time workers|availability;
Data entry officer;Process invoices;processes;"Data entry officer;invoices";Data entry officer Process invoices;;Data entry officer Process invoices;
Data entry officer;collect allocated invoices;collects;"Data entry officer;allocated invoices";Data entry officer collect allocated invoices;collects allocated;Data entry officer|invoices;
Data entry officer;find out urgent invoice;finds out;"Data entry officer;urgent invoice";Data entry officer find out urgent invoice;finds out;Data entry officer|urgent invoice;
Data entry officer;Process immediately;processes;"Data entry officer;immediately";Data entry officer Process immediately;;Data entry officer Process;
Data entry officer;Put in high priority outbox;puts in;"Data entry officer;high priority outbox";Data entry officer Put in high priority outbox;Puts in;Data entry officer|high priority outbox;
Data entry officer;Look up vendor in SAP;looks up;"Data entry officer;vendor in SAP";Data entry officer Look up vendor in SAP;Looks up;Data entry officer|vendor in SAP;
Data entry officer;Complete vendor master record request form;completes;"Data entry officer;vendor master record request form";Data entry officer Complete vendor master record request form;;Data entry officer Complete vendor master record request form;
Data entry officer;add vendor number to invoice;adds;"Data entry officer;vendor number to invoice";Data entry officer add vendor number to invoice;adds|invoices;Data entry officer|vendor number to;
Data entry officer;put in dedicatied boutbox for master record;puts in;"Data entry officer;dedicatied boutbox for master record";Data entry officer put in dedicatied boutbox for master record;puts in;Data entry officer|dedicatied boutbox for master record;
Data entry officer;staple the form to invoice;staples;"Data entry officer;form to invoice";Data entry officer staple the form to invoice;invoices;Data entry officer staple the form to;
Data entry officer;Sort invoice;sorts;"Data entry officer;invoice";Data entry officer Sort invoice;;Data entry officer Sort invoice;
Data entry officer;Sort per vendor;sorts per;"Data entry officer;vendor";Data entry officer Sort per vendor;;Data entry officer Sort per vendor;
Data entry officer;Sort by amount;sorts by;"Data entry officer;amount";Data entry officer Sort by amount;;Data entry officer Sort by amount;
Data entry officer;Entry data;;Data entry officer Entry data;Data entry officer Entry data;;Data entry officer Entry data;
Data entry officer;Occasionally take invoice to outbox;takes;"Data entry officer;invoice to outbox";Data entry officer Occasionally take invoice to outbox;takes|outboxes;Data entry officer|invoice to;
Mater data entry department;Check urgency;checks;"Mater data entry department;urgency";Mater data entry department Check urgency;;Mater data entry department Check urgency;
Mater data entry department;Create master data record;creates;"Mater data entry department;master data record";Mater data entry department Create master data record;Creates;Mater data entry department|master data record;
Mail center;Collect invoice with request;collects;"Mail center;invoice with request";Mail center Collect invoice with request;Collects;Mail center|invoice with request;
Mail center;collect urgent invoice every hour;collects;"Mail center;urgent invoice every hour";Mail center collect urgent invoice every hour;collects;Mail center|urgent invoice every hour;
Mail center;take to mater record department;takes to;"Mail center;mater record department";Mail center take to mater record department;takes to;Mail center|mater record department;
Mail center;Collect invoice every hour;collects;"Mail center;invoice every hour";Mail center Collect invoice every hour;Collects;Mail center|invoice every hour;
Registry;Achive paid invoice per vendor;archives;"Registry;paid invoice per vendor";Registry Achive paid invoice per vendor;pays;Registry Achive|invoice per vendor;
Registry;archive paid invoice per payment data;archives;"Registry;paid invoice per payment data";Registry archive paid invoice per payment data;pays;Registry archive|invoice per payment data;
Registry;Receive request from client;receives;"Registry;request from client";Registry Receive request from client;Receives;Registry|request from client;
Registry;Locate requested invoice;locates;"Registry;requested invoice";Registry Locate requested invoice;requests;Registry Locate|invoice;
Accounts Receivable Department;Generate monthly invoice;generates;"Accounts Receivable Department;monthly invoice";Accounts Receivable Department Generate monthly invoice;Generates;Accounts Receivable Department|monthly invoice;
Payment office;automate pay;automates;"Payment office;pay";Payment office automate pay;automates;Payment office|pay;
Payment office;Generate payment report;generates;"Payment office;payment report";Payment office Generate payment report;Generates;Payment office|payment report;
Payment office;sent to client, accouts receivable department and registry;sends to;"Payment office;client|accouts receivable department|registry";Payment office sent to client, accouts receivable department and registry;sends to;Payment office|client|accouts receivable department|registry;
Admin Officer;sort invoice per client;sorts;"Admin Officer;invoice per client";Admin Officer sort invoice per client;;Admin Officer sort invoice per client;
Admin Officer;Staple invoice entry form;staples;"Admin Officer;invoice entry form";Admin Officer Staple invoice entry form;;Admin Officer Staple invoice entry form;
Admin Officer;Entry information to invoice entry form;entries;"Admin Officer;information to invoice entry form";Admin Officer Entry information to invoice entry form;invoices;Admin Officer Entry information|entry form;
Admin Officer;check the completeness and tick relievant box;"checks;ticks";"Admin Officer;completeness;tick relievant box";Admin Officer check the completeness and tick relievant box;checks|ticks;Admin Officer|completeness|relievant box;
Admin Officer;Check in a Excel file;checks in;"Admin Officer;Excel file";Admin Officer Check in a Excel file;Checks in;Admin Officer|Excel file;
Admin Officer;entry date of processing;;Admin Officer entry date of processing;Admin Officer entry date of processing;;Admin Officer entry date of processing;
Admin Officer;Check if invoice is urgent;checks;"Admin Officer;invoice";Admin Officer Check if invoice is urgent;is;Admin Officer Check|invoice;
Admin Officer;Put a red stamp on invoice entry form;puts;"Admin Officer;red stamp on invoice entry form";Admin Officer Put a red stamp on invoice entry form;Puts;Admin Officer|red stamp on invoice entry form;
Admin Officer;Check compliance;checks;"Admin Officer;compliance";Admin Officer Check compliance;Checks;Admin Officer|compliance;
Admin Officer;Check if knowS SLA;checks;"Admin Officer;SLA";Admin Officer Check if knowS SLA;;Admin Officer Check|knowS SLA;
Admin Officer;Batched invoices;;Admin Officer Batched invoices;Admin Officer Batched invoices;;Admin Officer Batched invoices;
Admin Officer;Consider to handle;considers to handle;"Admin Officer;nan";Admin Officer Consider to handle;Considers|handles;Admin Officer;
Admin Officer;Sent back to client for completion;sends;"Admin Officer;client for completion";Admin Officer Sent back to client for completion;Sents;Admin Officer|client for completion;
Admin Officer;Call client;calls;"Admin Officer;client";Admin Officer Call client;;Admin Officer Call client;
Admin Officer;sent to experienced SSP members;sends to;"Admin Officer;SSP members";Admin Officer sent to experienced SSP members;sends to;Admin Officer|experienced SSP members;
Admin Officer;sent a remainder letter;sends;"Admin Officer;remainder letter";Admin Officer sent a remainder letter;sends;Admin Officer|remainder letter;
Admin Officer;follow-up by telephone;follow-ups by;"Admin Officer;telephone";Admin Officer follow-up by telephone;;Admin Officer follow|up by telephone;
Vaidation officer;sort invoice;sorts;"Vaidation officer;invoice";Vaidation officer sort invoice;;Vaidation officer sort invoice;
Vaidation officer;print a report;prints;"Vaidation officer;report";Vaidation officer print a report;prints;Vaidation officer|report;
Vaidation officer;Compare details of report with invoice;compares;"Vaidation officer;details of report with invoice";Vaidation officer Compare details of report with invoice;Compares;Vaidation officer|details of report with invoice;
Vaidation officer;Highlight errors;highlights;"Vaidation officer;errors";Vaidation officer Highlight errors;;Vaidation officer Highlight errors;
Vaidation officer;sent back to the data entry officer;sends;"Vaidation officer;data entry officer";Vaidation officer sent back to the data entry officer;sends;Vaidation officer|data entry officer;
Vaidation officer;keep a record of the officer's mistake number;keeps;"Vaidation officer;record of the officer's mistake number";Vaidation officer keep a record of the officer's mistake number;keeps;Vaidation officer|record of the officer's mistake number;
Vaidation officer;check box 'invoice entered corredtly;checks;"Vaidation officer;box's invoice";Vaidation officer check box 'invoice entered corredtly;checks|enters;Vaidation officer|box|invoice;
Vaidation officer;Check urgency;checks;"Vaidation officer;urgency";Vaidation officer Check urgency;Checks;Vaidation officer|urgency;
Vaidation officer;Process firstly;processes;"Vaidation officer;firstly";Vaidation officer Process firstly;;Vaidation officer Process;
