Subject;Activity;Verb phrases;Noun phrases;ActivityCombined;VerbPhrases;NounPhrases;ProperNouns
Teacher;Check process model;checks;"Teacher;process model";Teacher Check process model;Checks;Teacher|process model;
Teacher;Assign penalty points;assigns;"Teacher;penalty points";Teacher Assign penalty points;Assigns;Teacher|penalty points;
Teacher;Check process assign points;checks;"Teacher;process|points";Teacher Check process assign points;Checks|assigns;Teacher|process|points;
Teacher;Consult project, check progress;consults;"Teacher;project|progress";Teacher Consult project, check progress;;Teacher Consult project|check progress;
Team;Agree on team field;agrees on;"Team;team field";Team Agree on team field;;team field;Team Agree
Team;Analyse field and identify process;"analyses;identifies";"Team;field;process";Team Analyse field and identify process;identifies;field|process;Team Analyse
Team;Assign roles in team;assigns;"Team;roles in team";Team Assign roles in team;;roles in team;Team Assign
Team;Present the project;presents;"Team;project";Team Present the project;;project;Team
Student;Join team;joins;"Student;team";Student Join team;;Student|team;Join
Student;Create one process model;creates;"Student;process model";Student Create one process model;Creates;Student|process model;
Student;Fix process until next session;fixes;"Student;process until next session";Student Fix process until next session;Fixes;Student|process until next session;
Student;Extend their process to L 2,3;extends;"Student;process to L 2,3";Student Extend their process to L 2,3;Extends;Student|process to L 2,3;
Student;perform work according to the role;performs;"Student;work according to the role";Student perform work according to the role;performs;Student|work according to the role;
Client;Deposit amount of money;deposits;"Client;amount of money";Client Deposit amount of money;;amount of money;Client Deposit
Client;Withdraw amount of money;withdraws;"Client;amount of money";Client Withdraw amount of money;;amount of money;Client Withdraw
Client;Transfer amount of money;transfers;"Client;amount of money";Client Transfer amount of money;;Transfer amount of money;Client
Client;Provide Further Information;provides;"Client;Further Information";Client Provide Further Information;Provides;Further Information;Client
Client;Cancel the order;cancels;"Client;order";Client Cancel the order;Cancels;order;Client
Client;Receive invoice;receives;"Client;invoice";Client Receive invoice;;invoice;Client Receive
Bank Agent;Enter the required transaction details;enters;"Bank Agent;transaction details";Bank Agent Enter the required transaction details;Enters;transaction details;Bank Agent
Bank Agent;Enter client's account details;enters;"Bank Agent;client's account details";Bank Agent Enter client's account details;Enters;client's account details;Bank Agent
Bank Agent;Notify the client of problem;notifies;"Bank Agent;client of problem";Bank Agent Notify the client of problem;Notifies;client of problem;Bank Agent
Bank Agent;Notify client of complete transaction;notifies;"Bank Agent;client of complete transaction";Bank Agent Notify client of complete transaction;;client of complete transaction;Bank Agent Notify
Bank System;Check Client's account details;checks;"Bank System;Client's account details";Bank System Check Client's account details;Checks;account details;Bank System|Client
Bank System;Add amount of money deposit to account;adds;"Bank System;amount of money deposit";Bank System Add amount of money deposit to account;Adds|accounts;amount of money deposit;Bank System
Bank System;transfer amount of money to account;accounts;"Bank System;transfer amount of money";Bank System transfer amount of money to account;accounts;transfer amount of money;Bank System
Bank System;Check account balance;checks;"Bank System;account balance";Bank System Check account balance;Checks;account balance;Bank System
Bank System;Withdraw amount from account;withdraws;"Bank System;amount from account";Bank System Withdraw amount from account;;amount from account;Bank System Withdraw
Bank System;Issue invoice;issues;"Bank System;invoice";Bank System Issue invoice;;invoice;Bank System Issue
Business Analyst;Collect data conduct business analysis regarding customer feedback;collects;"Business Analyst;data conduct business analysis regarding customer feedback";Business Analyst Collect data conduct business analysis regarding customer feedback;;data conduct business analysis regarding customer feedback;Business Analyst Collect
Business Analyst;Check design and provide feedback;"checks;provides";"Business Analyst;design;feedback";Business Analyst Check design and provide feedback;Checks|provides;design|feedback;Business Analyst
Web Designer;Change design;changes;"Web Designer;design";Web Designer Change design;;Web Designer|design;Change
PHP/HTML/CSS Specialist;Integrate with the overall implemenation;integrates with;"PHP/HTML/CSS Specialist;overall implemenation";PHP/HTML/CSS Specialist Integrate with the overall implemenation;Integrates with;PHP/HTML/CSS Specialist|overall implemenation;
PHP/HTML/CSS Specialist;Adjust according to test results;adjusts according to;"PHP/HTML/CSS Specialist;test results";PHP/HTML/CSS Specialist Adjust according to test results;Adjusts|tests;PHP/HTML/CSS Specialist|according|results;
Tester;Test the final website to make sure everything is going well;tests;"Tester;final website";Tester Test the final website to make sure everything is going well;Tests|makes;Tester|final website|sure everything|going;
Tester;provide test results;provides;"Tester;test results";Tester provide test results;;Tester|test results;
Business Analyst;Collect data conduct business analysis regarding customer service;collects;"Business Analyst;data conduct business analysis regarding customer service";Business Analyst Collect data conduct business analysis regarding customer service;;data conduct business analysis regarding customer service;Business Analyst Collect
Marketing Manager;Create and provide information about the company;creates|provides;"Marketing Manager;information about the company";Marketing Manager Create and provide information about the company;Creates|provides;information about the company;Marketing Manager
IT Staff Member;Create community groups on Facebook, Twitter and Myspace;creates;"IT Staff Member;community groups on Facebook,Twitter and Myspace";IT Staff Member Create community groups on Facebook, Twitter and Myspace;Creates;IT|community groups;Staff Member|Facebook|Twitter|Myspace
IT Staff Member;Add provided information to the created groups;adds provided;"IT Staff Member;information";IT Staff Member Add provided information to the created groups;Adds;IT|information|groups;Staff Member
IT Staff Member;Add the provided information to the community;adds;"IT Staff Member;information to the community";IT Staff Member Add the provided information to the community;Adds;IT|information to the community;Staff Member
IT Staff Member;Add new information as soon as Received;adds;"IT Staff Member;new information";IT Staff Member Add new information as soon as Received;Adds;IT|new information;Staff Member
Company's Spokesperson;Inquire about PRWeb press release services and prices for company's specific requirements;inquires about;"Company's Spokesperson;PRWeb press release services|prices for company's specific requirements";Company's Spokesperson Inquire about PRWeb press release services and prices for company's specific requirements;;Company's|press release services|prices for company's specific requirements;Spokesperson Inquire|PRWeb
Company's Spokesperson;Make an order for the specific first run press release;makes;"Company's Spokesperson;order for the specific first run press release";Company's Spokesperson Make an order for the specific first run press release;;Company's|order for the specific first run press release;Spokesperson Make
PRWeb Representative;Send back information regarding the requested requirements;sends;"PRWeb Representative;back information regarding the requested requirements";PRWeb Representative Send back information regarding the requested requirements;Sends back;information regarding|requirements;PRWeb Representative
PRWeb Representative;Place an order for a fist run press release with the detailed company info;places;"PRWeb Representative;order for a fist run press release with the detailed company info";PRWeb Representative Place an order for a fist run press release with the detailed company info;;order for a fist run press release with the detailed company info;PRWeb Representative Place
PRWeb Services Headquarters;Run the first press release for the company;runs;"PRWeb Services Headquarters;first press release for the company";PRWeb Services Headquarters Run the first press release for the company;;Headquarters|first press release for the company;PRWeb Services|Run
Business Analyst;Collect data about company's products conduct business analysis;collects;"Business Analyst;data about company|products|business analysis";Business Analyst Collect data about company's products conduct business analysis;;data about company's products|business analysis;Business Analyst Collect
Web Designer;Integrate Design and decide where such data should be placed;"integrates;decides";"Web Designer;Design;where such data should be placed";Web Designer Integrate Design and decide where such data should be placed;Integrates|decides|is;Web Designer|Design|such data;
Marketing Manager;collect data and conduct business analysis covering all aspects about company's products;"collects;conducts";"Marketing Manager;data|business analysis covering all aspects about company's products";Marketing Manager collect data and conduct business analysis covering all aspects about company's products;collects|conducts;data|business analysis covering all aspects about company's products;Marketing Manager
Marketing Manager;create written material for the leaflet;creates;"Marketing Manager;written material for the leaflet";Marketing Manager create written material for the leaflet;creates;material for the leaflet;Marketing Manager
Marketing Manager;create written material for the whitepaper;creates;"Marketing Manager;written material for the whitepaper";Marketing Manager create written material for the whitepaper;creates;material for the whitepaper;Marketing Manager
Graphic Designer;create graphics and develop design for the leaflet;"creates;develops";"Graphic Designer;graphics;design for the leaflet";Graphic Designer create graphics and develop design for the leaflet;creates|develops;Designer|graphics|design for the leaflet;Graphic
Graphic Designer;create graphics and develop design for the whitepaper;"creates;develops";"Graphic Designer;graphics;design for the whitepaper";Graphic Designer create graphics and develop design for the whitepaper;creates|develops;Designer|graphics|design for the whitepaper;Graphic
Printing house;Print leaflets as ordered;prints;"Printing house;leaflets";Printing house Print leaflets as ordered;Prints;Printing house|leaflets;
IT Staff Member;Integrate the whitepaper with company's website;integrates;"IT Staff Member;whitepaper with company's website";IT Staff Member Integrate the whitepaper with company's website;Integrates;IT|whitepaper with company's website;Staff Member
Company Representative;Define the Audience;defines;"Company Representative;Audience";Company Representative Define the Audience;Defines;Company|Audience;Representative
Company Representative;Develop a Concept;develops;"Company Representative;Concept";Company Representative Develop a Concept;Develops;Company|Concept;Representative
Company Representative;Upload to Youtube;uploads to;"Company Representative;Youtube";Company Representative Upload to Youtube;;Company;Representative Upload|Youtube
Camera man;Shoot Video;shoots;"Camera man;Video";Camera man Shoot Video;Shoots;Camera man;Video
Graphic designer;Create Graphics;creates;"Graphic designer;Graphics";Graphic designer Create Graphics;Creates;designer|Graphics;Graphic
Sound editor;Record Narration;records;"Sound editor;Narration";Sound editor Record Narration;;Sound editor;Record Narration
Sound editor;Find or create Music;finds;"Sound editor;Music";Sound editor Find or create Music;Finds|creates;Sound editor|Music;
Executive producer/Director;Capture Video to Computer;captures;"Executive producer/Director;Video to Computer";Executive producer/Director Capture Video to Computer;;;Executive producer/Director Capture Video|Computer
Executive producer/Director;Import Audio: Narration, Music and Sound Effects;imports;"Executive producer/Director;Audio|Narration|Music|Sound Effects";Executive producer/Director Import Audio: Narration, Music and Sound Effects;;Import|Effects;Executive producer/Director|Audio|Narration|Music|Sound
Executive producer/Director;Import Graphics;imports;"Executive producer/Director;Graphics";Executive producer/Director Import Graphics;;Import Graphics;Executive producer/Director
Executive producer/Director;Create Titles, Subtitles, Credits;creates;"Executive producer/Director;Titles|Subtitles|Credits";Executive producer/Director Create Titles, Subtitles, Credits;Creates;Credits;Executive producer/Director|Titles|Subtitles
Executive producer/Director;Edit it all together;edits;"Executive producer/Director;it all together";Executive producer/Director Edit it all together;Edits;it;Executive producer/Director
Advertisments Advisor;Determine the Form or Style;determines;"Advertisments Advisor;Form|Style";Advertisments Advisor Determine the Form or Style;;Form|Style;Advertisments Advisor Determine
Advertisments Advisor;Write the Script;writes;"Advertisments Advisor;Script";Advertisments Advisor Write the Script;Writes;Script;Advertisments Advisor
Advertisments Advisor;Create a Storyboard;creates;"Advertisments Advisor;Storyboard";Advertisments Advisor Create a Storyboard;Creates;;Advertisments Advisor|Storyboard
Customer;bring computer for checking;brings;"Customer;computer for checking";Customer bring computer for checking;brings;Customer|computer for checking;
Customer;deciding if the cost is low;decides;"Customer;cost";Customer deciding if the cost is low;;Customer deciding if the cost;
Customer;Deciding to repair;decides to;"Customer;repair";Customer Deciding to repair;repairs;Customer Deciding;
Customer;going home without fixing the computer;goes;"Customer;computer";Customer going home without fixing the computer;;Customer going home without fixing the computer;
Customer;Getting back computer;gets;"Customer;back computer";Customer Getting back computer;;Customer Getting back computer;
Customer;Paying for the repair;pays for;"Customer;repair";Customer Paying for the repair;;Customer Paying for the repair;
Customer;GOING HOME;goes;"Customer;Home";Customer GOING HOME;;Customer;GOING HOME
CSR;Checking defecrive computer;checks;"CSR;defecrive computer";CSR Checking defecrive computer;;Checking defecrive computer;CSR
CSR;calculate and send price offer;calculates|sends;"CSR;price offer";CSR calculate and send price offer;calculates|sends;price offer;CSR
CSR;getting computer for repairing;gets;"CSR;computer for repairing";CSR getting computer for repairing;;getting computer for repairing;CSR
CSR;check and repair the hardware;checks|repairs;"CSR;hardware";CSR check and repair the hardware;repairs;check|hardware;CSR
CSR;proper system functionality is tested;is tested;"CSR;proper system functionality";CSR proper system functionality is tested;;proper system functionality;CSR
CSR;checks and configures the software;checks|configures;"CSR;software";CSR checks and configures the software;;checks|software;CSR
CSR;repair is finished;is finished;"CSR;repair";CSR repair is finished;;repair;CSR
CSR;another arbitrary repair activity is executed;is executed;"CSR;arbitrary repair activity";CSR another arbitrary repair activity is executed;;arbitrary repair activity;CSR
Pit's Store;Update the online cataloge;updates;"Pit's Store;online cataloge";Pit's Store Update the online cataloge;;Pit's Store|online cataloge;Update
Pit's Store;checks available bikes by the envisioned conf.;checks;"Pit's Store;available bikes by the envisioned conf.";Pit's Store checks available bikes by the envisioned conf.;;Pit's Store checks available bikes|conf;
Pit's Store;Offer a test ride;offers;"Pit's Store;test ride";Pit's Store Offer a test ride;;Pit's Store Offer a test ride;
Pit's Store;Don't offer a test ride;offers;"Pit's Store;test ride";Pit's Store Don't offer a test ride;offers;Pit's Store|test ride;
Pit's Store;final configuration price offer;;Pit's Store final configuration price offer;Pit's Store final configuration price offer;;Pit's Store final configuration price offer;
Pit's Store;Close the deal;closes;"Pit's Store;deal";Pit's Store Close the deal;Closes;Pit's Store|deal;
Pit's Store;Don't close the deal;don'ts close;"Pit's Store;deal";Pit's Store Don't close the deal;closes;Pit's Store|deal;
Pit's Store;Get customer concent;gets;"Pit's Store;customer concent";Pit's Store Get customer concent;Gets;Pit's Store|customer concent;
Pit's Store;Contact customer to pick up bike;contacts;"Pit's Store;customer to pick up bike";Pit's Store Contact customer to pick up bike;picks up;Pit's Store Contact customer|bike;
Pit's Store;Give the customer the bike;gives;"Pit's Store;customer the bike";Pit's Store Give the customer the bike;Gives;Pit's Store|customer the bike;
Pit's Store;Get Bike;gets;"Pit's Store;Bike";Pit's Store Get Bike;Gets;Pit's Store|Bike;
Pit's Store;starting cancellation;starts;"Pit's Store;cancellation";Pit's Store starting cancellation;;Pit's Store starting cancellation;
Pit's Store;get refunds from Fami except of cancellation fee;gets;"Pit's Store;refunds from Fami except cancellation fee";Pit's Store get refunds from Fami except of cancellation fee;gets;Pit's Store|refunds|cancellation fee;Fami
Pit's Store;Returning payment to customer;returns;"Pit's Store;payment to customer";Pit's Store Returning payment to customer;;Pit's Store Returning payment to customer;
Fami;send payments;sends;"Fami;payments";Fami send payments;sends;payments;Fami
Customer;Intend to Order a bike;intends to order;"Customer;bike";Customer Intend to Order a bike;;Customer Intend|bike;Order
Customer;Decide of final configuration;decides of;"Customer;final configuration";Customer Decide of final configuration;Decides of;Customer|final configuration;
Customer;Don't want to Order from Pit;wants;"Customer;Pit";Customer Don't want to Order from Pit;wants to;Customer|Pit;Order
Customer;Accept price;accepts;"Customer;price";Customer Accept price;Accepts;Customer|price;
Customer;Bargain about price;bargains about;"Customer;price";Customer Bargain about price;;Customer Bargain about price;
Customer;stop negotiation and don't order;stops;"Customer;negotiation";Customer stop negotiation and don't order;;Customer stop negotiation|order;
Customer;Pick up bike;picks up;"Customer;bike";Customer Pick up bike;Picks up;Customer|bike;
Customer;Get payment back;gets;"Customer;payment";Customer Get payment back;Gets;Customer|payment;
Pit's Store;accept the deal;accepts;"Pit's Store;deal";Pit's Store accept the deal;accepts;Pit's Store|deal;
Fami;Update Website;updates;"Fami;Website";Fami Update Website;;;Fami Update Website
Customer;test ride;tests;"Customer;ride";Customer test ride;;Customer test ride;
Pit's Store;waiting for new bike with updated conf.;waits for;"Pit's Store;new bike with updated conf";Pit's Store waiting for new bike with updated conf.;;Pit's Store waiting for new bike|conf;
Pit's Store;Receive monthly payment;receives;"Pit's Store;monthly payment";Pit's Store Receive monthly payment;Receives;Pit's Store|monthly payment;
Pit's Store;checking if can be cancelled/ updated;checks;"Pit's Store;if can be cancelled/ updated";Pit's Store checking if can be cancelled/ updated;is;Pit's Store checking;
Teacher;Assign team to student;assigns;"Teacher;team to student";Teacher Assign team to student;Assigns;Teacher|team to student;
Teacher;Consult;consults;"Teacher;nan";Teacher Consult;;Teacher Consult;
Teacher;Check progress;checks;"Teacher;progress";Teacher Check progress;Checks;Teacher|progress;
Student;Fix the process until next session;fixes;"Student;process until next session";Student Fix the process until next session;Fixes;Student|process until next session;
Student;Extend their process to Level 2,3;extends;"Student;process to Level 2";Student Extend their process to Level 2,3;Extends;Student|process;Level
Student;Perform a work according to the role;performs;"Student;work according to role";Student Perform a work according to the role;Performs;Student|work according to the role;
Team;Analyse field and identify processes;"analyses;identifies";"Team;field;processes";Team Analyse field and identify processes;identifies;field|processes;Team Analyse
Team;present the project;presents;"Team;project";Team present the project;;project;Team
Marketing;Analyze market;analyzes;"Marketing;market";Marketing Analyze market;;market;Marketing Analyze
Marketing;Send offer to potential client;sends;"Marketing;offer to potential client";Marketing Send offer to potential client;Sends;offer to potential client;Marketing
Marketing;Prepare portfolio presentation;prepares;"Marketing;portfolio presentation";Marketing Prepare portfolio presentation;;portfolio presentation;Marketing Prepare
Marketing;Inform management about potential client's responses;informs;"Marketing;management about potential client's responses";Marketing Inform management about potential client's responses;;management about potential client's responses;Marketing Inform
Management;New client needed;needs;"Management;New client";Management New client needed;;client;Management New
Management;Analyze responses and start negotiation;"analyzes;starts";"Management;responses;negotiation";Management Analyze responses and start negotiation;starts;responses|negotiation;Management Analyze
Management;Prepare contract for sign;prepares;"Management;contract for sign";Management Prepare contract for sign;;contract for sign;Management Prepare
Management;Analyze reasons and learn a lesson;"analyzes;learns";"Management;reasons;lesson";Management Analyze reasons and learn a lesson;learns;reasons|lesson;Management Analyze
Management;Sign contract;signs;"Management;contract";Management Sign contract;;contract;Management Sign
Management;Analyze request;analyzes;"Management;request";Management Analyze request;;request;Management Analyze
Finance;find finance resources;finds;"Finance;finance resources";Finance find finance resources;finds;finance resources;Finance
Finance;Pay invoice;pays;"Finance;invoice";Finance Pay invoice;Pays;invoice;Finance
IT Department;Analyze request;analyzes;"IT Department;request";IT Department Analyze request;Analyzes;request;IT Department
IT Department;Edit and complete request;edits|completes;"IT Department;request";IT Department Edit and complete request;;complete request;IT Department Edit
IT Department;fullfil form and send request to management;"fulfills;sends";"IT Department;form|request to management";IT Department fullfil form and send request to management;sends;fullfil form|request to management;IT Department
IT Department;prepare order;prepares;"IT Department;order";IT Department prepare order;;order;IT Department
IT Department;receive hw and invoice;receives;"IT Department;hw|invoice";IT Department receive hw and invoice;;hw|invoice;IT Department
Technician;travel by car;travels by;"Technician;car";Technician travel by car;;Technician travel by car;
Technician;analyze problem;analyzes;"Technician;problem";Technician analyze problem;;Technician|problem;
Technician;fix problem;fixes;"Technician;problem";Technician fix problem;;Technician fix problem;
Technician;call operator;calls;"Technician;operator";Technician call operator;;Technician call operator;
Technician;give customer invoice;gives;"Technician;customer invoice";Technician give customer invoice;gives;Technician|customer invoice;
Technician;accept assignment;accepts;"Technician;assignment";Technician accept assignment;accepts;Technician|assignment;
Technician;select car;selects;"Technician;car";Technician select car;;Technician select car;
Technician;travel by bus;travels by;"Technician;bus";Technician travel by bus;;Technician travel by bus;
Operator;understand customers problem;understands;"Operator;customers problem";Operator understand customers problem;;Operator|customers problem;
Operator;select appropriate technician;selects;"Operator;appropriate technician";Operator select appropriate technician;;Operator select appropriate technician;
Operator;check technicians report;checks;"Operator;technicians report";Operator check technicians report;;Operator check technicians;
Operator;close problem;closes;"Operator;problem";Operator close problem;;Operator close problem;
Operator;store problem details into database;stores;"Operator;problem details into database";Operator store problem details into database;;Operator store problem details into database;
Operator;arrange new meeting;arranges;"Operator;new meeting";Operator arrange new meeting;arranges;Operator|new meeting;
Finance;calculate reward;calculates;"Finance;reward";Finance calculate reward;;reward;Finance
Finance;pay reward;pays;"Finance;reward";Finance pay reward;;pay reward;Finance
HR;Dismiss employee;dismisses;"HR;employee";HR Dismiss employee;Dismisses;HR|employee;
HR;provide training;provides;"HR;training";HR provide training;;HR|training;
Management;Check employee performance;checks;"Management;employee performance";Management Check employee performance;Checks;employee performance;Management
Management;Suggest for reward;suggests for;"Management;reward";Management Suggest for reward;;reward;Management Suggest
Management;Suggest training;suggests;"Management;training";Management Suggest training;;training;Management Suggest
Management;Suggest employee dismissal;suggests;"Management;employee dismissal";Management Suggest employee dismissal;;employee dismissal;Management Suggest
Management;Choose appropriate benefit;chooses;"Management;appropriate benefit";Management Choose appropriate benefit;Chooses;appropriate benefit;Management
Management;Announce employee of the month;announces;"Management;employee of the month";Management Announce employee of the month;;employee of the month;Management Announce
Management;Prepare timetable for next 2 weeks;prepares;"Management;timetable for next 2 weeks";Management Prepare timetable for next 2 weeks;;timetable|weeks;Management Prepare
Management;check volume of work required;checks;"Management;volume of work";Management check volume of work required;;check volume of work;Management
Management;check workers availability;checks;"Management;workers availability";Management check workers availability;;check workers availability;Management
Management;publish timetable;publishes;"Management;timetable";Management publish timetable;publishes;timetable;Management
Management;fill shift sheet;fills;"Management;shift sheet";Management fill shift sheet;;fill shift sheet;Management
Management;publish shift schedule;publishes;"Management;shift schedule";Management publish shift schedule;publishes;shift schedule;Management
Support line - part time workers;fullfil availability;fulfills;"Support line - part time workers;availability";Support line - part time workers fullfil availability;;Support line|part time workers|availability;
Data entry officer;Process invoices;processes;"Data entry officer;invoices";Data entry officer Process invoices;Processes;Data entry officer|invoices;
Data entry officer;collect allocated invoices;collects;"Data entry officer;allocated invoices";Data entry officer collect allocated invoices;collects;Data entry officer|invoices;
Data entry officer;find out urgent invoice;finds out;"Data entry officer;urgent invoice";Data entry officer find out urgent invoice;finds out;Data entry officer|urgent invoice;
Data entry officer;Process immediately;processes;"Data entry officer;immediately";Data entry officer Process immediately;;Data entry officer;
Data entry officer;Put in high priority outbox;puts in;"Data entry officer;high priority outbox";Data entry officer Put in high priority outbox;;Data entry officer Put in high priority outbox;
Data entry officer;Look up vendor in SAP;looks up;"Data entry officer;vendor in SAP";Data entry officer Look up vendor in SAP;Looks up;Data entry officer|vendor in SAP;
Data entry officer;Complete vendor master record request form;completes;"Data entry officer;vendor master record request form";Data entry officer Complete vendor master record request form;;Data entry officer Complete vendor master record request form;
Data entry officer;add vendor number to invoice;adds;"Data entry officer;vendor number to invoice";Data entry officer add vendor number to invoice;;Data entry officer|vendor number to invoice;
Data entry officer;put in dedicatied boutbox for master record;puts in;"Data entry officer;dedicatied boutbox for master record";Data entry officer put in dedicatied boutbox for master record;;Data entry officer|dedicatied boutbox for master record;
Data entry officer;staple the form to invoice;staples;"Data entry officer;form to invoice";Data entry officer staple the form to invoice;;Data entry officer staple the form to invoice;
Data entry officer;Sort invoice;sorts;"Data entry officer;invoice";Data entry officer Sort invoice;;Data entry officer Sort invoice;
Data entry officer;Sort per vendor;sorts per;"Data entry officer;vendor";Data entry officer Sort per vendor;;Data entry officer Sort per vendor;
Data entry officer;Sort by amount;sorts by;"Data entry officer;amount";Data entry officer Sort by amount;;Data entry officer Sort by amount;
Data entry officer;Entry data;;Data entry officer Entry data;Data entry officer Entry data;;Data entry officer Entry data;
Data entry officer;Occasionally take invoice to outbox;takes;"Data entry officer;invoice to outbox";Data entry officer Occasionally take invoice to outbox;takes|outboxes;Data entry officer|invoice;
Mater data entry department;Check urgency;checks;"Mater data entry department;urgency";Mater data entry department Check urgency;Checks;Mater data entry department|urgency;
Mater data entry department;Create master data record;creates;"Mater data entry department;master data record";Mater data entry department Create master data record;Creates;Mater data entry department|master data record;
Mail center;Collect invoice with request;collects;"Mail center;invoice with request";Mail center Collect invoice with request;;center|invoice with request;Mail|Collect
Mail center;collect urgent invoice every hour;collects;"Mail center;urgent invoice every hour";Mail center collect urgent invoice every hour;collects;center|urgent invoice every hour;Mail
Mail center;take to mater record department;takes to;"Mail center;mater record department";Mail center take to mater record department;takes to;center|mater record department;Mail
Mail center;Collect invoice every hour;collects;"Mail center;invoice every hour";Mail center Collect invoice every hour;;center|hour;Mail|Collect invoice
Registry;Achive paid invoice per vendor;archives;"Registry;paid invoice per vendor";Registry Achive paid invoice per vendor;;invoice per vendor;Registry Achive
Registry;archive paid invoice per payment data;archives;"Registry;paid invoice per payment data";Registry archive paid invoice per payment data;;Registry archive|invoice per payment data;
Registry;Receive request from client;receives;"Registry;request from client";Registry Receive request from client;;request from client;Registry Receive
Registry;Locate requested invoice;locates;"Registry;requested invoice";Registry Locate requested invoice;Locates;invoice;Registry
Accounts Receivable Department;Generate monthly invoice;generates;"Accounts Receivable Department;monthly invoice";Accounts Receivable Department Generate monthly invoice;Generates;monthly invoice;Accounts Receivable Department
Payment office;automate pay;automates;"Payment office;pay";Payment office automate pay;automates;Payment office|pay;
Payment office;Generate payment report;generates;"Payment office;payment report";Payment office Generate payment report;Generates;Payment office|payment report;
Payment office;sent to client, accouts receivable department and registry;sends to;"Payment office;client|accouts receivable department|registry";Payment office sent to client, accouts receivable department and registry;;Payment office|client|accouts receivable department|registry;
Admin Officer;sort invoice per client;sorts;"Admin Officer;invoice per client";Admin Officer sort invoice per client;;sort invoice per client;Admin Officer
Admin Officer;Staple invoice entry form;staples;"Admin Officer;invoice entry form";Admin Officer Staple invoice entry form;;invoice entry form;Admin Officer Staple
Admin Officer;Entry information to invoice entry form;entries;"Admin Officer;information to invoice entry form";Admin Officer Entry information to invoice entry form;;information to invoice entry form;Admin Officer Entry
Admin Officer;check the completeness and tick relievant box;"checks;ticks";"Admin Officer;completeness;tick relievant box";Admin Officer check the completeness and tick relievant box;checks|ticks;completeness|relievant box;Admin Officer
Admin Officer;Check in a Excel file;checks in;"Admin Officer;Excel file";Admin Officer Check in a Excel file;Checks in;file;Admin Officer|Excel
Admin Officer;entry date of processing;;Admin Officer entry date of processing;Admin Officer entry date of processing;;entry date of processing;Admin Officer
Admin Officer;Check if invoice is urgent;checks;"Admin Officer;invoice";Admin Officer Check if invoice is urgent;Checks if;invoice;Admin Officer
Admin Officer;Put a red stamp on invoice entry form;puts;"Admin Officer;red stamp on invoice entry form";Admin Officer Put a red stamp on invoice entry form;;red stamp on invoice entry form;Admin Officer
Admin Officer;Check compliance;checks;"Admin Officer;compliance";Admin Officer Check compliance;Checks;compliance;Admin Officer
Admin Officer;Check if knowS SLA;checks;"Admin Officer;SLA";Admin Officer Check if knowS SLA;Checks if;;Admin Officer|knowS SLA
Admin Officer;Batched invoices;;Admin Officer Batched invoices;Admin Officer Batched invoices;;invoices;Admin Officer Batched
Admin Officer;Consider to handle;considers to handle;"Admin Officer;nan";Admin Officer Consider to handle;Considers to|handles;;Admin Officer
Admin Officer;Sent back to client for completion;sends;"Admin Officer;client for completion";Admin Officer Sent back to client for completion;;client for completion;Admin Officer
Admin Officer;Call client;calls;"Admin Officer;client";Admin Officer Call client;Calls;client;Admin Officer
Admin Officer;sent to experienced SSP members;sends to;"Admin Officer;SSP members";Admin Officer sent to experienced SSP members;;experienced SSP members;Admin Officer
Admin Officer;sent a remainder letter;sends;"Admin Officer;remainder letter";Admin Officer sent a remainder letter;;remainder letter;Admin Officer
Admin Officer;follow-up by telephone;follow-ups by;"Admin Officer;telephone";Admin Officer follow-up by telephone;;follow-up by telephone;Admin Officer
Vaidation officer;sort invoice;sorts;"Vaidation officer;invoice";Vaidation officer sort invoice;;officer sort invoice;Vaidation
Vaidation officer;print a report;prints;"Vaidation officer;report";Vaidation officer print a report;;officer print a report;Vaidation
Vaidation officer;Compare details of report with invoice;compares;"Vaidation officer;details of report with invoice";Vaidation officer Compare details of report with invoice;Compares;officer|details of report with invoice;Vaidation
Vaidation officer;Highlight errors;highlights;"Vaidation officer;errors";Vaidation officer Highlight errors;;officer Highlight errors;Vaidation
Vaidation officer;sent back to the data entry officer;sends;"Vaidation officer;data entry officer";Vaidation officer sent back to the data entry officer;;officer|data entry officer;Vaidation
Vaidation officer;keep a record of the officer's mistake number;keeps;"Vaidation officer;record of the officer's mistake number";Vaidation officer keep a record of the officer's mistake number;keeps;officer|record of the officer's mistake number;Vaidation
Vaidation officer;check box 'invoice entered corredtly;checks;"Vaidation officer;box's invoice";Vaidation officer check box 'invoice entered corredtly;;officer check box|invoice;Vaidation
Vaidation officer;Check urgency;checks;"Vaidation officer;urgency";Vaidation officer Check urgency;Checks;officer|urgency;Vaidation
Vaidation officer;Process firstly;processes;"Vaidation officer;firstly";Vaidation officer Process firstly;Processes firstly;officer;Vaidation
Mail center;Open envelopes;opens;"Mail center;envelopes";Mail center Open envelopes;Opens;center|envelopes;Mail
Mail center;Categorised invoices;;Mail center Categorised invoices;Mail center Categorised invoices;;center|invoices;Mail|Categorised
Parts Provision Team;Parts in Stock;;Parts Provision Team Parts in Stock;Parts Provision Team Parts in Stock;;;Parts Provision Team Parts|Stock
Parts Provision Team;PPT requests authorisation for extra Part(s);;Parts Provision Team PPT requests authorisation for extra Part;Parts Provision Team PPT requests authorisation for extra Part(s);;requests authorisation for extra Part|s;Parts Provision Team PPT
