Entry;Entities;EntityType
Dist Planner;Plan|Dis;PERSON|I-per
Shipping Clerk;Clerk|Ship;PERSON|I-per
Receiver Office;Office|Rec;ORGANIZATION|I-org
Destination office;;
Developer Team;Team;ORGANIZATION
Database Check;Database Check;B-misc
Mortgage quote;;
debt collection;;
Administration Assistant;Administration Assistant;B-misc
Client-end Manager;Manager;PERSON
HR Advisor;HR Ad;ORGANIZATION
Business User;Business User;B-misc
Personal User;Personal User;B-misc
Customer Admin.;Ad|Custom;B-misc|I-misc
Order Administration;Order Administration;ORGANIZATION
Engineering Dept;Engineering De;ORGANIZATION
Research group;;
Brokering agency;;
group leader;;
developer;;
Medical laboratory technician;;
Medical Pathologist;Medical Path;B-misc
coordinator;;
Community Manager;Community Manager;B-misc
traffic warden;;
Comuter System;System|Com;B-misc|I-misc
Traffic warden;;
BPMS;BP;B-misc
Change Requestor;Change Re;B-misc
Suppliers;;
Services (logistic);Services;B-misc
Department of Finance;Department of Finance;ORGANIZATION
Assets;Ass;B-misc
Liabilities;;
Equity;E;ORGANIZATION
Income;Inc;LOCATION
Planning department;;
designing and implementing a web site;;
End user;;
Office Management;Office Management;ORGANIZATION
Claim handling department;;
The Customer Service department;Service|Custom;B-misc|I-misc
Ianus;Ian;PERSON
Treasurer;Treasure;PERSON
Translation Agency;Translation Agency;ORGANIZATION
Rating company;;
Author;;
PC Chair;PC Chair;B-misc
Reviewer;;
Key account manager;;
1st Level Support Agent;1st Level Support Agent;B-misc
2nd Level Support Agent;2nd Level Support Agent;B-misc
Reseller-B;Res;B-misc
Payment Org;Pay|Org;ORGANIZATION|I-org
Transporter;;
Government Authorities;Government Author;ORGANIZATION
master data entry department;;
Ground Floor;Ground Floor;B-misc
level 2;;
Level 5;Level 5;ORGANIZATION
Level 7;Level;ORGANIZATION
Paypal System;Pay|System;B-misc|I-misc
Booking agency;;
TS Clerical Staff;Staff|Cl|TS;ORGANIZATION|I-per|I-org
Assistant Clerical Staff;Staff|Cl;ORGANIZATION|I-org
TS Outsourced IT Department;IT Department|TS;PERSON|ORGANIZATION
Notification department;;
Handling department;;
Facebook User;Facebook User;B-misc
Facebook;Facebook;ORGANIZATION
Scout Leader;Scout Leader;B-misc
Group Scout Leaders;Group Scout Leader;B-misc
Member;;
Center Manager;Center Manager;B-misc
Medical Supervisor;Medical Super;B-misc
18+ Participant;;
Main Scout Leader;Main Scout Leader;B-misc
Scout Member;;
Center Council;Center Council;ORGANIZATION
Property manager;;
Property Manager;Property|Manager;B-misc|I-org
CRM department;CR;ORGANIZATION
IT Strategic Sourcing (J&J);IT Strategic So|J;B-misc|PERSON
J&J local contacts;J;PERSON|PERSON
J&J Local Contact;J & J Local Contact;B-misc
IT Strategic Sourcing;IT Strategic So;ORGANIZATION
System Administrator;System Ad;ORGANIZATION
IT Compliance;IT Com;ORGANIZATION
Local Manager;Local Manager;B-misc
Local Human Resources;Local Human Resources;B-misc
Accident;A;B-misc
ABC Company;ABC Company;ORGANIZATION
Customer support section;;
Business section;Business;B-misc
Elevo developement division;;
Marketing support;;
Business analyst;;
Sale manager;;
CFO;CF;PERSON
Team manager;;
Tutor;Tu;ORGANIZATION
TS HR Coordinator;TS HR Co;PERSON
TS Clerical/Admin Staff;Staff|TS Cl|Ad;PERSON|ORGANIZATION|I-org
Staff personnel;;
Attendant;;
Nursing/ Medical Clinician;Nursing|Medical Clin;B-misc|ORGANIZATION
 Medical Clinician;Medical Clin;ORGANIZATION
Payment System;Pay|System;B-misc|I-misc
Help Desk;Help Des;PERSON
Third party;;
Field IT staff;IT;I-misc
IT Manager;IT Manager;B-misc
Service Desk Staff;Staff|Service Des;B-misc|I-misc
Adminstrator Officer;Officer;ORGANIZATION
GP;GP;B-misc
Ward;Ward;PERSON
finance department;;
supervisor;;
Billing department;;
Sales Person;Sales Person;B-misc
Computer repair process;;
installation;;
Expense Report;Report|Ex;B-misc|I-misc
booking hotel en bus;;
booking extras;;
Customize offer;;
instllation;;
sales person;;
sales manager;;
installation department;;
billing department;;
Expense report;;
Sales person;;
Sales manager;;
computer repair;;
sales departement;;
Computer repair;;
Installation department;;
crs;;
book vacation;;
presenting offer;;
create customized offer;;
loan approvel;;
Loan approval;;
Data Entery Officer;Data Enter|Officer;B-misc|I-misc
Validation;;
Registery;;
SSP (Validation);SS|Val;ORGANIZATION|ORGANIZATION
Experience;Experience;B-misc
Next level manager;;
HR coordinator;HR;B-misc
Client-next level manager;;
HR service;HR;B-misc
TS recruitment manager;TS;PERSON
Admin assistant;;
TS - Recruitment manager;TS;B-misc
Client-HR advisor;Cl;B-misc
transaction;;
transactional sub-process;;
SSP Admin Officer;SS|Officer|Ad;ORGANIZATION|I-org|I-org
SSP Data Entry Officer;Data Entry Officer|SS;B-misc|I-misc
SSP Validation Officer;SS|Officer|Val;ORGANIZATION|I-org|I-org
Seventh Sense;Seventh Sense;B-misc
Payroll;Pay;ORGANIZATION
Acc Rec;A|Rec;B-misc|I-misc
SAP System;SAP System;ORGANIZATION
Foreign University;Foreign University;ORGANIZATION
Foreign studies department;;
University IS;University IS;ORGANIZATION
Postgraduate studies department;;
Postgraduate students;;
Graduates of master's degree;;
Provide students with postgraduate studies;;
International Student;International Student;ORGANIZATION
International Office Employee;International Office Em;ORGANIZATION
Department Head;Department Head;LOCATION
Mentor;Men;PERSON
Vice Dean;Vice Dean;PERSON
Foreign Student;Foreign Student;ORGANIZATION
ICT Team;Team|IC;ORGANIZATION|I-org
UAT Key Stakeholders;UA|Key St;ORGANIZATION|I-org
Santa Claus;Santa Claus;B-misc
Trustee;;
Santa's Dwarfs;Santa|Dwa;B-misc|I-misc
Presentee;;
mortgage specialist;;
E-payment provider;;
Service Desk Level 1;Level 1|Service Des;B-misc|I-misc
Service Desk Level 2;Level 2|Service Des;B-misc|I-misc
Service Desk Chief;Chief|Service Des;B-misc|I-misc
RMA Employee;RM|Em;ORGANIZATION|I-org
webServices for storing data about attendance of employees;;
IS operator;IS;B-misc
Workshift supervisor;;
Department manager;;
Delivery company;;
Main goods depot A;A;ORGANIZATION
Goods depot B;B;PERSON
store manager;;
EVENT REGISTRATION;EV|RE;B-misc|I-misc
Event Registration;Event Regis;B-misc
Event Regestration;Event Reg;B-misc
REGISTRATION PROCESS;;
Request for Travel Approval;Re|for Travel App;B-misc|I-misc
Event registration;;
Practice - Travel Authorization;Author|Practice;B-misc|I-misc
Registration for Travel Approval;Travel App;B-misc
Individual;;
Purchaser;;
Online Business Broker;Online Business Bro;B-misc
Seller (Private and Business Broker);Private and Business Bro|Selle;B-misc|B-misc
Payments;Pay;B-misc
Hospital Admission;Hospital Ad;LOCATION
Ambulance car service;;
Hospital drugs store;;
Drug store;;
nurse;;
doctor;;
Repairer;;
Inspector;;
Equipment store;;
Hospital management;;
world market;;
owner;;
service designer;;
project manager;;
contractor;;
marketing;;
GoPay;Go;ORGANIZATION
reader;;
Registrars Office;Registrar|Office;ORGANIZATION|I-org
Call Center;Call Center;LOCATION
IST;IS;ORGANIZATION
Financial accounting department;;
Warehouse department;;
Central Purchasing/Procurement department;Central P;ORGANIZATION
ACCOUNT PAYABLE MANAGER;;
ACCOUNT PAYABLE CLERK;;
ACCOUNTS RECEIVABLE;;
SALES ADMINISTRATOR;AD|SA;PERSON|I-per
PLAN SHIPPING;SH|PL;B-misc|I-misc
SALES BILLING;SA|B;B-misc|I-misc
Constultant;;
Debit Card Department;Card Department|De;ORGANIZATION|I-org
Bank employee;Bank;B-misc
Bank manager;Bank;B-misc
Miranda (Secretary);Secretary|Miranda;PERSON|ORGANIZATION
Charles (Administrator);Charles;PERSON
1st level support;;
2nd level support;;
Chef;;
Mail Centre Staffs (5 x S3 grade);Mail Centre Staff;B-misc
Admin Officers (4 x S5 grade);Officers|Ad;B-misc|I-misc
Data Entry Officers (6 x S4 grade);Data Entry Officers;B-misc
Master Data Entry Staff (1 x S5 grade);Master Data Entry Staff;B-misc
Validation Officers (4 x S6 grade);Officers|Val;B-misc|I-misc
Accounts Receivable Staffs (4 x S6 grade);Staff|Rec|Account;B-misc|I-misc|I-misc
Registry Staffs (4 x S4 grade);Staff|Regis;B-misc|I-misc
Griffith University Library;Griffith University Library;LOCATION
Other Library Catalogues;Other Library Catalogues;B-misc
Borrower;;
Library returns personnel;;
Web site;;
Administrator (Charles);Charles;PERSON
Secretary (Miranda);Miranda;PERSON
Mortgage offer;;
Head of Department;Department;I-org
Team Lead;Team Lead;ORGANIZATION
Information Requesters;;
Information Providers;Pro;I-org
Making queries of an object ID to ADS;AD|ID;B-misc|ORGANIZATION
Electronic Shopping Assistant;Electronic Shopping Assistant;B-misc
Discovery Service;Discovery Service;B-misc
Proxy;Pro;B-misc
Electronic shopping assistant;;
Shop personal;;
Clients;;
EPCIS;EP;ORGANIZATION
Contact Node;Contact No;ORGANIZATION
Storage Node;Stora|No;LOCATION|I-loc
Intermediate Node;Inter|No;B-misc|I-misc
Authenticating and Authorizing Information Requesters;Information Re|and Author|Au;B-misc|I-misc|I-misc
Object Agents;Object Agent;B-misc
Domain Name System (DNS);DNS|Domain Name System;B-misc|B-misc
Distributed Hash Table (DHT);Table|DH|Has;ORGANIZATION|I-org|PERSON
Finding a DS through ONS Bootstrapping;DS|Boots|ON;B-misc|ORGANIZATION|I-org
BRIDGE Discovery Services;Discovery Services;B-misc
Contact Nodes;Contact No;ORGANIZATION
Storage Nodes;Stora|No;LOCATION|I-loc
Intermediate Nodes;Inter|No;B-misc|I-misc
Discovery Services;Discovery Services;B-misc
Publishing the Basic Records to DS;DS|Publishing the Basic Records to;B-misc|PERSON
Sending the Requested Detailed Info;Det|Re|Info;B-misc|I-misc|I-misc
Registering the Object with DS;Object with DS;B-misc
Retrieving the Results;Results;B-misc
Sending a Full Query;Sen|a Full Que;B-misc|I-misc
Authorizing Access Rights;Access Rights;B-misc
Returning the Results;Results;B-misc
Sending a Query to an Information Provider;Pro;I-misc
Connecting to an Object Agent;Object Agent;B-misc
Linking to a Designated DS and Sending the Query;DS|Sen|the Que|Design;B-misc|I-misc|B-misc|I-misc
Preparing a DOCUMENT;DO;PERSON
Publishing Key Events plus Security Options to ADS;Publishing Key Events plus Security Op|to|AD;B-misc|I-misc|ORGANIZATION
Requesting Detailed Info;Info;I-misc
Retrieving the Pointer Info;Pointe|Info;B-misc|I-misc
Returning the Detailed Info;Det|Info;B-misc|I-misc
Sending a One-Off Query to DS;DS|One|Que;B-misc|I-misc|PERSON
Sending the Results;Results;B-misc
Logistic / Warehouse;Ware;LOCATION
BCP;BC;ORGANIZATION
MS Outlook;MS Outlook;ORGANIZATION
Project management;;
Volunteer;Volunteer;ORGANIZATION
GUI Testing Consultant;G|Test|Consulta;B-misc|I-misc|I-misc
Testers;;
Programmers;;
Analysts;;
Response;Response;B-misc
Assessment;;
Resource Evaluation;Resource Evaluation;B-misc
Infrastructure evaluation;;
Operational Plan;Plan|Operation;B-misc|I-misc
Context;;
Website;;
Administration / Director;;
Map 2D Website;;
Student / Member of public;;
Director / Administration staff;;
Shared document;;
Shared file;;
Administration staff / Director;Director;ORGANIZATION
Shared booking spreadsheet;;
Student / public user;;
Brisbane Institute of Art Staff;Brisbane Institute of Art Staff;ORGANIZATION
Shared document's folder;;
Brisbane Institute of Art;Brisbane Institute of Art;ORGANIZATION
Brisbane Institute of Art Website;Brisbane Institute of Art Website;ORGANIZATION
Wake up;;
Student office worker;;
HR Co-Ordinator;HR Co;ORGANIZATION
Clerical Staff;Staff|Cl;ORGANIZATION|I-org
Cloud Source;Cloud Source;B-misc
Main Process;Main Process;B-misc
Corrdination Unit;Unit|Cor;ORGANIZATION|I-org
Commitee Members;Members|Com;B-misc|I-org
Ware House;Ware House;LOCATION
Bill Jobs (Owner);Bill Jobs;PERSON
Service Technician;Service Tech;B-misc
Data Operator;Data Operator;B-misc
Data Operator?;;
Corporate Data Operator;Corporate Data Operator;B-misc
Prospect/Customer Data User;Data User|Custom;B-misc|I-misc
Customer Data Requestor;Data Re|Custom;B-misc|I-misc
Business Data Steward;Business Data St;ORGANIZATION
Supplier Data Requestor;Data Re;ORGANIZATION
Contact/Debtor Data User;Data User|De;ORGANIZATION|I-org
Supplier requestor;;
Business data steward;;
Shared service operator;;
Data Governor;Data Governor;ORGANIZATION
Project Manager/Team;Team;ORGANIZATION
Local Sales;Local Sales;ORGANIZATION
Global Master Data;Global Master Data;B-misc
Local Service;Local Service;B-misc
Supplier Data User;Data User;ORGANIZATION
Coprorate Data Operator;Data Operator;B-misc
Sales Partner Relatations Requestor;Re;I-org|I-org
Rating Agency;Agency|Rat;ORGANIZATION|I-org
Merchant;Merchant;ORGANIZATION
PayPal;Pay;ORGANIZATION
HR Coordinator Team;HR Co|Team;ORGANIZATION|I-org
Miranda, Secretary;Miranda;PERSON
Charles, Administrator;Charles;PERSON
Amploeyy from Office for studies;Office for studies;ORGANIZATION
Education department;;
ED of foreign country;;
transaction system;;
order management;;
auctioning service;;
Messaging Service;Service|Mess;B-misc|I-misc
Publisher;;
Sigma Engineering Website;Sigma Engineering Website;ORGANIZATION
Incoming mail center;;
Deliver department;;
Profile department;;
SSP Admin office;SS|Ad;ORGANIZATION|I-org
Experience SSP Members;Experience SS|Members;B-misc|I-misc
Master data management;;
QAS Call Center;Q|Call Center;LOCATION|I-loc
QAS Ambulance Medical Dispatcher;Amb|Q|Medical Dis;PERSON|I-per|I-misc
Brisbane Institute Of Art;Brisbane Institute Of Art;ORGANIZATION
Receiving Depot;Rec|Depot;ORGANIZATION|I-org
Real Estate Agent;Real Estate Agent;B-misc
Home Loan Department;Home Loan Department;ORGANIZATION
Branch;Branch;B-misc
Property Assesment Department;Department|Property Ass;ORGANIZATION|I-org
Lender;Len;PERSON
Mortgage Broker;Bro|Mort;ORGANIZATION|I-org
Candidate for study;;
Study Department;Study Department;ORGANIZATION
Boss;Boss;PERSON
Worker;;
Connectivity Services;Services|Con;B-misc|I-misc
SSP Experienced Employee;Em|SS|Experience;ORGANIZATION|I-org|I-org
storage manager;;
external vendor;;
sales and distribution;;
entrance room;;
bar;;
way;;
Platform;;
Crowd;;
Project Board;Project Board;ORGANIZATION
Advertising Agency;Agency|Ad;ORGANIZATION|I-org
Organisational Unit;Organisation|Unit;ORGANIZATION|I-org
External Member;Member;I-org
Workshop Organizer;Workshop Organ;B-misc
Participant;;
Backend;;
Frontend;;
Retail;;
Legal;;
Land or Right-of-Way;Land or Right;B-misc
Business Developement;Business Dev;ORGANIZATION
Employee At-Large;At;ORGANIZATION
Technical/Admin staff;;
Data entry department;;
Product Manager;Manager;I-org
Connectivity services;;
Claimant;;
Insurence Company;Company|In;ORGANIZATION|I-org
Pizza Delivery Boy;Boy|Pizza Del;B-misc|I-misc
Hitman;Hit;PERSON
Cook Book;Cook Book;B-misc
Bank clerk;Bank;B-misc
Bank IS;Bank IS;ORGANIZATION
team leader;;
designer;;
programmers;;
testers;;
Policy Reviewer;Policy Review;B-misc
Process Manager;Process Manager;B-misc
Registration Department;Department|Regis;ORGANIZATION|I-org
FlightCentre;Flight;ORGANIZATION
Experienced SSP members;SS;B-misc
Master data entry officer;;
Payment officer;;
Accounts receivable department officer;;
Call Centre;Call Centre;LOCATION
Call centre;;
SSP Payment Office;Office|SS|Pay;ORGANIZATION|I-org|I-org
SSP's Accounts Receivable Department;Department|SS|Rec|Account;B-misc|B-misc|I-misc|I-misc
IN/OUT Patient Group;Group|Pat|O;ORGANIZATION|I-org|I-org
Policy holder;;
Claims;;
Alarm Centre;Centre|Ala;LOCATION|I-loc
Assistance Coordinator;Co|Ass;ORGANIZATION|I-org
Interviewer;;
HR manager (recruiter);HR;B-misc
Moravia IT;Moravia IT;ORGANIZATION
Terumo BCT;BC;PERSON
PayPal server;Pay;B-misc
Unique Identify information;;
manager and waiter;;
Advising Bank;Bank|Ad;ORGANIZATION|ORGANIZATION
HR department;HR;ORGANIZATION
Shipper;;
SMRegistry;SM;B-misc
Supermarket;;
Caller;Calle;ORGANIZATION
