Subject;Activity;VerbPhrases;NounPhrases;ProperNouns
Make to Inventory;Determine demanded components according to planning;demands|accords to;components|planning;Determine
Make to Inventory;Purchase missing parts and put on stock;misses|puts on;Purchase|parts|stock;
Production;Perform production;Performs;production;
Production;Perform quality checks;Performs;quality checks;
Production;Fill product into a packaging;Fills;product into a packaging;
Production;Pack and label product;Packs|labels;product;
Production;Transport product to the warehouse;;Transport product to the warehouse;
Production;Perform follow-up production;Performs follow;production;
Teacher;Check process model;Checks;process model;
Teacher;Assign penalty points;;Assign penalty points;
Teacher;Check process assign points;Checks;process assign points;
Teacher;Consult project, check progress;checks;project|progress;Consult
Team;Agree on team field;Agrees on;team field;
Team;Analyse field and identify process;identifies;field|process;Analyse
Team;Assign roles in team;;Assign roles in team;
Team;Present the project;Presents;project;
Student;Join team;Joins;team;
Student;Create one process model;Creates;process model;
Student;Fix process until next session;Fixes;process until next session;
Student;Extend their process to L 2,3;Extends;process to L 2,3;
Student;perform work according to the role;performs|accords to;work|role;
Client;Deposit amount of money;;Deposit amount of money;
Client;Withdraw amount of money;Withdraws;amount of money;
Client;Transfer amount of money;;Transfer amount of money;
Client;Provide Further Information;Provides;Further Information;
Client;Cancel the order;Cancels;order;
Client;Receive invoice;Receives;invoice;
Bank Agent;Enter the required transaction details;Enters;required transaction details;
Bank Agent;Enter client's account details;Enters;client's account details;
Bank Agent;Notify the client of problem;Notifies;client of problem;
Bank Agent;Notify client of complete transaction;Notifies;client of complete transaction;
Bank System;Check Client's account details;Checks;account details;Client
Bank System;Add amount of money deposit to account;Adds|accounts;amount of money deposit to;
Bank System;transfer amount of money to account;accounts;transfer amount of money to;
Bank System;Check account balance;Checks;account balance;
Bank System;Withdraw amount from account;Withdraws;amount from account;
Bank System;Issue invoice;;Issue invoice;
Business Analyst;Collect data conduct business analysis regarding customer feedback;Collects|regards;data conduct business analysis|customer feedback;
Business Analyst;Check design and provide feedback;Checks|provides;design|feedback;
Web Designer;Change design;;Change design;
PHP/HTML/CSS Specialist;Integrate with the overall implemenation;Integrates with;overall implemenation;
PHP/HTML/CSS Specialist;Adjust according to test results;Adjusts according to;test results;
Tester;Test the final website to make sure everything is going well;Tests|makes|goes;final website to;
Tester;provide test results;provides;test results;
Business Analyst;Collect data conduct business analysis regarding customer service;Collects|regards;data conduct business analysis|customer service;
Marketing Manager;Create and provide information about the company;Creates|provides;information about the company;
IT Staff Member;Create community groups on Facebook, Twitter and Myspace;Creates;community groups on Facebook;Twitter|Myspace
IT Staff Member;Add provided information to the created groups;provides|creates;Add|information|groups;
IT Staff Member;Add the provided information to the community;Adds|provides;information to the community;
IT Staff Member;Add new information as soon as Received;Adds|Receiveds;new information;
Company's Spokesperson;Inquire about PRWeb press release services and prices for company's specific requirements;;Inquire about PRWeb press release services|prices for company's specific requirements;
Company's Spokesperson;Make an order for the specific first run press release;Makes;order for the specific first run press release;
PRWeb Representative;Send back information regarding the requested requirements;Sends|regards|requests;back information|requirements;
PRWeb Representative;Place an order for a fist run press release with the detailed company info;Places;order for a fist run press release with the detailed company info;
PRWeb Services Headquarters;Run the first press release for the company;Runs;first press release for the company;
Business Analyst;Collect data about company's products conduct business analysis;Collects|conducts;data about company's products|business analysis;
Web Designer;Integrate Design and decide where such data should be placed;Integrates|decides|shoulds|places;where such data;Design
Marketing Manager;collect data and conduct business analysis covering all aspects about company's products;collects|conducts|covers;data|business analysis|aspects about company's products;
Marketing Manager;create written material for the leaflet;creates written;material for the leaflet;
Marketing Manager;create written material for the whitepaper;creates written;material for the whitepaper;
Graphic Designer;create graphics and develop design for the leaflet;creates|develops;graphics|design for the leaflet;
Graphic Designer;create graphics and develop design for the whitepaper;creates|develops;graphics|design for the whitepaper;
Printing house;Print leaflets as ordered;orders;Print leaflets;
IT Staff Member;Integrate the whitepaper with company's website;Integrates;whitepaper with company's website;
Company Representative;Define the Audience;Defines;Audience;
Company Representative;Develop a Concept;Develops;Concept;
Company Representative;Upload to Youtube;Uploads to;;Youtube
Camera man;Shoot Video;Shoots;;Video
Graphic designer;Create Graphics;Creates;Graphics;
Sound editor;Record Narration;;Record Narration;
Sound editor;Find or create Music;Finds|creates;Music;
Executive producer/Director;Capture Video to Computer;Captures;Video to Computer;
Executive producer/Director;Import Audio: Narration, Music and Sound Effects;;Narration|Music|Effects;Import Audio|Sound
Executive producer/Director;Import Graphics;;;Import Graphics
Executive producer/Director;Create Titles, Subtitles, Credits;Creates;Credits;Titles|Subtitles
Executive producer/Director;Edit it all together;Edits;;
Advertisments Advisor;Determine the Form or Style;Determines;;Form|Style
Advertisments Advisor;Write the Script;Writes;Script;
Advertisments Advisor;Create a Storyboard;Creates;Storyboard;
Customer;bring computer for checking;brings|checks;computer;
Customer;deciding if the cost is low;decides;cost;
Customer;Deciding to repair;Decidings|repairs;;
Customer;going home without fixing the computer;goes|fixes;computer;
Customer;Getting back computer;Gettings;back computer;
Customer;Paying for the repair;Payings for;repair;
Customer;GOING HOME;GOINGs;;
CSR;Checking defecrive computer;Checkings;defecrive computer;
CSR;calculate and send price offer;calculates|sends;price offer;
CSR;getting computer for repairing;gets|repairs;computer;
CSR;check and repair the hardware;checks|repairs;hardware;
CSR;proper system functionality is tested;tests;proper system functionality;
CSR;checks and configures the software;;checks|configures the software;
CSR;repair is finished;finishes;repair;
CSR;another arbitrary repair activity is executed;executes;arbitrary repair activity;
Pit's Store;Update the online cataloge;Updates;online;
Pit's Store;checks available bikes by the envisioned conf.;;checks available bikes by the envisioned conf;
Pit's Store;Offer a test ride;Offers;test ride;
Pit's Store;Don't offer a test ride;offers;test ride;
Pit's Store;final configuration price offer;;final configuration price offer;
Pit's Store;Close the deal;Closes;deal;
Pit's Store;Don't close the deal;closes;deal;
Pit's Store;Get customer concent;;customer concent;
Pit's Store;Contact customer to pick up bike;picks up;Contact customer to|bike;
Pit's Store;Give the customer the bike;Gives;customer the bike;
Pit's Store;Get Bike;;Bike;
Pit's Store;starting cancellation;starts;cancellation;
Pit's Store;get refunds from Fami except of cancellation fee;;refunds from Fami|cancellation fee;
Pit's Store;Returning payment to customer;Returnings;payment to customer;
Fami;send payments;sends;payments;
Customer;Intend to Order a bike;Intends|Orders;bike;
Customer;Decide of final configuration;Decides of;final configuration;
Customer;Don't want to Order from Pit;wants|Orders from;Pit;
Customer;Accept price;Accepts;price;
Customer;Bargain about price;;Bargain about price;
Customer;stop negotiation and don't order;stops|orders;negotiation;
Customer;Pick up bike;Picks up;bike;
Customer;Get payment back;;payment;
Pit's Store;accept the deal;accepts;deal;
Fami;Update Website;;Update Website;
Customer;test ride;;test ride;
Pit's Store;waiting for new bike with updated conf.;waits for;new bike with updated conf;
Pit's Store;Receive monthly payment;Receives;monthly payment;
Pit's Store;checking if can be cancelled/ updated;checks|cans|updates;;cancelled/
Teacher;Assign team to student;;team to student;Assign
Teacher;Consult;;;Consult
Teacher;Check progress;Checks;progress;
Student;Fix the process until next session;Fixes;process until next session;
Student;Extend their process to Level 2,3;Extends;process to Level 2,3;
Student;Perform a work according to the role;Performs|accords to;work|role;
Team;Analyse field and identify processes;identifies;field|processes;Analyse
Team;present the project;presents;project;
Marketing;Analyze market;Analyzes;market;
Marketing;Send offer to potential client;Sends;offer to potential client;
Marketing;Prepare portfolio presentation;Prepares;portfolio presentation;
Marketing;Inform management about potential client's responses;Informs;management about potential client's responses;
Management;New client needed;needs;New client;
Management;Analyze responses and start negotiation;Analyzes|starts;responses|negotiation;
Management;Prepare contract for sign;Prepares;contract for sign;
Management;Analyze reasons and learn a lesson;Analyzes|learns;reasons|lesson;
Management;Sign contract;;Sign contract;
Management;Analyze request;;request;Analyze
Finance;find finance resources;finds;finance resources;
Finance;Pay invoice;Pays;invoice;
IT Department;Analyze request;;request;Analyze
IT Department;Edit and complete request;Edits;complete request;
IT Department;fullfil form and send request to management;sends;fullfil form|request to management;
IT Department;prepare order;prepares;order;
IT Department;receive hw and invoice;receives|invoices;;hw
Technician;travel by car;;travel by car;
Technician;analyze problem;;problem;analyze
Technician;fix problem;;fix problem;
Technician;call operator;calls;operator;
Technician;give customer invoice;gives;customer invoice;
Technician;accept assignment;accepts;assignment;
Technician;select car;;select car;
Technician;travel by bus;;travel by bus;
Operator;understand customers problem;understands;customers problem;
Operator;select appropriate technician;selects;appropriate technician;
Operator;check technicians report;checks|reports;technicians;
Operator;close problem;;close problem;
Operator;store problem details into database;;store problem details into database;
Operator;arrange new meeting;arranges;new meeting;
Finance;calculate reward;;calculate reward;
Finance;pay reward;pays;reward;
HR;Dismiss employee;;Dismiss employee;
HR;provide training;provides;training;
Management;Check employee performance;Checks;employee performance;
Management;Suggest for reward;Suggests for;reward;
Management;Suggest training;Suggests;training;
Management;Suggest employee dismissal;Suggests;employee dismissal;
Management;Choose appropriate benefit;Chooses;appropriate benefit;
Management;Announce employee of the month;Announces;employee of the month;
Management;Prepare timetable for next 2 weeks;Prepares;timetable|weeks;
Management;check volume of work required;checks|requires;volume of work;
Management;check workers availability;checks;workers availability;
Management;publish timetable;;timetable;publish
Management;fill shift sheet;fills;shift sheet;
Management;publish shift schedule;publishes;shift schedule;
Support line - part time workers;fullfil availability;;availability;fullfil
Data entry officer;Process invoices;;Process invoices;
Data entry officer;collect allocated invoices;allocates;invoices;collect
Data entry officer;find out urgent invoice;finds out;urgent invoice;
Data entry officer;Process immediately;;Process;
Data entry officer;Put in high priority outbox;Puts in;high priority outbox;
Data entry officer;Look up vendor in SAP;Looks up;vendor in SAP;
Data entry officer;Complete vendor master record request form;;Complete vendor master record request form;
Data entry officer;add vendor number to invoice;adds|invoices;vendor number to;
Data entry officer;put in dedicatied boutbox for master record;puts in;dedicatied boutbox for master record;
Data entry officer;staple the form to invoice;staples|invoices;form to;
Data entry officer;Sort invoice;;;
Data entry officer;Sort per vendor;;Sort per vendor;
Data entry officer;Sort by amount;;Sort by amount;
Data entry officer;Entry data;;Entry data;
Data entry officer;Occasionally take invoice to outbox;takes;invoice to outbox;
Mater data entry department;Check urgency;Checks;urgency;
Mater data entry department;Create master data record;Creates;master data record;
Mail center;Collect invoice with request;Collects;invoice with request;
Mail center;collect urgent invoice every hour;collects;urgent invoice every hour;
Mail center;take to mater record department;takes to|maters;record department;
Mail center;Collect invoice every hour;Collects;invoice every hour;
Registry;Achive paid invoice per vendor;pays;invoice per vendor;Achive
Registry;archive paid invoice per payment data;pays;invoice per payment data;archive
Registry;Receive request from client;Receives;request from client;
Registry;Locate requested invoice;requests;invoice;Locate
Accounts Receivable Department;Generate monthly invoice;Generates;monthly invoice;
Payment office;automate pay;;pay;automate
Payment office;Generate payment report;Generates;payment report;
Payment office;sent to client, accouts receivable department and registry;sends to|accoutses;client|receivable department|registry;
Admin Officer;sort invoice per client;invoices per;client;
Admin Officer;Staple invoice entry form;invoices;Staple|entry form;
Admin Officer;Entry information to invoice entry form;invoices;Entry information to|entry form;
Admin Officer;check the completeness and tick relievant box;checks|ticks;box;relievant
Admin Officer;Check in a Excel file;Checks in;file;Excel
Admin Officer;entry date of processing;;entry date of processing;
Admin Officer;Check if invoice is urgent;Checks;invoice;
Admin Officer;Put a red stamp on invoice entry form;Puts;red stamp on invoice entry form;
Admin Officer;Check compliance;Checks;compliance;
Admin Officer;Check if knowS SLA;Checks;;knowS SLA
Admin Officer;Batched invoices;;invoices;Batched
Admin Officer;Consider to handle;Considers|handles;;
Admin Officer;Sent back to client for completion;Sents;client for completion;
Admin Officer;Call client;Calls;client;
Admin Officer;sent to experienced SSP members;sends to;members;SSP
Admin Officer;sent a remainder letter;sends;remainder letter;
Admin Officer;follow-up by telephone;follows;up by telephone;
Vaidation officer;sort invoice;invoices;;
Vaidation officer;print a report;prints;report;
Vaidation officer;Compare details of report with invoice;Compares;details of report with invoice;
Vaidation officer;Highlight errors;;Highlight errors;
Vaidation officer;sent back to the data entry officer;sends;data entry officer;
Vaidation officer;keep a record of the officer's mistake number;keeps;record of the officer's mistake number;
Vaidation officer;check box 'invoice entered corredtly;checks|enters;box|invoice;
Vaidation officer;Check urgency;Checks;urgency;
Vaidation officer;Process firstly;;Process;
Mail center;Open envelopes;;Open envelopes;
Mail center;Categorised invoices;;Categorised invoices;
Parts Provision Team;Parts in Stock;;Parts in Stock;
Parts Provision Team;PPT requests authorisation for extra Part(s);requests;authorisation for extra Part(s;PPT
Parts Provision Team;Authorisation given;gives;Authorisation;
Parts Provision Team;requested from stock;requests from;stock;
Parts Provision Team;Request authorisation for additional part(s);Requests;authorisation for additional part(s;
Parts Provision Team;Authorisation given;gives;Authorisation;
Service Team;Request additional part(s);Requests;;part(s
Service Team;Service the Vehicle;Services;Vehicle;
Service Team;Stop Work;Stops;Work;
Parts Provision Team;Customer details recorded;records;Customer details;
Parts Provision Team;Part(s) available for collection;;collection;Part(s
Parts Provision Team;Customer agrees to buy;agrees|buys;Customer;
Parts Provision Team;PPT confirms / identifies the Part(s);confirms|identifies;Part(s;PPT
Parts Provision Team;Check Stock;Checks;Stock;
Teacher;check process;checks;process;
Teacher;assign penalty points;;assign penalty points;
Teacher;Check process;Checks;process;
Teacher;Assign possitive reports;;Assign possitive reports;
Teacher;Consult project;;project;Consult
Student;fix the process;fixes;process;
Student;extend process to level 2,3;extends|levels;process to;
Student;Join Team;Joins;;Team
Student;Create process model;Creates;process model;
Student;Perform work according to role;Performs|accords to;work|role;
Team;Agree to domain;Agrees|domains;;
Team;Analyze domain;Analyzes;domain;
Team;identify processes;identifies;processes;
Team;Assign roles;;Assign roles;
Team;present project;;present project;
Administrative;Receive problem message;Receives;problem message;
Administrative;Create report;Creates;report;
Administrative;Contact customer;;Contact customer;
Administrative;Receive answer;Receives;answer;
Administrative;Close problem;;Close problem;
Administrative;Send answer;Sends;answer;
IT analyst;Analyze report;;report;Analyze
IT analyst;Check ticket;Checks;ticket;
IT analyst;Create ticket;Creates;ticket;
IT specialist;Open ticket;Opens;ticket;
IT specialist;Solve task;Solves;task;
IT specialist;Testing;;Testing;
IT specialist;Close ticket;Closes;ticket;
IT specialist;Make documentation;Makes;documentation;
Inspection team member;Prepare, read the materials;Prepares|reads;materials;
Inspection team member;Exam product;;Exam product;
Inspection team member;Send anomalies;Sends;anomalies;
Inspection team member;Write down defect;Writes down;defect;
Inspection team member;Defect summary;Defects;summary;
Lead inspector;Receive inspection request;Receives;inspection request;
Lead inspector;Plan inspection;;Plan inspection;
Lead inspector;Select people;;Select people;
Lead inspector;Distribute materials;;Distribute materials;
Lead inspector;Create final report;Creates;final report;
Lead inspector;Send final report;Sends;final report;
Lead inspector;Receive new materials;Receives;new materials;
Lead inspector;Report material anomalies;Reports;material anomalies;
Finance;check solvency;checks;solvency;
Finance;sending invoice;sends;invoice;
Finance;check status of payment;checks;status of payment;
Finance;check number of reminder;checks;number of reminder;
Finance;close order;;close order;
Finance;suing the customer;sues;customer;
Finance;prepare a reminder;prepares;reminder;
Finance;prepare letter of refusal;prepares;letter of refusal;
Sales;check customer;checks;customer;
Sales;create new customer ID;creates;new customer ID;
Sales;check customer status;checks;customer status;
Sales;prepare a letter;prepares;letter;
Production;produce product;produces;product;
Dispatch;sending products;sends;products;
warehouse;check stock;checks;stock;
warehouse;products will be packed;wills|packs;products;
Sender;Maximize conference screen;Maximizes;conference screen;
Sender;Adjust volume;Adjusts;volume;
Sender;Stop video streaming;Stops;video streaming;
Sender;Mute call;;Mute call;
Sender;Un-mute call;;mute call;Un
Sender;Minimize conference screen;;Minimize conference screen;
Sender;Hang up;Hangs up;;
Sender;Close the call window;Closes;call window;
Sender;Cancel;Cancels;;
Sender;Confirm;Confirms;;
Sender;Start talking;Starts talking;;
Sender;Send file;Sends;file;
Sender;Chat;;Chat;
Sender;Start file transfer;Starts;file transfer;
Sender;Put call on hold;Puts;call on hold;
Sender;Resume the call;Resumes;call;
Receiver;Start talking;Starts talking;;
Receiver;Accept file;Accepts;file;
Receiver;Reject file;;Reject file;
Receiver;Read chat message;Reads;message;
Sender;Add Contact;Adds;;Contact
Sender;Choose the contact;Chooses;contact;
Sender;Start audio call;Starts;audio call;
Sender;start video call;starts;video call;
Sender;Start video streaming;Starts;video streaming;
Receiver;Accept;Accepts;;
Receiver;Reject;;Reject;
Receiver;Start video streaming;Starts;video streaming;
SAMA;Create Project Plan;Creates;Project Plan;
SAMA;Verify Plan;;Plan;Verify
SAMA;Create Package Instance for each Bank;Creates;Instance for each Bank;Package
SAMA;Sign Package Instance;;Sign Package Instance;
SAMA;Post Package Instance;;Package Instance;Post
Bank;Verify BR;Verifies;;BR
Bank;Sign BR by CFO;Signs;CFO;BR
Bank;Edit Business Rules;;Business Rules;Edit
SAMA;Validate BR;;Validate BR;
SAMA;Simulate BR;Simulates;;BR
SAMA;verify BR;verifies;;BR
SAMA;Post BR;Posts;;BR
SAMA;Lock BR;Locks;;BR
Bank Package Processing;Package Receipt Acknowledgement;;Package Receipt Acknowledgement;
Bank Package Processing;Auto data entry;;Auto data entry;
Bank Package Processing;Manual data entry;;Manual data entry;
Bank Package Processing;Process ESB Orchestra;;Process ESB Orchestra;
Bank Package Processing;Verify and sign by CFO;Verifies|signs by;CFO;
Bank Package Processing;Post bank package to SAMA;;bank package to SAMA;Post
SAMA;Verify data;;data;Verify
SAMA;Verify BR;Verifies;;BR
SAMA;Simulate data;;Simulate data;
SAMA;Reconciliation of Banking System;;Reconciliation of Banking System;
SAMA;Generate ratio & KPI;;Generate ratio;KPI
SAMA;Verify ratio & KPIs;Verifies;ratio|KPIs;
SAMA;Post to data warehouse;Posts to;data warehouse;
SAMA;Post data to EIS;;Post data to EIS;
SAMA;Generate Statistical Reports;;Reports;Generate Statistical
Management;Hire in-house Lawyer;Hires in;house Lawyer;
Management;Buy License;Buys;License;
Management;Design Around;;Design;
Engineers;Product Review;;Product Review;
Lawyer;Pre-markman Analysis;;;Pre|markman Analysis
Lawyer;Determine amount of infringement;Determines;amount of infringement;
Plaintiff;File Claim;Files;Claim;
Defendant;Hire Law Firm;Hires;Law Firm;
Defendant;Buy License;Buys;License;
Defendant;Design Around;;Design;
Law Firm;Determine amount of infringement;Determines;amount of infringement;
Law Firm;Product Review;;Product Review;
Law Firm;Pre-markman Analysis;;;Pre|markman Analysis
Team;Agree on domain;Agrees on;domain;
Team;Identify processes;Identifies;processes;
Team;Defense project;;Defense project;
Student;Extend process to level 2,3;Extends|levels;process to;
Teacher;Check model process;Checks;model process;
Teacher;Assign points;;points;Assign
Teacher;Assign student manually;;student;Assign
Patient;Waiting in waiting room;Waitings in|waits;room;
Patient;Pickup medicine;;medicine;Pickup
Doctor;Emergency problem solving;solves;Emergency problem;
Doctor;Operate patient;Operates;;
Doctor;Non operative help;;Non operative help;
Doctor;Check patient health;Checks;patient health;
Doctor;Assign medication;;medication;Assign
Doctor;Fill in patient documentation;Fills in;patient documentation;
Doctor;schedule next visit;;schedule next visit;
Nurse;Urgent problem;;Urgent problem;
Nurse;Check in patient;Checks in;patient;
Nurse;Check insurance;Checks;insurance;
Nurse;Apologize that hospital is not able to help;Apologizes|helps;hospital;
Nurse;Check out patient;Checks out;;
Event Administrator;Enter event name;Enters;event name;
Event Administrator;Enter event date;Enters;event date;
Event Administrator;Enter event time;Enters;event time;
Event Administrator;Set privacy option;Sets;privacy option;
Event Administrator;Set guest list view option;Sets;guest list view option;
Event Administrator;Enter event location;Enters;event location;
Event Administrator;Enter additional information;Enters;additional information;
Event Administrator;Upload photo;;Upload photo;
Event Administrator;Create event from application menu;Creates;event from application menu;
Event Administrator;Create event from 'what are you planning' field;Creates|plans;event|field;
Event Administrator;Add comment;Adds;comment;
Event Administrator;Message guests;;Message guests;
Event Administrator;Select guests;;Select guests;
Event Administrator;Attach link;;link;Attach
Event Administrator;Upload video;;Upload video;
Event Administrator;Share event;;Share event;
Event Administrator;Select Facebook friends;;friends;Facebook
Event Administrator;Friends  e-mail address;;Friends|- mail address;
Event Administrator;Add a personal message;Adds;personal message;
Event Administrator;Send invitation;Sends;invitation;
Customer;Issues Inquiry;;;Issues Inquiry
Customer;receives quote;;receives;
Customer;Kick off with Customer, PM and BDM;Kicks off;PM|BDM;Customer
Business Development Manager;Define basic scope;Defines;basic scope;
Business Development Manager;Look over quote before submitting to customer;Looks over|submits to;customer;
Business Development Manager;Receive inquiry;Receives;inquiry;
Brian's Team;Quote Project;;;Project
Project Manager;Customer and Project Manager now interact;interacts;Customer;Project Manager
Finance;check purchase invoice formally;checks;purchase invoice;
Finance;trigger payment;;trigger payment;
Department;check for factually correct purchase invoice;checks for;factually correct purchase invoice;
Department head;approve purchase invoice;approves;purchase invoice;
ACME Inc.;Ask the supplier;Asks;supplier;
ACME Inc.;Check question with the ordering department;Checks|orders;question|department;
ACME Inc.;Check quantity and quality;Checks;quantity|quality;
Production;Check product availibility;Checks;product availibility;
Production;Pick product from warehouse;Picks;product from warehouse;
Production;start production;starts;production;
Production;Pack product;Packs;product;
Production;Check materials;;Check materials;
Production;Order materials;;Order materials;
Production;Product;;Product;
Sales;Check customer;Checks;customer;
Sales;Send product;Sends;product;
Sales;Check reminders;Checks;reminders;
Sales;Take legal actions;Takes;legal actions;
Sales;Decline customer;;Decline customer;
Umoja Change Management;Publish Deliverable;Publishes;;
Umoja Change Management;Rename and Upload new file to indicate a release;indicates;new file to|release;Rename|Upload
Umoja Change Management;Release to External Review;Releases to;;External Review
Umoja Change Management;Reopen Deliverables in Rapport;;Rapport;Reopen Deliverables
Umoja Change Management;Rapport Process Deliverables to be set to In Progress;Deliverableses|sets to;Rapport Process|Progress;
Umoja Workstream Member;Update Map Version to the next Detailed Design release version;;Version to the next Detailed Design release version;Update Map
Umoja Workstream Member;Update Map Design;;;Update Map Design
Umoja Workstream Member;Update Map version to the final design version vCxx;;version to the final design version vCxx;Update Map
Umoja Workstream Member;Upload New Deliverable Version to Rapport;Rapports;Upload New Deliverable Version to;
2nd level issue;Insert issue in product backlog;;Insert issue in product backlog;
2nd level issue;Edit 2nd level ticket;Edits;2nd level ticket;
1st level issue;Send mail to Account Manager;Sends;mail to Account Manager;
1st level issue;Close ticket;Closes;ticket;
1st level issue;Open Ticket;Opens;Ticket;
1st level issue;Edit 1st level ticket;Edits;1st level ticket;
Key Account Manager;Get problem description;;problem description;
Key Account Manager;Send mail to support system;Sends|supports;mail to|system;
Key Account Manager;Explain Solution;;Solution;Explain
1st Level support agent;Classify Ticket;Classifies;Ticket;
1st Level support agent;Handle 1st level issue;Handles;1st level issue;
1st Level support agent;Document 1st level result;;Document 1st level result;
2nd level support agent;Handle 2nd level issue;Handles;2nd level issue;
2nd level support agent;Document 2nd level result;;Document 2nd level result;
2nd level support agent;Ask Developer;Asks;Developer;
Software Developer;Examine problem;Examines;problem;
Software Developer;Provide feedback for 2nd level support;Provides;feedback for 2nd level support;
Trouble Tracking System;Open ticket;Opens;ticket;
Trouble Tracking System;Edit 1st level ticket;Edits;1st level ticket;
Trouble Tracking System;Insert issue into product back log;;Insert issue into product back log;
Trouble Tracking System;Edit 2nd level ticket;Edits;2nd level ticket;
Trouble Tracking System;Send mail to Account Manager;Sends;mail to Account Manager;
Trouble Tracking System;Close Ticket;Closes;Ticket;
DMS;Enquiry of details;;Enquiry of details;
Management;Determination of rent conditions;;Determination of rent conditions;
Management;Deposit payment;;Deposit payment;
Management;Contract with supplier;;Contract with supplier;
Employer;Finding of space;Findings of;space;
Employer;Learning the price;Learnings;price;
Employer;Learning the measurements;Learnings;measurements;
Employer;Reservation request;;Reservation request;
Employer;Ensurance of food supplier;;Ensurance of food supplier;
Employer;Ensurance of water resources;;Ensurance of water resources;
State / Offices;Learning availability;Learnings;availability;
State / Offices;Area reservation;;Area reservation;
State / Offices;Rent contract;Rents;contract;
Finance/Accounting;send letter of refusal;sends;letter of refusal;
Finance/Accounting;order approved;approves;;order
Finance/Accounting;check number of reminder;checks;number of reminder;
Finance/Accounting;write off payment;writes off;payment;
Finance/Accounting;send last reminder;sends;last reminder;
Sales Department;check customer database;checks;customer database;
Sales Department;check customers solvency;;check customers solvency;
Sales Department;Check customer typ;Checks;customer typ;
Sales Department;order confimation;;order confimation;
Sales Department;Check stock;Checks;stock;
Sales Department;production of the goods;;production of the goods;
Logistic department;prepare order;prepares;order;
Logistic department;deliver order;delivers;order;
ABC Bank;Check customer ID;Checks;customer ID;
ABC Bank;Enter new customer data;Enters;new customer data;
ABC Bank;Check data base;Checks;data base;
ABC Bank;Check customer needs;Checks;customer needs;
ABC Bank;Check age;Checks;age;
ABC Bank;ask for credit;asks for;credit;
ABC Bank;deny request;;;deny request
ABC Bank;accept;accepts;;
ABC Bank;check credit standing;checks;credit standing;
ABC Bank;set up account without credit;sets up;account without credit;
Storehouse;Quantity check;;Quantity check;
Storehouse;Reserve;;Reserve;
Storehouse;Backorder;;;Backorder
Sales dep.;Check order;Checks;order;
Sales dep.;Inform others;Informs;others;
Sales dep.;Ship bike;;Ship bike;
Engineering dep.;Prepares assembly;;assembly;Prepares
Engineering dep.;Assemble product;Assembles;product;
Catering;Go online;Gos;;
Catering;edit profile;edits;profile;
Catering;Cancel order;Cancels;order;
Order;Cold goods;;Cold goods;
Order;Warm goods;;Warm goods;
Order;Checkout;;Checkout;
Order;Select customer profile;Selects;customer profile;
Order;Delivery time;;Delivery time;
Order;Credit card number;;Credit card number;
Order;Save order;Saves;order;
Delivery;Check order;Checks;order;
Delivery;Prepare goods;Prepares;goods;
Delivery;Deliver;Delivers;;
Delivery;Ask feedback;Asks;feedback;
Travel agency;Check request;Checks;request;
Travel agency;Handle manually;Handles;;
Travel agency;Book bus;;Book bus;
Travel agency;Book hotel;;Book hotel;
Travel agency;Booking Cancelled;Bookings Cancelled;;
Travel agency;Send unavailability message;Sends;unavailability message;
Travel agency;Book attraction;;Book attraction;
Travel agency;Confirmation send;sends;Confirmation;
Agency;Sends message to banks;Sendses;message to banks;
Agency;Send awnser back to customer;Sends;awnser|customer;
Customer;Fill in request;Fills in;request;
Bank A;Propose loan;;loan;Propose
Bank A;Write decline letter;Writes;decline letter;
Bank B;Declined;Declineds;;
Bank B;Check with customer;Checks with;customer;
Bank B;Send to external;Sends to;;
External credit rating company;Check loan;Checks;loan;
Seller;Create auction request;Creates;auction request;
Seller;Register request;;Register request;
A;Create M1;Creates;;M1
A;handle all info;handles;info;
Traveller;Order Trip;;Order Trip;
Traveller;Change Itinerary;Changes;;Itinerary
Traveller;Cancel Itinerary;Cancels;;Itinerary
Traveller;Reserve Ticket;;Ticket;Reserve
;Receive Order;Receives;Order;
;Verify Seats;;Seats;Verify
;Change Itinerary;Changes;;Itinerary
;Cancel Itinerary;Cancels;;Itinerary
Sales;Authorize Payment;;Payment;Authorize
Distribution;Pack Goods;;Goods;Pack
Distribution;Ship Goods;;Ship Goods;
Tour Company;Check Tour Availability;Checks;Tour Availability;
Tour Company;Register Customer;;Customer;Register
Tour Company;Print Invoice;;;Print Invoice
design and implement a webpage;informational meeting;;informational meeting;
design and implement a webpage;storyboard meeting;;storyboard meeting;
design and implement a webpage;design site;;design site;
design and implement a webpage;develop site;develops;site;
design and implement a webpage;prepare content;prepares;content;
design and implement a webpage;complete initial draft;;complete initial draft;
design and implement a webpage;marketing review;;marketing review;
design and implement a webpage;complete final version;completes;final version;
design and implement a webpage;building;;building;
design and implement a webpage;review activity;;review activity;
design and implement a webpage;approval;;approval;
Applicant;write letter;writes;;letter
Applicant;pay fee;pays;fee;
Charles;add information;adds;information;
Charles;call applicant;calls;applicant;
Charles;take letters to Miranda;takes;letters to Miranda;
Charles;add new member;adds;new member;
Charles;write fee in register;writes;register;fee
Charles;write letter to applicant;writes;letter to applicant;
Charles;write and send letters for fee;writes|sends;letters for fee;
Charles;create and send cards;creates|sends;cards;
Miranda;decision about applicant;;decision about applicant;
Miranda;stamp and write date;writes;stamp|date;
