Subject;Activity;Verb phrases;Noun phrases
Marketing Manager;create written material for the leaflet;creates;written material for the leaflet
Marketing Manager;create written material for the whitepaper;creates;written material for the whitepaper
Graphic Designer;create graphics and develop design for the leaflet;"creates;develops";"graphics;design for the leaflet"
Graphic Designer;create graphics and develop design for the whitepaper;"creates;develops";"graphics;design for the whitepaper"
Printing house;Print leaflets as ordered;prints;leaflets
IT Staff Member;Integrate the whitepaper with company's website;integrates;whitepaper with company's website
Company Representative;Define the Audience;defines;Audience
Company Representative;Develop a Concept;develops;Concept
Company Representative;Upload to Youtube;uploads to;Youtube
Camera man;Shoot Video;shoots;Video
Graphic designer;Create Graphics;creates;Graphics
Sound editor;Record Narration;records;Narration
Sound editor;Find or create Music;finds;Music
Executive producer/Director;Capture Video to Computer;captures;Video to Computer
Executive producer/Director;Import Audio: Narration, Music and Sound Effects;imports;Audio|Narration|Music|Sound Effects
Executive producer/Director;Import Graphics;imports;Graphics
Executive producer/Director;Create Titles, Subtitles, Credits;creates;Titles|Subtitles|Credits
Executive producer/Director;Edit it all together;edits;it all together
Advertisments Advisor;Determine the Form or Style;determines;Form|Style
Advertisments Advisor;Write the Script;writes;Script
Advertisments Advisor;Create a Storyboard;creates;Storyboard
Customer;bring computer for checking;brings;computer for checking
Customer;deciding if the cost is low;decides;cost
Customer;Deciding to repair;decides to;repair
Customer;going home without fixing the computer;goes;computer
Customer;Getting back computer;gets;back computer
Customer;Paying for the repair;pays for;repair
Customer;GOING HOME;goes;Home
CSR;Checking defecrive computer;checks;defecrive computer
CSR;calculate and send price offer;calculates|sends;price offer
CSR;getting computer for repairing;gets;computer for repairing
CSR;check and repair the hardware;checks|repairs;hardware
CSR;proper system functionality is tested;is tested;proper system functionality
CSR;checks and configures the software;checks|configures;software
CSR;repair is finished;is finished;repair
CSR;another arbitrary repair activity is executed;is executed;arbitrary repair activity
Pit's Store;Update the online cataloge;updates;online cataloge
Pit's Store;checks available bikes by the envisioned conf.;checks;available bikes by the envisioned conf.
Pit's Store;Offer a test ride;offers;test ride
Pit's Store;Don't offer a test ride;offers;test ride
Pit's Store;final configuration price offer;;final configuration price offer
Pit's Store;Close the deal;closes;deal
Pit's Store;Don't close the deal;don'ts close;deal
Pit's Store;Get customer concent;gets;customer concent
Pit's Store;Contact customer to pick up bike;contacts;customer to pick up bike
Pit's Store;Give the customer the bike;gives;customer the bike
Pit's Store;Get Bike;gets;Bike
Pit's Store;starting cancellation;starts;cancellation
Pit's Store;get refunds from Fami except of cancellation fee;gets;refunds from Fami except cancellation fee
Pit's Store;Returning payment to customer;returns;payment to customer
Fami;send payments;sends;payments
Customer;Intend to Order a bike;intends to order;bike
Customer;Decide of final configuration;decides of;final configuration
Customer;Don't want to Order from Pit;wants;Pit
Customer;Accept price;accepts;price
Customer;Bargain about price;bargains about;price
Customer;stop negotiation and don't order;stops;negotiation
Customer;Pick up bike;picks up;bike
Customer;Get payment back;gets;payment
Pit's Store;accept the deal;accepts;deal
Fami;Update Website;updates;Website
Customer;test ride;tests;ride
Pit's Store;waiting for new bike with updated conf.;waits for;new bike with updated conf
Pit's Store;Receive monthly payment;receives;monthly payment
Pit's Store;checking if can be cancelled/ updated;checks;if can be cancelled/ updated
Teacher;Assign team to student;assigns;team to student
Teacher;Consult;consults;
Teacher;Check progress;checks;progress
Student;Fix the process until next session;fixes;process until next session
Student;Extend their process to Level 2,3;extends;process to Level 2
Student;Perform a work according to the role;performs;work according to role
Team;Analyse field and identify processes;"analyses;identifies";"field;processes"
Team;present the project;presents;project
Marketing;Analyze market;analyzes;market
Marketing;Send offer to potential client;sends;offer to potential client
Marketing;Prepare portfolio presentation;prepares;portfolio presentation
Marketing;Inform management about potential client's responses;informs;management about potential client's responses
Management;New client needed;needs;New client
Management;Analyze responses and start negotiation;"analyzes;starts";"responses;negotiation"
Management;Prepare contract for sign;prepares;contract for sign
Management;Analyze reasons and learn a lesson;"analyzes;learns";"reasons;lesson"
Management;Sign contract;signs;contract
Management;Analyze request;analyzes;request
Finance;find finance resources;finds;finance resources
Finance;Pay invoice;pays;invoice
IT Department;Analyze request;analyzes;request
IT Department;Edit and complete request;edits|completes;request
IT Department;fullfil form and send request to management;"fulfills;sends";form|request to management
IT Department;prepare order;prepares;order
IT Department;receive hw and invoice;receives;hw|invoice
Technician;travel by car;travels by;car
Technician;analyze problem;analyzes;problem
Technician;fix problem;fixes;problem
Technician;call operator;calls;operator
Technician;give customer invoice;gives;customer invoice
Technician;accept assignment;accepts;assignment
Technician;select car;selects;car
Technician;travel by bus;travels by;bus
Operator;understand customers problem;understands;customers problem
Operator;select appropriate technician;selects;appropriate technician
Operator;check technicians report;checks;technicians report
Operator;close problem;closes;problem
Operator;store problem details into database;stores;problem details into database
Operator;arrange new meeting;arranges;new meeting
Finance;calculate reward;calculates;reward
Finance;pay reward;pays;reward
HR;Dismiss employee;dismisses;employee
HR;provide training;provides;training
Management;Check employee performance;checks;employee performance
Management;Suggest for reward;suggests for;reward
Management;Suggest training;suggests;training
Management;Suggest employee dismissal;suggests;employee dismissal
Management;Choose appropriate benefit;chooses;appropriate benefit
Management;Announce employee of the month;announces;employee of the month
Management;Prepare timetable for next 2 weeks;prepares;timetable for next 2 weeks
Management;check volume of work required;checks;volume of work
Management;check workers availability;checks;workers availability
Management;publish timetable;publishes;timetable
Management;fill shift sheet;fills;shift sheet
Management;publish shift schedule;publishes;shift schedule
Support line - part time workers;fullfil availability;fulfills;availability
Data entry officer;Process invoices;processes;invoices
Data entry officer;collect allocated invoices;collects;allocated invoices
Data entry officer;find out urgent invoice;finds out;urgent invoice
Data entry officer;Process immediately;processes;immediately
Data entry officer;Put in high priority outbox;puts in;high priority outbox
Data entry officer;Look up vendor in SAP;looks up;vendor in SAP
Data entry officer;Complete vendor master record request form;completes;vendor master record request form
Data entry officer;add vendor number to invoice;adds;vendor number to invoice
Data entry officer;put in dedicatied boutbox for master record;puts in;dedicatied boutbox for master record
Data entry officer;staple the form to invoice;staples;form to invoice
Data entry officer;Sort invoice;sorts;invoice
Data entry officer;Sort per vendor;sorts per;vendor
Data entry officer;Sort by amount;sorts by;amount
Data entry officer;Entry data;;Entry data
Data entry officer;Occasionally take invoice to outbox;takes;invoice to outbox
Mater data entry department;Check urgency;checks;urgency
Mater data entry department;Create master data record;creates;master data record
Mail center;Collect invoice with request;collects;invoice with request
Mail center;collect urgent invoice every hour;collects;urgent invoice every hour
Mail center;take to mater record department;takes to;mater record department
Mail center;Collect invoice every hour;collects;invoice every hour
Registry;Achive paid invoice per vendor;archives;paid invoice per vendor
Registry;archive paid invoice per payment data;archives;paid invoice per payment data
Registry;Receive request from client;receives;request from client
Registry;Locate requested invoice;locates;requested invoice
Accounts Receivable Department;Generate monthly invoice;generates;monthly invoice
Payment office;automate pay;automates;pay
Payment office;Generate payment report;generates;payment report
Payment office;sent to client, accouts receivable department and registry;sends to;client|accouts receivable department|registry
Admin Officer;sort invoice per client;sorts;invoice per client
Admin Officer;Staple invoice entry form;staples;invoice entry form
Admin Officer;Entry information to invoice entry form;entries;information to invoice entry form
Admin Officer;check the completeness and tick relievant box;"checks;ticks";"completeness;tick relievant box"
Admin Officer;Check in a Excel file;checks in;Excel file
Admin Officer;entry date of processing;;entry date of processing
Admin Officer;Check if invoice is urgent;checks;invoice
Admin Officer;Put a red stamp on invoice entry form;puts;red stamp on invoice entry form
Admin Officer;Check compliance;checks;compliance
Admin Officer;Check if knowS SLA;checks;SLA
Admin Officer;Batched invoices;;Batched invoices
Admin Officer;Consider to handle;considers to handle;
Admin Officer;Sent back to client for completion;sends;client for completion
Admin Officer;Call client;calls;client
Admin Officer;sent to experienced SSP members;sends to;SSP members
Admin Officer;sent a remainder letter;sends;remainder letter
Admin Officer;follow-up by telephone;follow-ups by;telephone
Vaidation officer;sort invoice;sorts;invoice
Vaidation officer;print a report;prints;report
Vaidation officer;Compare details of report with invoice;compares;details of report with invoice
Vaidation officer;Highlight errors;highlights;errors
Vaidation officer;sent back to the data entry officer;sends;data entry officer
Vaidation officer;keep a record of the officer's mistake number;keeps;record of the officer's mistake number
Vaidation officer;check box 'invoice entered corredtly;checks;box's invoice
Vaidation officer;Check urgency;checks;urgency
Vaidation officer;Process firstly;processes;firstly
Mail center;Open envelopes;opens;envelopes
Mail center;Categorised invoices;;Categorised invoices
Parts Provision Team;Parts in Stock;;Parts in Stock
Parts Provision Team;PPT requests authorisation for extra Part(s);;PPT requests authorisation for extra Part
Parts Provision Team;Authorisation given;gives;Authorisation
Parts Provision Team;requested from stock;requests from;stock
Parts Provision Team;Request authorisation for additional part(s);requests;authorisation for additional part
Parts Provision Team;Authorisation given;gives;Authorisation
Service Team;Request additional part(s);requests;additional part
Service Team;Service the Vehicle;services;Vehicle
Service Team;Stop Work;stops;Work
Parts Provision Team;Customer details recorded;records;Customer details
Parts Provision Team;Part(s) available for collection;;Parts available for collection
Parts Provision Team;Customer agrees to buy;agrees;Customer
Parts Provision Team;PPT confirms / identifies the Part(s);confirms|identifies;Part
Parts Provision Team;Check Stock;checks;Stock
Teacher;check process;checks;process
Teacher;assign penalty points;assigns;penalty points
Teacher;Check process;checks;process
Teacher;Assign possitive reports;assigns;possitive reports
Teacher;Consult project;consults;project
Student;fix the process;fixes;process
Student;extend process to level 2,3;extends;process to level 2,3
Student;Join Team;joins;Team
Student;Create process model;creates;process model
Student;Perform work according to role;performs;work according to role
Team;Agree to domain;agrees to;domain
Team;Analyze domain;analyzes;domain
Team;identify processes;identifies;processes
Team;Assign roles;assigns;roles
Team;present project;presents;project
Administrative;Receive problem message;receives;problem message
Administrative;Create report;creates;report
Administrative;Contact customer;contacts;customer
Administrative;Receive answer;receives;answer
Administrative;Close problem;closes;problem
Administrative;Send answer;sends;answer
IT analyst;Analyze report;analyzes;report
IT analyst;Check ticket;checks;ticket
IT analyst;Create ticket;creates;ticket
IT specialist;Open ticket;opens;ticket
IT specialist;Solve task;solves;task
IT specialist;Testing;;Testing
IT specialist;Close ticket;closes;ticket
IT specialist;Make documentation;makes;documentation
Inspection team member;Prepare, read the materials;prepares;materials
Inspection team member;Exam product;exams;product
Inspection team member;Send anomalies;sends;anomalies
Inspection team member;Write down defect;writes down;defect
Inspection team member;Defect summary;;Defect summary
Lead inspector;Receive inspection request;receives;inspection request
Lead inspector;Plan inspection;plans;inspection
Lead inspector;Select people;selects;people
Lead inspector;Distribute materials;distributes;materials
Lead inspector;Create final report;creates;final report
Lead inspector;Send final report;sends;final report
Lead inspector;Receive new materials;receives;new materials
Lead inspector;Report material anomalies;reports;material anomalies
Finance;check solvency;checks;solvency
Finance;sending invoice;sends;invoice
Finance;check status of payment;checks;status of payment
Finance;check number of reminder;checks;number of reminder
Finance;close order;closes;order
Finance;suing the customer;sues;customer
Finance;prepare a reminder;prepares;reminder
Finance;prepare letter of refusal;prepares;letter of refusal
Sales;check customer;checks;customer
Sales;create new customer ID;creates;new customer ID
Sales;check customer status;checks;customer status
Sales;prepare a letter;prepares;letter
Production;produce product;produces;product
Dispatch;sending products;sends;products
warehouse;check stock;checks;stock
warehouse;products will be packed;packs;products
Sender;Maximize conference screen;maximizes;conference screen
Sender;Adjust volume;adjusts;volume
Sender;Stop video streaming;stops;video streaming
Sender;Mute call;mutes;Mute call
Sender;Un-mute call;un-mutes;Un-mute call
Sender;Minimize conference screen;minimizes;conference screen
Sender;Hang up;hangs up;
Sender;Close the call window;closes;call window
Sender;Cancel;cancels;
Sender;Confirm;confirms;
Sender;Start talking;starts;talking
Sender;Send file;sends;file
Sender;Chat;;Chat
Sender;Start file transfer;starts;file transfer
Sender;Put call on hold;puts;call on hold
Sender;Resume the call;resumes;call
Receiver;Start talking;starts;talking
Receiver;Accept file;accepts;file
Receiver;Reject file;rejects;file
Receiver;Read chat message;reads;chat message
Sender;Add Contact;adds;Contact
Sender;Choose the contact;chooses;contact
Sender;Start audio call;starts;audio call
Sender;start video call;starts;video call
Sender;Start video streaming;starts;video streaming
Receiver;Accept;accepts;
Receiver;Reject;rejects;
Receiver;Start video streaming;starts;video streaming
SAMA;Create Project Plan;creates;Project Plan
SAMA;Verify Plan;verifies;Plan
SAMA;Create Package Instance for each Bank;creates;Package Instance for each Bank
SAMA;Sign Package Instance;signs;Package Instance
SAMA;Post Package Instance;posts;Package Instance
Bank;Verify BR;verifies;
Bank;Sign BR by CFO;signs;CFO
Bank;Edit Business Rules;edits;Business Rules
SAMA;Validate BR;validates;BR
SAMA;Simulate BR;simulates;BR
SAMA;verify BR;verifies;BR
SAMA;Post BR;posts;BR
SAMA;Lock BR;locks;BR
Bank Package Processing;Package Receipt Acknowledgement;packages;Receipt Acknowledgement
Bank Package Processing;Auto data entry;;Auto data entry
Bank Package Processing;Manual data entry;;Manual data entry
Bank Package Processing;Process ESB Orchestra;processes;ESB Orchestra
Bank Package Processing;Verify and sign by CFO;verifies;CFO
Bank Package Processing;Post bank package to SAMA;posts;bank package to SAMA
SAMA;Verify data;verifies;data
SAMA;Verify BR;verifies;BR
SAMA;Simulate data;simulates;data
SAMA;Reconciliation of Banking System;;Reconciliation of Banking System
SAMA;Generate ratio & KPI;generates;ratio|KPI
SAMA;Verify ratio & KPIs;verifies;ratio|KPIs
SAMA;Post to data warehouse;posts to;data warehouse
SAMA;Post data to EIS;posts;data to EIS
SAMA;Generate Statistical Reports;generates;Statistical Reports
Management;Hire in-house Lawyer;hires in;house Lawyer
Management;Buy License;buys;License
Management;Design Around;;Design
Engineers;Product Review;;Product Review
Lawyer;Pre-markman Analysis;;Pre-markman Analysis
Lawyer;Determine amount of infringement;determines;amount of infringement
Plaintiff;File Claim;files;Claim
Defendant;Hire Law Firm;hires;Law Firm
Defendant;Buy License;buys;License
Defendant;Design Around;designs around;
Law Firm;Determine amount of infringement;determines;amount of infringement
Law Firm;Product Review;;Product Review
Law Firm;Pre-markman Analysis;;Pre-markman Analysis
Team;Agree on domain;agrees on;domain
Team;Identify processes;identifies;processes
Team;Defense project;;Defense project
Student;Extend process to level 2,3;extends;process to level 2,3
Teacher;Check model process;checks;model process
Teacher;Assign points;assigns;points
Teacher;Assign student manually;assigns;student
Patient;Waiting in waiting room;waits in;waiting room
Patient;Pickup medicine;;Pickup medicine
Doctor;Emergency problem solving;;Emergency problem solving
Doctor;Operate patient;operates;patient
Doctor;Non operative help;;operative help
Doctor;Check patient health;checks;patient health
Doctor;Assign medication;assigns;medication
Doctor;Fill in patient documentation;fills in;patient documentation
Doctor;schedule next visit;;schedule next visit
Nurse;Urgent problem;;Urgent problem
Nurse;Check in patient;checks in;patient
Nurse;Check insurance;checks;insurance
Nurse;Apologize that hospital is not able to help;apologizes;hospital
Nurse;Check out patient;checks out;patient
Event Administrator;Enter event name;enters;event name
Event Administrator;Enter event date;enters;event date
Event Administrator;Enter event time;enters;event time
Event Administrator;Set privacy option;sets;privacy option
Event Administrator;Set guest list view option;sets;guest list view option
Event Administrator;Enter event location;enters;event location
Event Administrator;Enter additional information;enters;additional information
Event Administrator;Upload photo;uploads;photo
Event Administrator;Create event from application menu;creates;event from application menu
Event Administrator;Create event from 'what are you planning' field;creates;event from|field
Event Administrator;Add comment;adds;comment
Event Administrator;Message guests;messages;guests
Event Administrator;Select guests;selects;guests
Event Administrator;Attach link;attaches;link
Event Administrator;Upload video;uploads;video
Event Administrator;Share event;shares;event
Event Administrator;Select Facebook friends;selects;Facebook friends
Event Administrator;Friends  e-mail address;;Friends e-mail address
Event Administrator;Add a personal message;adds;personal message
Event Administrator;Send invitation;sends;invitation
Customer;Issues Inquiry;issues;Inquiry
Customer;receives quote;receives;quote
Customer;Kick off with Customer, PM and BDM;kicks off;Customer|PM|BDM
Business Development Manager;Define basic scope;defines;basic scope
Business Development Manager;Look over quote before submitting to customer;looks over;quote before submitting to customer
Business Development Manager;Receive inquiry;receives;inquiry
Brian's Team;Quote Project;quotes;Project
Project Manager;Customer and Project Manager now interact;interacts;Customer|Project Manager
Finance;check purchase invoice formally;checks;purchase invoice formally
Finance;trigger payment;triggers;payment
Department;check for factually correct purchase invoice;checks for;factually correct purchase invoice
Department head;approve purchase invoice;approves;purchase invoice
ACME Inc.;Ask the supplier;asks;supplier
ACME Inc.;Check question with the ordering department;checks;question with the ordering department
ACME Inc.;Check quantity and quality;checks;quantity|quality
Production;Check product availibility;checks;product availibility
Production;Pick product from warehouse;picks;product from warehouse
Production;start production;starts;production
Production;Pack product;packs;product
Production;Check materials;checks;materials
Production;Order materials;orders;materials
Production;Product;;Product
Sales;Check customer;checks;customer
Sales;Send product;sends;product
Sales;Check reminders;checks;reminders
Sales;Take legal actions;takes;legal actions
Sales;Decline customer;declines;customer
Umoja Change Management;Publish Deliverable;publishes;Deliverable
Umoja Change Management;Rename and Upload new file to indicate a release;renames|uploads;new file release
Umoja Change Management;Release to External Review;releases to;External Review
Umoja Change Management;Reopen Deliverables in Rapport;reopens;Deliverables in Rapport
Umoja Change Management;Rapport Process Deliverables to be set to In Progress;rapports;Process Deliverables to be set in Progress
Umoja Workstream Member;Update Map Version to the next Detailed Design release version;updates;Map Version to the next Detailed Design release version
Umoja Workstream Member;Update Map Design;updates;Map Design
Umoja Workstream Member;Update Map version to the final design version vCxx;updates;Update Map version to the final design version
Umoja Workstream Member;Upload New Deliverable Version to Rapport;uploads;New Deliverable Version to Rapport
2nd level issue;Insert issue in product backlog;inserts;issue in product backlog
2nd level issue;Edit 2nd level ticket;edits;2nd level ticket
1st level issue;Send mail to Account Manager;sends;mail to Account Manager
1st level issue;Close ticket;closes;ticket
1st level issue;Open Ticket;opens;Ticket
1st level issue;Edit 1st level ticket;edits;1st level ticket
Key Account Manager;Get problem description;gets;problem description
Key Account Manager;Send mail to support system;sends;mail to support system
Key Account Manager;Explain Solution;explains;Solution
1st Level support agent;Classify Ticket;classifies;Ticket
1st Level support agent;Handle 1st level issue;handles;1st level issue
1st Level support agent;Document 1st level result;documents;1st level result
2nd level support agent;Handle 2nd level issue;handles;2nd level issue
2nd level support agent;Document 2nd level result;documents;2nd level result
2nd level support agent;Ask Developer;asks;Developer
Software Developer;Examine problem;examines;problem
Software Developer;Provide feedback for 2nd level support;provides;feedback for 2nd level support
Trouble Tracking System;Open ticket;opens;ticket
Trouble Tracking System;Edit 1st level ticket;edits;1st level ticket
Trouble Tracking System;Insert issue into product back log;inserts;issue into product back log
Trouble Tracking System;Edit 2nd level ticket;edits;2nd level ticket
Trouble Tracking System;Send mail to Account Manager;sends;mail to Account Manager
Trouble Tracking System;Close Ticket;closes;Close Ticket
DMS;Enquiry of details;;Enquiry of details
Management;Determination of rent conditions;;Determination of rent conditions
Management;Deposit payment;;Deposit payment
Management;Contract with supplier;contracts with;Contract with supplier
Employer;Finding of space;;Finding of space
Employer;Learning the price;learns;price
Employer;Learning the measurements;learns;measurements
Employer;Reservation request;;Reservation request
Employer;Ensurance of food supplier;;Ensurance of food supplier
Employer;Ensurance of water resources;;Ensurance of water resources
State / Offices;Learning availability;learns;availability
State / Offices;Area reservation;;Area reservation
State / Offices;Rent contract;;Rent contract
Finance/Accounting;send letter of refusal;sends;letter of refusal
Finance/Accounting;order approved;approves;order
Finance/Accounting;check number of reminder;checks;number of reminder
Finance/Accounting;write off payment;writes off;payment
Finance/Accounting;send last reminder;sends;last reminder
Sales Department;check customer database;checks;customer database
Sales Department;check customers solvency;checks;customers solvency
Sales Department;Check customer typ;checks;customer typ
Sales Department;order confimation;orders;confimation
Sales Department;Check stock;checks;stock
Sales Department;production of the goods;;production of the goods
Logistic department;prepare order;prepares;order
Logistic department;deliver order;delivers;order
ABC Bank;Check customer ID;checks;customer ID
ABC Bank;Enter new customer data;enters;new customer data
ABC Bank;Check data base;checks;data base
ABC Bank;Check customer needs;checks;customer needs
ABC Bank;Check age;checks;age
ABC Bank;ask for credit;asks for;credit
ABC Bank;deny request;denies;request
ABC Bank;accept;accepts;
ABC Bank;check credit standing;checks;credit standing
ABC Bank;set up account without credit;sets up;account without credit
Storehouse;Quantity check;;Quantity check
Storehouse;Reserve;;Reserve
Storehouse;Backorder;;Backorder
Sales dep.;Check order;checks;order
Sales dep.;Inform others;informs;others
Sales dep.;Ship bike;ships;bike
Engineering dep.;Prepares assembly;prepares;assembly
Engineering dep.;Assemble product;assembles;product
Catering;Go online;goes;online
Catering;edit profile;edits;profile
Catering;Cancel order;cancels;order
Order;Cold goods;;Cold goods
Order;Warm goods;;Warm goods
Order;Checkout;;Checkout
Order;Select customer profile;selects;customer profile
Order;Delivery time;;Delivery time
Order;Credit card number;;Credit card number
Order;Save order;saves;order
Delivery;Check order;checks;order
Delivery;Prepare goods;prepares;goods
Delivery;Deliver;delivers;
Delivery;Ask feedback;asks;feedback
Travel agency;Check request;checks;request
Travel agency;Handle manually;handles;
Travel agency;Book bus;books;bus
Travel agency;Book hotel;books;hotel
Travel agency;Booking Cancelled;;Booking Cancelled
Travel agency;Send unavailability message;sends;unavailability message
Travel agency;Book attraction;;Book attraction
Travel agency;Confirmation send;;Confirmation send
Agency;Sends message to banks;sends;message to banks
Agency;Send awnser back to customer;sends;awnser|customer
Customer;Fill in request;fills in;request
Bank A;Propose loan;proposes;loan
Bank A;Write decline letter;writes;decline letter
Bank B;Declined;;Declined
Bank B;Check with customer;checks with;customer
Bank B;Send to external;sends to;external
External credit rating company;Check loan;checks;loan
Seller;Create auction request;creates;auction request
Seller;Register request;registers;request
A;Create M1;creates;M1
A;handle all info;handles;all info
Traveller;Order Trip;orders;Trip
Traveller;Change Itinerary;changes;Itinerary
Traveller;Cancel Itinerary;cancels;Itinerary
Traveller;Reserve Ticket;reserves;Ticket
;Receive Order;receives;Order
;Verify Seats;verifies;Seats
;Change Itinerary;changes;Itinerary
;Cancel Itinerary;cancels;Itinerary
Sales;Authorize Payment;authorizes;Payment
Distribution;Pack Goods;packs;Goods
Distribution;Ship Goods;ships;Goods
Tour Company;Check Tour Availability;checks;Availability
Tour Company;Register Customer;registers;Customer
Tour Company;Print Invoice;prints;Invoice
design and implement a webpage;informational meeting;;informational meeting
design and implement a webpage;storyboard meeting;;storyboard meeting
design and implement a webpage;design site;designs;site
design and implement a webpage;develop site;develops;site
design and implement a webpage;prepare content;prepares;content
design and implement a webpage;complete initial draft;completes;initial draft
design and implement a webpage;marketing review;;marketing review
design and implement a webpage;complete final version;;complete final version
design and implement a webpage;building;;building
design and implement a webpage;review activity;;review activity
design and implement a webpage;approval;;approval
Applicant;write letter;writes;letter
Applicant;pay fee;pays;fee
Charles;add information;adds;information
Charles;call applicant;calls;applicant
Charles;take letters to Miranda;takes;letters to Miranda
Charles;add new member;adds;new member
Charles;write fee in register;writes;fee in register
Charles;write letter to applicant;writes;letter to applicant
Charles;write and send letters for fee;writes;letters for fee
Charles;create and send cards;creates;cards
Miranda;decision about applicant;;decision about applicant
Miranda;stamp and write date;stamps|writes;date
Miranda;give Charles the information;gives;Charles the information
Miranda;calculate fee;calculates;fee
Miranda;give it to Charles;gives;Charles
Costumer Service Representative;update details;updates;update details
Costumer Service Representative;wait for receiving answer;waits for;receiving answer
Administration;complete offer;completes;offer
Support Officer;check dates;checks;dates
Support Officer;suggest modifications;suggests;modifications
Support Officer;update group calendars;updates;group calendars
Support Officer;create meeting folders;creates;meeting folders
Support Officer;upload appropriate documents;uploads;appropriate documents
Coordination Unit;draft schedule;drafts;schedule
Coordination Unit;add to calender;adds to;calender
Coordination Unit;recheck dates;rechecks;dates
Coordination Unit;look for conflicts;looks for;conflicts
Coordination Unit;send final schedule;sends;final schedule
Coordination Unit;finalize dates;finalizes;dates
Committee Members;check diaries;checks;diaries
Committee Members;report conflicts;reports;conflicts
Support Officer;advise members to read documents;advises;members to read documents
Support Officer;produce minutes;produces;minutes
Support Officer;update records;updates;records
Committee Members;hold meeting;holds;meeting
Coordination Unit;conduct a QA check;conducts;QA check
Coordination Unit;send to members;sends to;members
Order Management;Collect order;collects;order
Order Management;Check Validity / Bonität;checks;Validity|Bonität
Order Management;Cancellation of Order;;Cancellation of Order
Order Management;Check Stock;checks;Stock
Order Management;Confirmation of Order;;Confirmation of Order
Stock;Remove from stock;removes from;stock
Production;Produce;produces;
Logistic;Shipping;;Shipping
Controlling;Invoice;;Invoice
Controlling;Check incoming payments;checks;incoming payments
Dunning Process;Dunning letter;;Dunning letter
SWIM User;Send User Credentials: Username, Password, Role (RBAC);sends;User Credentials|Username|Password|Role|RBAC
SWIM User;Request Publication Service;;Request Publication Service
SWIM User;Request Subscription Service;;Request Subscription Service
SWIM User;Use Service;uses;Service
PEP;Grant Access to Requested Service;grants;Access to Requested Service
Security Services;Validate Assertion;validates;Assertion
Customer;Review Suppliers;reviews;Suppliers
Customer;Provide More Information;provides;More Information
Customer;Review Sales Quote;reviews;Sales Quote
Engineering;Analyze the RFQ;analyzes;RFQ
Finance;Add Overhead Costs;adds;Overhead Costs
Finance;Produce Pricing Options;produces;Pricing Options
Sales Manager;Verify RFQ;verifies;RFQ
Sales Manager;Review Pricing Options;reviews;Pricing Options
Sales Manager;Create Sales Qoute;creates;Sales Qoute
Supplier;Shipment Sent;sends;Shipment
Purchasing;Consolidate Purchase Request;consolidates;Purchase Request
Purchasing;Select Suitable Supplier;selects;Suitable Supplier
Purchasing;Submit purchase order;submits;purchase order
Warehouse;Create Purchase Order;creates;Purchase Order
Warehouse;Receive and inspect materials;receives;materials
Accounting;verify the documents;verifies;documents
Accounting;Submit Payment;submits;Payment
Customer;Send Inquiry;sends;Inquiry
Customer;Fill out Application Form;fills out;Application Form
Customer;Process the Documents;processes;Documents
Mortgage Specialist;Inform Customer of Rejection;informs;Customer of Rejection
Mortgage Specialist;Achieve Details;achieves;Details
Customer Service Rep;Send Mortgage Application Form;sends;Mortgage Application Form
Customer Service Rep;Review Application Form;reviews;Application Form
Customer Service Rep;Send a customer reminder;sends;customer reminder
Customer Service Rep;Inform Customer of close transaction;informs;Customer of close transaction
Customer;Customer Accident;;Customer Accident
Customer;Fill out Claim Form & Send to CSR;"fills out;sends to";"Claim Form;CSR"
Customer Service Rep;Gather Customer Insurance Information;gathers;Customer Insurance Information
Customer Service Rep;Review Customer Claim;reviews;Customer Claim
Customer Service Rep;Request more information from customer;requests;more information from customer
Customer Service Rep;Confirm Reception to customer;confirms;Reception to customer
Customer;reconfigure bike;reconfigures;bike
FeelWheel;updates the online catalogue for parts produced by Fami;updates;online catalogue for parts produced by Fami
FeelWheel;checks which of the available bikes close to envisioned configuration;checks;available bikes vlose to envisioned configuration
Customer;ask for an offer;asks for;offer
Customer;get new bike;gets;new bike
FeelWheel;calculate new price for bike;calculates;new price for bike
FeelWheel;give new bike to customer;gives;new bike to customer
Fami;Deliver new bike to Pit;delivers;new bike to Pit
Customer;Call the room service;calls;room service
Hotel;takes the order;takes;manager|order
Hotel;order to fetch wine and prepare any other alcoholic beverages;"orders to fetch;prepares";"wine;other alcoholic beverages"
Costumer Services;Check audience;checks;audience
Costumer Services;Check solvency;checks;solvency
Costumer Services;integrate into database;integrates into;database
Costumer Services;Check Costumer;checks;Costumer
Costumer Services;cancel order;cancels;order
Sales & Logistics;Check Stock;checks;Stock
Sales & Logistics;Send goods;sends;goods
Accountig Office;Send invoice;sends;invoice
Accountig Office;Check payment;checks;payment
Accountig Office;close order;closes;order
Accountig Office;Check number of reminders;checks;number of reminders
Accountig Office;Send reminder;sends;reminder
Accountig Office;contact lawyer;contacts;lawyer
Manufactoring;Produce goods;produces;goods
Logistics;Prepare Goods;prepares;Goods
Logistics;Pack Goods;packs;Goods
Logistics;Deliver Goods;delivers;Goods
Finance;Send invoice;sends;invoice
Finance;Check incoming payment;checks;incoming payment
Finance;Finish the order;finishes;order
Finance;Check number of reminders;checks;number of reminders
Finance;Send reminder;sends;reminder
Finance;Start Dunning Process (write of);starts;Dunning Process
