;Lane;Task;Verb;NounPhrases;Label;
7147;Librarian;Notify Customer/ Librarian of Theft reporting;Notify;Customer|Librarian of Theft reporting;;
7148;Librarian;Notify Customer/ Librarian of missing payment;Notify;Customer|Librarian of|payment;;
7149;Librarian;Check NetBank;Check;NetBank;;
7150;Librarian;Confirm to BPR and CDA;Confirm to;BPR|CDA;Conjunctive clause;
7151;CO;claimcredit;;;Invalid name;
7152;Used Book Buyer;Browse to Amazon.com;Browse to;;;
7153;Used Book Buyer;click Search;click;Search;;
7154;Used Book Buyer;View list of books;;View list of books;;
7155;Used Book Buyer;click Used link of a book;click Used;link of a book;;
7156;Used Book Buyer;view list of sellers;;view list of sellers;;
7157;Used Book Buyer;Select a seller who will ship internationally;Select;seller;;
7158;Used Book Buyer;click Add to cart;click Add to;cart;;
7159;Used Book Buyer;Proceed to Checkout;Proceed to;Checkout;;
7160;Used Book Buyer;Create account;Create;account;;
7161;Used Book Buyer;sign in to your account;sign in;account;;
7162;Used Book Buyer;Enter alternative address details;Enter;alternative address details;;
7163;Used Book Buyer;Enter payment details;Enter;payment details;;
7164;Used Book Buyer;Review items in cart;Review;items in cart;;
7165;Used Book Buyer;Modify quantity;Modify;quantity;;
7166;Used Book Buyer;Place Order;;Place Order;;
7167;Used Book Buyer;Receive order number;Receive;order number;;
7168;sales & distribution;check authority to buy;check;authority;;
7169;sales & distribution;refuse to fulfill order;refuse;order;;
7170;warehouse;check availabilty;check;availabilty;;
7171;Client;Beneficiary calls insurance agent;calls;Beneficiary|insurance agent;Starts with subject;
7172;Client;Insurance agent contacts the insurance company;contacts;Insurance agent|insurance company;Starts with subject;
7173;Insurance;Clerk received the case;received;Clerk|case;Starts with subject;
7174;Insurance;Write acknowledgment message;Write;acknowledgment message;;
7175;Insurance;Policy not valid;;Policy;;
7176;Insurance;Inform beneficiary;Inform;beneficiary;;
7177;Beneficiary;Calls the Insurance Agent;Calls;Insurance Agent;;
7178;Regulatory Department (Clerk);Receives the call from Insurance Agent.;Receives;call from Insurance Agent;;
7179;Regulatory Department (Clerk);Notification of the claim entered.;entered;Notification of the claim;Starts with subject;
7180;Regulatory Department (Clerk);Qualified clerk is assigned.;assigned;Qualified clerk;Starts with subject;
7181;Regulatory Department (Clerk);Checks the customers policy for validity.;Checks;customers policy for validity;;
7182;Regulatory Department (Clerk);Parties satisfied with compensation.;;Parties|compensation;;
7183;Regulatory Department (Clerk);Claim processed with Euro 3500 + Euro 500.;processed with;Claim|Euro 3500|Euro 500;Starts with subject;
7184;Insurance Agent;Receives the call from Customer;Receives;call from Customer;;
7185;Insurance Agent;Contacts the Insurance Clerk;;Contacts the Insurance Clerk;;
7186;Customer;Hands over the Airline Ticket at Check In counter;;Hands over the Airline Ticket|Check In counter;;
7187;Customer;Arrives at the Mumbai Airport;Arrives at;Mumbai Airport;;
7188;Customer;Boarding Pass received;received;Boarding Pass;Starts with subject;
7189;Customer;Security Check In;;Security Check In;;
7190;Customer;Board flight;;Board flight;;
7191;Customer;Ticket validity;;Ticket validity;;
7192;Customer;Boarding Gate;;Boarding Gate;;
7193;Check In Desk;Receives the ticket from the customer;Receives;ticket from the customer;;
7194;Check In Desk;PAX displayed at the Check-In Desk;displayed at;PAX|Check|Desk;Bad prefix;
7195;Check In Desk;Print Boarding Pass;Print;Boarding Pass;;
7196;Check In Desk;Hand over to Boarding Pass customer;;Hand over to Boarding Pass customer;;
7197;Check In Desk;Seat Allocation;;Seat Allocation;;
7198;Check In Desk;Baggage Check-In Process;;Baggage Check|In Process;;
7199;Customer;Customer is asked the check-in preference;asked;Customer|check|preference;Starts with subject;
7200;Customer;Responds with the preference;Responds with;preference;;
7201;Check In Desk;Asks the customer for the check-in preference;Asks;customer for the check|preference;;
7202;Check In Desk;Receives customer check-in preference;Receives;customer check|preference;;
7203;Customer Database;Customer Ticket number received;received;Customer Ticket number;Starts with subject;
7204;Customer Database;Searches Air India database for ticket and customer details;Searches;Air India database for ticket|customer details;Conjunctive clause;
7205;Customer Database;Customer Preference for through check-in needed;needed;Customer Preference for through check|in;Starts with subject;
7206;Customer Database;Receives the preference for through check-in;Receives;preference for through check|in;;
7207;Customer Database;Through Check-In not possible.;;Check;;
7208;Customer Database;Checks with Emirates for the details;;Checks with Emirates|details;;
7209;Customer Database;Customer and Ticket Details Received;Received;Customer|Ticket Details;Conjunctive clause;
7210;Customer Database;Details sent to Emirates (Lufthansa);sent to;Details|Emirates|Lufthansa;Starts with subject;
7211;Customer Database;Details received from Emirates (Lufthansa);received from;Details|Emirates|Lufthansa;Starts with subject;
7212;Customer Database;Through Check-In completed;completed;Check;Starts with subject;
7213;Translator;Translator - Air India / Emirates;;Translator|Air India|Emirates;Comment;
7214;Translator;Translator - Emirates / Air India;;Translator|Emirates|Air India;Comment;
7215;Translator;Translator - Emirates / Etihad;;Translator|Emirates|Etihad;Comment;
7216;Translator;Translator - Etihad / Emirates;;Translator|Etihad|Emirates;Comment;
7217;Translator;Translator - Emirates / Lufthansa;;Translator|Emirates|Lufthansa;Comment;
7218;Translator;Translator - Lufthansa / Emirates;;Translator|Lufthansa|Emirates;Comment;
7219;Customer Database;Receives the request;Receives;request;;
7220;Customer Database;Searches the database for details;Searches;database for details;;
7221;Customer Database;Details sent to Air India, Mumbai.;sent to;Details|Air India|Mumbai;Conjunctive clause;
7222;Customer Database;Check the details with Etihad Airlines;Check;details with Etihad Airlines;;
7223;Customer Database;Details received from Etihad;received from;Details|Etihad;Starts with subject;
7224;Customer Database;Through Check-In Details;;Check|Details;;
7225;Customer Database;Through Check-In not required;required;Check;Starts with subject;
7226;Customer Database;Through Check in Detail communicated to Lufthansa;communicated to;Check in Detail|Lufthansa;Starts with subject;
7227;Customer Database;Details received from Lufthansa;received from;Details|Lufthansa;Starts with subject;
7228;Customer Database;Details sent to Air India;sent to;Details|Air India;Starts with subject;
7229;Customer Database;Customer details checked and ticket verified.;checked;Customer details|ticket;Conjunctive clause;
7230;Customer Database;Details sent to Emirates;sent to;Details|Emirates;Starts with subject;
7231;Customer Database;Details sent to Emirates, Dubai;sent to;Details|Emirates|Dubai;Conjunctive clause;
7232;Check In Desk;Web Check-In Successful;;Web Check;;
7233;Check In Desk;Mobile Check-In Successful;;Mobile Check;;
7234;Customer;Ticket validity details;;Ticket validity details;;
7235;Customer Database;Ticket Details sent to Amadeus for verification;sent to;Ticket Details|Amadeus for verification;Starts with subject;
7236;Customer Database;Details sent to Amadeus;sent to;Details|Amadeus;Starts with subject;
7237;Customer Database;Details received from Amadeus;received from;Details|Amadeus;Starts with subject;
7238;Customer Database;Through Check in Detail updated in Lufthansa datbase;updated in;Check in Detail|Lufthansa datbase;Starts with subject;
7239;Customer Database;Etihad Flight ticket Check-In done.;done;Etihad Flight ticket Check|In;Starts with subject;
7240;Employee;Logon to the system and change password;Logon to;system|password;Conjunctive clause;
7241;Employee;Familiarize with system using the Learning Center;Familiarize with;system|Learning Center;;
7242;Employee;Update personal information;Update;personal information;;
7243;Employee;Update professional information;Update;professional information;;
7244;Employee;Maintain re-imbursement settings;Maintain;re-imbursement settings;;
7245;Employee;Create expense report;Create;expense report;;
7246;Employee;Create leave request;Create;leave request;;
7247;Employee;Report incident;;Report incident;;
7248;Employee;Personalize screens / reports;Personalize;screens|reports;;
7249;Manager;Approve leave request;Approve;leave request;;
7250;Manager;Approve expense report;Approve;expense report;;
7251;Manager;Answer Incident;;Answer Incident;;
7252;Local Demand Management;Formal demand validation;;Formal demand validation;;
7253;Requirements Manager;Assign Demand to responsible Domain;Assign;Demand to responsible Domain;;
7254;Requirements Manager;Declare qualitygate Q1;Declare;qualitygate Q1;;
7255;Requirements Manager;Check demand for budget, architectural relevance and business criticality;Check;demand for budget|architectural relevance|business criticality;Conjunctive clause;
7256;Requirements Manager;Consolidate demands (redundencies and conflicts);Consolidate;demands|redundencies|conflicts;Conjunctive clause;
7257;Requirements Manager;categorize for granularity and prepare further processing;categorize for;granularity|further processing;Conjunctive clause;
7258;Requirements Manager Gremium;Assign Demand to responsible Domain;Assign;Demand to responsible Domain;;
7259;Business architect;Check domain assignment;Check;domain assignment;;
7260;CAB;Assign Demand to responsible Domain;Assign;Demand to responsible Domain;;
7261;CAB;Escalate demand;Escalate;demand;;
7262;CAB;Consolidate demands (redundencies and conflicts);Consolidate;demands|redundencies|conflicts;Conjunctive clause;
7263;CAB;Decide for business criticallity, escalation and further processing;Decide for;business criticallity|escalation|further processing;Conjunctive clause;
7264;CAB;Declare milestone M2;Declare;milestone M2;;
7265;Requirements Manager;Identify and document stakeholder &amp;Identify;document stakeholder;Conjunctive clause;
7266;Requirements Manager;Analyse and document demand;Analyse;document demand;Conjunctive clause;
7267;Requirements Manager;Pre-specify alternative solutions;;Pre-specify alternative solutions;;
7268;Requirements Manager;Declare qualitygate Q2;Declare;qualitygate Q2;;
7269;Requirements Manager;Economical assessment;;Economical assessment;;
7270;Requirements Manager;Priortize demand and assess business criticality;assess;Priortize demand|business criticality;Conjunctive clause;
7271;Requirements Manager;Declare qualitygate Q4;Declare;qualitygate Q4;;
7272;Requirements Manager;Consolidate alternative solutions in IT project proposals and calculate business case;Consolidate;alternative solutions in IT project proposals|business case;Conjunctive clause;
7273;Requirements Manager;Declare milestone M3;Declare;milestone M3;;
7274;Business architect;Architectural assessment;;Architectural assessment;;
7275;Business architect;Update to-be architeture;;Update to;;
7276;Business architect;Declare qualitygate Q3;Declare;qualitygate Q3;;
7277;Technical architect;Architectural assessment;;Architectural assessment;;
7278;Technical architect;Update to-be architeture;;Update to;;
7279;CAB;Priortize demand assess business criticality;assess;Priortize demand|business criticality;Starts with subject;
7280;CAB;Approve IT project proposal;Approve;project proposal;;
7281;Requirements Manager;Prepare IT-project proposal for portfolio planning;Prepare;project proposal for portfolio planning;;
7282;CAB;Compile budgetplan;Compile;budgetplan;;
7283;CAB;Priortize IT-project proposals and release portfolio plan;;Priortize IT|project proposals|release portfolio plan;Conjunctive clause;
7284;CAB;Repriortize budget and release plan and allocate additional budget;allocate;Repriortize budget|release plan|additional budget;Conjunctive clause;
7285;CAB;Update portfolio plan;;Update portfolio plan;;
7286;CAB;Declare quality gate Q5;Declare;quality gate Q5;;
7287;Budget- &amp;Project Planning Committee;;Project Planning Committee;;
7288;Release Manager;Schedule IT-project proposal in release plan and update to-be architecture;Schedule;IT|project proposal in release plan|architecture;Conjunctive clause;
7289;Release Manager;Declare milestone M4;Declare;milestone M4;;
7290;Release Gremium;Schedule IT-project proposal in release plan and update to-be architecture;Schedule;IT|project proposal in release plan|architecture;Conjunctive clause;
7291;Local Demand Management;Capture demand;Capture;demand;;
7292;Local Demand Management;Declare milestone M1;Declare;milestone M1;;
7293;System;Check mandatory field;Check;mandatory field;;
7294;Flower Storage;Classify flowers;Classify;flowers;;
7295;Flower Storage;Read container sensor data;Read;container sensor data;;
7296;Flower Storage;Select warehouse;Select;warehouse;;
7297;Flower Storage;Send warehouse query request;Send;warehouse query request;;
7298;Flower Storage;Receive candidate warehouse info;Receive;candidate warehouse info;;
7299;Flower Storage;send booking requests;send;booking requests;;
7300;Warehouse;Analyze request;Analyze;request;;
7301;Warehouse;Query archived data;archived;Query|data;Starts with subject;
7302;Warehouse;Send respond & update database;Send;respond|update database;Conjunctive clause;
7303;Warehouse;Make observation by invoking sensor service;Make;observation|sensor service;;
7304;Flower Storage;Query warehouse;;Query warehouse;;
7305;IITB student;submit assignment;submit;assignment;;
7306;www.moodle.iitb.ac.in;Upload assignment file;Upload;assignment file;;
7307;www.moodle.iitb.ac.in;display submission status;display;submission status;;
7308;Traveler;Upload photos;Upload;photos;;
7309;Traveler;Create new Trip;Create;new Trip;;
7310;Traveler;choose existing Trip;choose;existing Trip;;
7311;Traveler;Authentication using web service;using;Authentication|web service;Starts with subject;
7312;Traveler;Preview and Post;;Preview|Post;Conjunctive clause;
7313;Traveler;Choose Trip subscription;Choose;Trip subscription;;
7314;Interested Parties;Receive Trip update notifocation message;Receive;Trip update notifocation message;;
7315;Interested Parties;Entering the Trip page;Entering;Trip page;;
7316;Interested Parties;View Photos;;View Photos;;
7317;Interested Parties;Tag Photos;;Tag Photos;;
7318;Interested Parties;Comment Photo;;Comment Photo;;
7319;Extract Photo information;Extract face recognition data;Extract;face recognition data;;
7320;Extract Photo information;Extract Geo Location Data;Extract;Geo Location Data;;
7321;Extract Photo information;Extract Date;;Extract Date;;
7322;Manually Update Photo Information;Add Journal Entry;Add;Journal Entry;;
7323;Manually Update Photo Information;Update Geo Location Data;;Update Geo Location Data;;
7324;Manually Update Photo Information;Update Date;;Update Date;;
7325;Manually Update Photo Information;Update face recognition data;;Update face recognition data;;
7326;;Check availability;Check;availability;;
7327;;Ship article;;Ship article;;
7328;;Inform Customer;Inform;Customer;;
7329;;Remove article from catalogue;Remove;article from catalogue;;
7330;;myTaskOne;;myTaskOne;;
7331;;mytaskTwo;;mytask Two;;
7332;;myTaskThree;;myTaskThree;;
7333;test_xpdl;myTaskOne;;myTaskOne;;
7334;test_xpdl;myTastTwo;;Tast Two;;
7335;test_xpdl;myTaskThree;;myTaskThree;;
7336;clerk;calm customer;;calm customer;;
7337;pizza chef;bake the pizze;bake;pizze;;
7338;delivery boy;deliver the pizza;deliver;pizza;;
7339;delivery boy;receive payment;receive;payment;;
7340;MyPool;MyTaskOne;;MyTaskOne;;
7341;MyPool;MyTaskTwo;;MyTaskTwo;;
7342;test;Pay by cheque;Pay by;cheque;;
7343;test;pay by cash;pay by;cash;;
7344;test;approve;approve;;;
7345;test;update account;;update account;;
7346;Warehouse Worker;package goods;;package goods;;
7347;Warehouse Worker;add paperwork and move package to pick area;add;paperwork|package|area;Conjunctive clause;
7348;Logistics Manager;take out extra insurance;take out;extra insurance;;
7349;Clerk;Deceide if normal post or special shipment;;Deceide|normal post|special shipment;Condition;
7350;Clerk;check if extra insurance is necessary;check;extra insurance;Condition;
7351;Clerk;Request quotes from carries;;Request quotes from carries;;
7352;Clerk;Assign a carrier and prepare paperwork;Assign;carrier|paperwork;Conjunctive clause;
7353;Clerk;fill in a post label;fill in;post label;;
7354;test;MyTask1;;MyTask;;
7355;Buy a car;buy a car;buy;car;;
7356;Buy a car;payment: cash;;payment|cash;;
7357;event-standardM-0048;receiveT;;receiveT;;
7358;event-standardM-0048;receiveT2;;receiveT2;;
7359;;task1;;task 1;;
7360;;task2;;task2;;
7361;Logistics Manager;Take out extra insurance;Take out;extra insurance;;
7362;Teacher;Assign Student to team;Assign;Student to team;;
7363;Team;agree upon team field;agree upon;team field;;
7364;Team;Present the Project;Present;Project;;
7365;Student;Extend the process to L2, 3;Extend;process to;Conjunctive clause;
7366;Student;Course registration;;Course registration;;
7367;Student;course enrollment;;course enrollment;;
7368;Student;Request for the exception;;Request for the exception;;
7369;Student;seminar group enrollment;;seminar group enrollment;;
7370;Student;work on homework;work on;homework;;
7371;Student;turn in the homework;turn in;homework;;
7372;Student;sign for the exam;sign for;exam;;
7373;Student;attend the exam;attend;exam;;
7374;Student;passed the course;passed;course;;
7375;Student;failed the course;failed;course;;
7376;Professor;Exception approved;approved;Exception;Starts with subject;
7377;Professor;announce date of the exam;announce;date of the exam;;
7378;Professor;evaluate the exam;evaluate;exam;;
7379;Instructor;homework assignment;;homework assignment;;
7380;Instructor;grant a accreditation;grant;accreditation;;
7381;Instructor;evaluate the homework;evaluate;homework;;
7382;Instructor;assigning to the seminar group;assigning to;seminar group;;
7383;Researcher;request for a grant / permission to star a project;star;request for a grant|permission|project;Starts with subject;
7384;Researcher;work on the next stage of the project;work on;next stage of the project;;
7385;Researcher;fix requests;fix;requests;;
7386;University;assign resources;assign;resources;;
7387;University;Close the project, archive;Close;project|archive;Conjunctive clause;
7388;University;check the previous stage;check;previous stage;;
7389;Sales;Return RFQ to Customer;Return;RFQ to Customer;;
7390;Sales;Create Sales quote;Create;Sales quote;;
7391;Customer;Review the Sales quote;Review;Sales quote;;
7392;student;Create process model;Create;process model;;
7393;teacher;Check process model;Check;process model;;
7394;team;Agree on domain;Agree on;domain;;
7395;student;Fix the homework;Fix;homework;;
7396;student;Extend the process;Extend;process;;
7397;student;Perform work on project;Perform;work on project;;
7398;teacher;check process;check;process;;
7399;teacher;Assign points;Assign;points;;
7400;teacher;Consult project;Consult;project;;
7401;teacher;assign student to team;assign;student to team;;
7402;team;Analyze process;Analyze;process;;
7403;team;Identifiy processes;;Identifiy processes;;
7404;team;Assign roles;Assign;roles;;
7405;team;Defend the project;Defend;project;;
7406;Business support;Support request analyzation;;Support request analyzation;;
7407;Business support;Business support request;;Business support request;;
7408;Business support;Provide answers;Provide;answers;;
7409;Business support;Provide training;Provide;training;;
7410;Business support;Provide qualified external consultant;Provide;qualified external consultant;;
7411;Business support;Send invoice;Send;invoice;;
7412;Technical support;Technical support request;;Technical support request;;
7413;Technical support;Problem solved;solved;Problem;Starts with subject;
7414;Technical support;Report to client;;Report to client;;
7415;Client;Request support;;Request support;;
7416;On call and email support;Support Request Analyzation;;Support Request Analyzation;;
7417;On call and email support;Provide answers;Provide;answers;;
7418;On call and email support;Send invoice;Send;invoice;;
7419;On call and email support;Report to client;;Report to client;;
7420;Client;Request Support;;Request Support;;
7421;Level 1 support staff;Forward the request to Level 2;Forward;request to Level 2;;
7422;Level 1 support staff;Resolve request;Resolve;request;;
7423;Level 1 support staff;Send a resolution to a client;Send;resolution to a client;;
7424;Level 2 employee;Prioritize request;Prioritize;request;;
7425;Level 2 employee;Research request;;Research request;;
7426;Level 2 employee;Send a resolution to Level 1;Send;resolution to Level 1;;
7427;Level 2 employee;Develop a resolution;Develop;resolution;;
7428;Level 1 support staff;Check request;Check;request;;
7429;Level 1 support staff;Forward request;;Forward request;;
7430;Level 1 support staff;Send resolution to client;Send;resolution to client;;
7431;Level 1 support staff;Receive customer feedback;Receive;customer feedback;;
7432;Level 1 support staff;Forward request for recheck;;Forward request for recheck;;
7433;Level 1 support staff;Mark request 'closed';closed;Mark request;Starts with subject;
7434;Level 1 support staff;Register request;;Register request;;
7435;Level 2 employee;Evaluate request;Evaluate;request;;
7436;Level 2 employee;Write request resolution;Write;request resolution;;
7437;Level 2 employee;Resolve request;Resolve;request;;
7438;Customer;Test resolution;;Test resolution;;
7439;Customer;E-mail results;;E|mail results;;
7440;Level 1 support staff;Prioritize request;Prioritize;request;;
7441;Business Architectural Team;Analyse and Compile Artefact;Analyse;Compile Artefact;Conjunctive clause;
7442;Business Architectural Team;Analyse Feedback;Analyse;Feedback;;
7443;Business Architectural Team;Draft Artefact;;Draft Artefact;;
7444;Business Architectural Team;Review existing architecture;existing;Review|architecture;Starts with subject;
7445;Business Architectural Team;Compile Plan;;Compile Plan;;
7446;Business Architectural Team;Define scope and plan;Define;scope|plan;Conjunctive clause;
7447;Business Architectural Team;Research Artefact;;Research Artefact;;
7448;Business Architectural Team;Asses Impact;;Asses Impact;;
7449;Business Architectural Team;Implement Plan;Implement;Plan;;
7450;Business Architectural Team;Finalise Artefact;Finalise;Artefact;;
7451;Business Architectural Team;Revise Document;;Revise Document;;
7452;ISB Management;Grant Approval;;Grant Approval;;
7453;Stakeholders;Review Plan;;Review Plan;;
7454;BPMC;Obtain Branch Approval;Obtain;Branch Approval;;
7455;BPMC;Approve Artefact;Approve;Artefact;;
7456;BPWG;Review Artefact;;Review Artefact;;
7457;EMT;Understand Implementation;Understand;Implementation;;
7458;Opportunity Initiator;Submit High Level Opportunity;Submit;High Level Opportunity;;
7459;Process Owner;Assess Opportunity;Assess;Opportunity;;
7460;Process Owner;Priortise Opportunity;;Priortise Opportunity;;
7461;Business Architectural Team;Receive Program Area of Work;Receive;Program Area of Work;;
7462;Business Architectural Team;Analyse Program;;Analyse Program;;
7463;Business Architectural Team;Develop Program Submission;Develop;Program Submission;;
7464;Business Architectural Team;Obtain Feedback;Obtain;Feedback;;
7465;BPMC;Review Sumbission;;Review Sumbission;;
7466;BPMC;Decide Program of Work;Decide;Program of Work;;
7467;BPWG;Study Program Details;;Study Program Details;;
7468;Business Architecture;Register Request;;Register Request;;
7469;Business Architecture;Check Compliance;Check;Compliance;;
7470;Business Architecture Team;Review Existing Architecture;Existing;Review|Architecture;Starts with subject;
7471;Business Architecture Team;Define Scope and Plan;Define;Scope|Plan;Conjunctive clause;
7472;Business Architecture Team;Undertake Research;Undertake;Research;;
7473;Business Architecture Team;Develop Approach;Develop;Approach;;
7474;Business Architecture Team;Assess Impact;Assess;Impact;;
7475;Business Architecture Team;Implement Plan;Implement;Plan;;
7476;Business Architecture Team;Carry out Consultation;Carry out;Consultation;;
7477;Business Architecture Team;Analyse Feedback;Analyse;Feedback;;
7478;Business Architecture Team;Draft Artefact;;Draft Artefact;;
7479;Business Architecture Team;Finalise Artefact;Finalise;Artefact;;
7480;Business Architecture Team;Revise Artefact;Revise;Artefact;;
7481;ISB Management;Review Plan;;Review Plan;;
7482;Process Owner;Review Process Opportunity;;Review Process Opportunity;;
7483;Business Architecture Team;Collate Program of Work;Collate;Program of Work;;
7484;Business Architecture Team;Update Program of Work;;Update Program of Work;;
7485;BPWG;Review Program Details;;Review Program Details;;
7486;BPMC;Approve Program of Work;Approve;Program of Work;;
7487;Credit Division;Asses Risk;;Asses Risk;;
7488;Credit Division;Request Approval;;Request Approval;;
7489;Credit Division;Accept Credit;Accept;Credit;;
7490;Credit Division;Reject Credit;Reject;Credit;;
7491;Credit Division;Collect Credit Information;Collect;Credit Information;;
7492;Accounting;Preparing Invoice;Preparing;Invoice;;
7493;Accounting;Send the Invoice to Customer;Send;Invoice to Customer;;
7494;Accounting;Check for Payment;Check for;Payment;;
7495;Accounting;Checking the reminders;Checking;reminders;;
7496;Accounting;closing order;;closing order;;
7497;Sales;Check Payment History;Check;Payment History;;
7498;Sales;Declining Message;Declining;Message;;
7499;Sales;Create new Customer;Create;new Customer;;
7500;Sales;Check Availability;Check;Availability;;
7501;Sales;getting ready for delivery;getting;delivery;;
7502;Sales;Sending Confirmation to Customer;Sending;Confirmation to Customer;;
7503;Logistics;Pack the Goods;Pack;Goods;;
7504;Logistics;Deliver the Goods;Deliver;Goods;;
7505;Production;Producing missing goods;Producing;missing goods;;
7506;Student;Fix the process until the next session;Fix;process until the next session;;
7507;Application processed;Received responses;Received;responses;;
7508;Application processed;Approve offer;Approve;offer;;
7509;Application processed;Application rejected;rejected;Application;Starts with subject;
7510;Application processed;Suspend process;Suspend;process;;
7511;Application processed;Request for information;;Request for information;;
7512;Application processed;Make offer;Make;offer;;
7513;Application processed;Minister's delegate decide to grant/ not;decide;Minister|delegate;Starts with subject;
7514;Application lodgement;Customer lodged application;lodged;Customer|application;Starts with subject;
7515;Application lodgement;Check document completion;Check;document completion;;
7516;Application lodgement;Application lodged at service center;lodged at;Application|service center;Starts with subject;
7517;Application lodgement;Entry made in TAS and filed at regional office;made in;Entry|TAS|regional office;Conjunctive clause;
7518;Application lodgement;End process;;End process;;
7519;Application investigation;Tenure application publicized through Government Gazette;publicized through;Tenure application|Government Gazette;Starts with subject;
7520;Application investigation;Stakeholder raise concerns;;Stakeholder raise concerns;;
7521;Application investigation;Review views;;Review views;;
7522;Views of stakeholders;Applicant examined views;examined;Applicant|views;Starts with subject;
7523;Views of stakeholders;Part of application documents;;Part of application documents;;
7524;Views of stakeholders;Department processes application;;Department processes application;;
7525;Views of stakeholders;Department itself seeks views;seeks;Department|views;Starts with subject;
7526;Views of stakeholders;Wait till response of views are received;Wait;response of views;;
7527;Sales;Send to Customer;Send to;Customer;;
7528;Sales;Generate Sales quote;Generate;Sales quote;;
7529;Financial;Add Overhead costs;Add;Overhead costs;;
7530;Financial;Generate Pricing options;Generate;Pricing options;;
7531;Engineering;Produce labor and material cost estimate;Produce;labor|material cost estimate;Conjunctive clause;
7532;Customer;Receive Invoices;Receive;Invoices;;
7533;Customer;Pay Invoices;Pay;Invoices;;
7534;Financial Department;Create Invoices;Create;Invoices;;
7535;Financial Department;Start invoicing;Start;invoicing;;
7536;Financial Department;Send Invoices;Send;Invoices;;
7537;HR;Prepare Assessment Candidate List;Prepare;Assessment Candidate List;;
7538;HR;Choose Assessment Candidates;Choose;Assessment Candidates;;
7539;HR;Load Assessment Tasks / Questions;;Load Assessment Tasks|Questions;;
7540;HR;Send Questions & Candidates;Send;Questions|Candidates;Conjunctive clause;
7541;HR;Send Out Assessment Invitations;Send Out;Assessment Invitations;;
7542;Department;Choose Assessment Question Pool;Choose;Assessment Question Pool;;
7543;Company (HR);Profile Pre-Filtering;;Profile Pre-Filtering;;
7544;Company (HR);Headhunt Candidates;;Headhunt Candidates;;
7545;Company (HR);Gather Letters of Application;Gather;Letters of Application;;
7546;techGate;calculate real costs;calculate;real costs;;
7547;techGate;send Bill;send;Bill;;
7548;techGate;check if money received;check;money;Condition;
7549;techGate;claim;;claim;;
7550;customer;pay bill;pay;bill;;
7551;customer;manual room decision;;manual room decision;;
7552;customer;online room search;;online room search;;
7553;customer;online request;;online request;;
7554;customer;phone request;;phone request;;
7555;customer;local request;;local request;;
7556;customer;choose room-decision type;choose;room -decision type;;
7557;customer;choose request type;choose;request type;;
7558;customer;confirmation;;confirmation;;
7559;customer;notify techgate (preferences, comopromise);notify;techgate|preferences|comopromise;Conjunctive clause;
7560;TechGate;evaluate request and preferences;evaluate;request|preferences;Conjunctive clause;
7561;TechGate;make offer;make;offer;;
7562;TechGate;make alternative offer;make;alternative offer;;
7563;TechGate;notify customer;notify;customer;;
7564;customer;customer checkIn;n;customer check;Starts with subject;
7565;customer;user room;;user room;;
7566;customer;checkOut;check;;;
7567;techgate;preperation room for use;;preperation room for use;;
7568;techgate;welcome customer;;welcome customer;;
7569;techgate;guiding tour;guiding;tour;;
7570;techgate;handover the room;handover;room;;
7571;techgate;check catering and other wishes;check;catering|other wishes;Conjunctive clause;
7572;techgate;fullfil wishes;;fullfil wishes;;
7573;techgate;handle checkOut;handle;check;;
7574;techgate;clean room;;clean room;;
7575;customer;Select Flight Criteria;Select;Flight Criteria;;
7576;customer;Get Flights;Get;Flights;;
7577;customer;Choose Flight;Choose;Flight;;
7578;customer;Choose Seats;Choose;Seats;;
7579;customer;Book Flight;;Book Flight;;
7580;customer;Cancel Flight;Cancel;Flight;;
7581;customer;Do you want to choose seats?;want;seats;Starts with subject;
7582;Department;Enter Job Profile;Enter;Job Profile;;
7583;HR;Extend Job Profile;Extend;Job Profile;;
7584;HR;Create Job Profile;Create;Job Profile;;
7585;HR;Choose Recruiting Channels;Choose;Recruiting Channels;;
7586;Company (HR);Publish Job Ad;Publish;Job Ad;;
7587;Company (HR);Profile Post-Screening;;Profile Post|Screening;;
7588;case-worker legal affairs;Initiate call for bids;Initiate;call for bids;;
7589;case-worker legal affairs;Verify bid;Verify;bid;;
7590;case-worker legal affairs;Add bidder to suppliers;Add;bidder to suppliers;;
7591;case-worker legal affairs;Inform bidder;Inform;bidder;;
7592;case-worker legal affairs;Inform supplier about quality failures;Inform;supplier about quality failures;;
7593;case-worker legal affairs;Investigate status of ordered goods;Investigate;status of|goods;;
7594;case-worker legal affairs;Check Bankruptcy- Register;Check;Bankruptcy|Register;;
7595;warehouse worker;Check received good(s);Check received;good;;
7596;warehouse worker;Reject goods;Reject;goods;;
7597;warehouse worker;Document case (text + photos);;Document case|text|photos;;
7598;warehouse worker;Receive goods;Receive;goods;;
7599;case-worker organization;Check enterprise compliance;Check;enterprise compliance;;
7600;case-worker organization;Determine financial feasibility;Determine;financial feasibility;;
7601;case-worker organization;Analyze demands attributes;Analyze;demands attributes;;
7602;case-worker organization;Plan for next budget year;;Plan for next budget year;;
7603;case-worker organization;Find suitable suppliers;Find;suitable suppliers;;
7604;case-worker organization;Order good(s);Order;;;
7605;case-worker organization;Inform not choosen suppliers;Inform;suppliers;;
7606;case-worker organization;Select supplier;Select;supplier;;
