Subject;Activity;Verb phrases;Noun phrases;Activity Combined;VerbPhrases;NounPhrases;ProperNouns
FeelWheel;updates the online catalogue for parts produced by Fami;updates;"FeelWheel;online catalogue for parts produced by Fami";FeelWheel updates the online catalogue for parts produced by Fami;updates|produces by;feelwheel|online catalogue for parts|fami;
FeelWheel;checks which of the available bikes close to envisioned configuration;checks;"FeelWheel;available bikes vlose to envisioned configuration";FeelWheel checks which of the available bikes close to envisioned configuration;checks|envisions;feelwheel|available bikes|configuration;
Customer;ask for an offer;asks for;"Customer;offer";Customer ask for an offer;asks for;customer|offer;
Customer;get new bike;gets;"Customer;new bike";Customer get new bike;gets;customer|new bike;
FeelWheel;calculate new price for bike;calculates;"FeelWheel;new price for bike";FeelWheel calculate new price for bike;calculates;feelwheel|new price for bike;
FeelWheel;give new bike to customer;gives;"FeelWheel;new bike to customer";FeelWheel give new bike to customer;gives;feelwheel|new bike to customer;
Fami;Deliver new bike to Pit;delivers;"Fami;new bike to Pit";Fami Deliver new bike to Pit;delivers;fami|new bike to pit;
Customer;Call the room service;calls;"Customer;room service";Customer Call the room service;calls;customer|room service;
Hotel;takes the order;takes;"Hotel;manager|order";Hotel takes the order;takes;hotel|order;
Hotel;order to fetch wine and prepare any other alcoholic beverages;"orders to fetch;prepares";"Hotel;wine;other alcoholic beverages";Hotel order to fetch wine and prepare any other alcoholic beverages;fetches|prepares;hotel order to|wine|other alcoholic beverages;
Costumer Services;Check audience;checks;"Costumer Services;audience";Costumer Services Check audience;checks;costumer services|audience;
Costumer Services;Check solvency;checks;"Costumer Services;solvency";Costumer Services Check solvency;checks;costumer services|solvency;
Costumer Services;integrate into database;integrates into;"Costumer Services;database";Costumer Services integrate into database;integrates into;costumer services|database;
Costumer Services;Check Costumer;checks;"Costumer Services;Costumer";Costumer Services Check Costumer;checks;costumer services|costumer;
Costumer Services;cancel order;cancels;"Costumer Services;order";Costumer Services cancel order;cancels;costumer services|order;
Sales & Logistics;Check Stock;checks;"Sales & Logistics;Stock";Sales & Logistics Check Stock;;sales|logistics check stock;
Sales & Logistics;Send goods;sends;"Sales & Logistics;goods";Sales & Logistics Send goods;sends;sales|logistics|goods;
Accountig Office;Send invoice;sends;"Accountig Office;invoice";Accountig Office Send invoice;sends;accountig office|invoice;
Accountig Office;Check payment;checks;"Accountig Office;payment";Accountig Office Check payment;;accountig office check payment;
Accountig Office;close order;closes;"Accountig Office;order";Accountig Office close order;;accountig office close order;
Accountig Office;Check number of reminders;checks;"Accountig Office;number of reminders";Accountig Office Check number of reminders;checks;accountig office|number of reminders;
Accountig Office;Send reminder;sends;"Accountig Office;reminder";Accountig Office Send reminder;sends;accountig office|reminder;
Accountig Office;contact lawyer;contacts;"Accountig Office;lawyer";Accountig Office contact lawyer;;accountig office contact lawyer;
Manufactoring;Produce goods;produces;"Manufactoring;goods";Manufactoring Produce goods;##gs produce;manufactorin|goods;
Logistics;Prepare Goods;prepares;"Logistics;Goods";Logistics Prepare Goods;prepares;logistics|goods;
Logistics;Pack Goods;packs;"Logistics;Goods";Logistics Pack Goods;packs;logistics|goods;
Logistics;Deliver Goods;delivers;"Logistics;Goods";Logistics Deliver Goods;delivers;logistics|goods;
Finance;Send invoice;sends;"Finance;invoice";Finance Send invoice;sends;finance|invoice;
Finance;Check incoming payment;checks;"Finance;incoming payment";Finance Check incoming payment;;finance check incoming payment;
Finance;Finish the order;finishes;"Finance;order";Finance Finish the order;finishes;finance|order;
Finance;Check number of reminders;checks;"Finance;number of reminders";Finance Check number of reminders;;finance check number of reminders;
Finance;Send reminder;sends;"Finance;reminder";Finance Send reminder;sends;finance|reminder;
Finance;Start Dunning Process (write of);starts;"Finance;Dunning Process";Finance Start Dunning Process (write of);starts|writes of;finance|dunning process;
Sales;Check Customer Type;checks;"Sales;Customer Type";Sales Check Customer Type;;sales check customer type;
Sales;Check solvency;checks;"Sales;solvency";Sales Check solvency;;sales check solvency;
Sales;Check type of ordered goods;checks;"Sales;type of|goods";Sales Check type of ordered goods;orders;sales check type|goods;
Sales;Send order status information;sends;"Sales;order status information";Sales Send order status information;sends;sales|order status information;
Sales;Check Stock Inventory;checks;"Sales;Stock Inventory";Sales Check Stock Inventory;checks;sales|stock inventory;
Sales Department;check customer data;checks;"Sales Department;customer data";Sales Department check customer data;checks;sales department|customer data;
Sales Department;choose customer data;chooses;"Sales Department;customer data";Sales Department choose customer data;chooses;sales department|customer data;
Sales Department;check kind of customer;checks;"Sales Department;kind of customer";Sales Department check kind of customer;;sales department check kind of customer;
Sales Department;check solvency of customer;checks;"Sales Department;solvency of customer";Sales Department check solvency of customer;;sales department check solvency of customer;
Sales Department;offer prepayment;offers;"Sales Department;prepayment";Sales Department offer prepayment;offers;sales department|prepayment;
Sales Department;check inventory;checks;"Sales Department;inventory";Sales Department check inventory;checks;sales department|inventory;
Logistics Department;pack goods;packs;"Logistics Department;goods";Logistics Department pack goods;packs;logistics department|goods;
Logistics Department;check payment agreement;checks;"Logistics Department;payment agreement";Logistics Department check payment agreement;;logistics department check payment agreement;
Logistics Department;deliver goods;delivers;"Logistics Department;goods";Logistics Department deliver goods;delivers;logistics department|goods;
Financial Department;check delivery status;checks;"Financial Department;delivery status";Financial Department check delivery status;;financial department check delivery status;
Financial Department;monitor in-payment;monitors in;"Financial Department;payment";Financial Department monitor in-payment;;financial department monitor|payment;
Financial Department;close order;closes;"Financial Department;order";Financial Department close order;;financial department close order;
Financial Accounting;Send invoice;sends;"Financial Accounting;invoice";Financial Accounting Send invoice;sends;financial accounting|invoice;
Financial Accounting;Check Payment;checks;"Financial Accounting;Payment";Financial Accounting Check Payment;;financial accounting check payment;
Financial Accounting;Close Order;closes;"Financial Accounting;Order";Financial Accounting Close Order;;financial accounting close order;
Financial Accounting;Check number of reminders;checks;"Financial Accounting;number of reminders";Financial Accounting Check number of reminders;;financial accounting check number of reminders;
Financial Accounting;Start dunning process;starts;"Financial Accounting;dunning process";Financial Accounting Start dunning process;;financial accounting start dunning process;
Financial Accounting;Send reminder;sends;"Financial Accounting;reminder";Financial Accounting Send reminder;sends;financial accounting|reminder;
Sales;Check Costumer;checks;"Sales;Costumer";Sales Check Costumer;;sales check costumer;
Sales;Check if Costumer is a wholesaler;checks;"Sales;Costumer|wholesaler";Sales Check if Costumer is a wholesaler;;sales check|costumer|wholesaler;
Sales;Save Data;saves;"Sales;Data";Sales Save Data;saves;sales|data;
Sales;Cancel Order;cancels;"Sales;Order";Sales Cancel Order;cancels;sales|order;
Production;Produce goods;produces;"Production;goods";Production Produce goods;produces;production|goods;
Logistic;Send goods;sends;"Logistic;goods";Logistic Send goods;sends;goods;
Warehouse;Check Stock;checks;"Warehouse;Stock";Warehouse Check Stock;;warehouse check stock;
Service Center;Welcome the customer and ask for his wants;"welcomes;asks for";"Service Center;customer|wants";Service Center Welcome the customer and ask for his wants;welcomes|asks for;service center|customer|wants;
Service Center;Send him to the advisery service;sends;"Service Center;advisery service";Service Center Send him to the advisery service;sends;service center|advisery service;
Advisery Service;Welcome the customer and ask what type of account he wants;welcomes;"Advisery Service;customer|type of account";Advisery Service Welcome the customer and ask what type of account he wants;welcomes|asks|wants;advisery service|customer|type of account;
Advisery Service;Open Saving Account;saves;"Advisery Service;Account";Advisery Service Open Saving Account;;advisery service open saving account;
Advisery Service;Ask if he wants something else;asks;"Advisery Service;if he wants something else";Advisery Service Ask if he wants something else;asks|wants;adviser|service;
Advisery Service;Ask for his Age;asks for;"Advisery Service;Age";Advisery Service Ask for his Age;asks for;advisery service|age;
Advisery Service;Open Time Deposit;opens;"Advisery Service;Time Deposit";Advisery Service Open Time Deposit;;advisery service open time deposit;
Advisery Service;Tell him that he is too young and ask if he wants another type;tells;"Advisery Service;type";Advisery Service Tell him that he is too young and ask if he wants another type;tells|asks|wants;advisery service|type;
Advisery Service;Open Credit;opens;"Advisery Service;Credit";Advisery Service Open Credit;;advisery service open credit;
Advisery Service;Tell him that he is tot young and ask if he wants another type;tells;"Advisery Service;type";Advisery Service Tell him that he is tot young and ask if he wants another type;tells|asks|wants;adviser|service|type;
Advisery Service;Thank him and bring him back to the foyer;thanks;"Advisery Service;foyer";Advisery Service Thank him and bring him back to the foyer;thanks|brings;advisery service|foyer;
Production;Production;;Production Production;Production Production;;production production;
Sales;Check Customer's Availabilities;checks;"Sales;Customer's Availabilities";Sales Check Customer's Availabilities;;sales check customer'|availabilities;
Sales;Enroll Customer;enrolls;"Sales;Customer";Sales Enroll Customer;enrolls;sales|customer;
Sales;Check Stock;checks;"Sales;Stock";Sales Check Stock;;sales check stock;
Sales;Send Invoice;sends;"Sales;Invoice";Sales Send Invoice;sends;sales|invoice;
Sales;Prepare Shipment;prepares;"Sales;Shipment";Sales Prepare Shipment;prepares;sales|shipment;
Sales;Packing Products;packs;"Sales;Products";Sales Packing Products;;sales packing products;
Sales;Reject;rejects;"Sales;nan";Sales Reject;;sales reject;
Finance;Check Credit;checks;"Finance;Credit";Finance Check Credit;;finance check credit;
Finance;Check Payment;checks;"Finance;Payment";Finance Check Payment;;finance check payment;
Finance;Reject;rejects;"Finance;nan";Finance Reject;;finance reject;
Customer Management;check customer;checks;"Customer Management;customer";Customer Management check customer;;customer management check customer;
Customer Management;check customer status;checks;"Customer Management;customer status";Customer Management check customer status;checks;customer management|customer status;
Customer Management;enter customer data;enters;"Customer Management;customer data";Customer Management enter customer data;enters;customer management|customer data;
Customer Management;reject order;rejects;"Customer Management;order";Customer Management reject order;rejects;customer management|order;
Customer Management;check credit bureau entries;checks;"Customer Management;credit bureau entries";Customer Management check credit bureau entries;checks;customer management|credit bureau entries;
Sales & Logistics;collect order data;collects;"Sales & Logistics;order data";Sales & Logistics collect order data;collects;sales|logistics|order data;
Sales & Logistics;send order confirmation;sends;"Sales & Logistics;order confirmation";Sales & Logistics send order confirmation;sends;sales|logistics|order confirmation;
Sales & Logistics;deliver article;delivers;"Sales & Logistics;article";Sales & Logistics deliver article;;sales|logistics deliver article;
Sales & Logistics;close order;closes;"Sales & Logistics;order";Sales & Logistics close order;;sales|logistics close order;
Warehousing;check availability;checks;"Warehousing;availability";Warehousing check availability;;warehousing check availability;
Warehousing;take article;takes;"Warehousing;article";Warehousing take article;;warehousing take article;
Accounting;check payment morale;checks;"Accounting;payment morale";Accounting check payment morale;;accounting check payment morale;
Accounting;send invoice;sends;"Accounting;invoice";Accounting send invoice;sends;accounting|invoice;
Accounting;check payment;checks;"Accounting;payment";Accounting check payment;;accounting check payment;
Accounting;check reminders;checks;"Accounting;reminders";Accounting check reminders;;accounting check reminders;
Accounting;send reminder;sends;"Accounting;reminder";Accounting send reminder;sends;accounting|reminder;
Accounting;engage a lawayer;engages;"Accounting;lawayer";Accounting engage a lawayer;engages;accounting|lawayer;
Accounting;reject order;rejects;"Accounting;order";Accounting reject order;;accounting reject order;
Production;produce article;produces;"Production;article";Production produce article;;production produce article;
help desk;check purpose of visit;checks;"help desk;purpose of visit";help desk check purpose of visit;;help desk check purpose of visit;
help desk;inform the account manager;informs;"help desk;account manager";help desk inform the account manager;informs;help desk|account manager;
account manager;create client account;creates;"account manager;client account";account manager create client account;creates;account manager|client account;
account manager;create personal data;creates;"account manager;personal data";account manager create personal data;creates;account manager|personal data;
account manager;create savings account;creates;"account manager;savings account";account manager create savings account;creates;account manager|savings account;
account manager;check needs;checks;"account manager;needs";account manager check needs;;account manager check needs;
Sales;confirm Order;confirms;"Sales;Order";Sales confirm Order;confirms;sales|order;
Sales;Create Order Denial;creates;"Sales;Order Denial";Sales Create Order Denial;creates;sales|order denial;
Sales;Price Negotiation;;Sales Price Negotiation;Sales Price Negotiation;;sales price negotiation;
Sales;Send offer;sends;"Sales;offer";Sales Send offer;sends;sales|offer;
Sales;Order Negotiation;;Sales Order Negotiation;Sales Order Negotiation;;sales order negotiation;
Sales;check database;checks;"Sales;database";Sales check database;;sales check database;
Logistics;Check Availability in Stock;checks;"Logistics;Availability in Stock";Logistics Check Availability in Stock;;logistics check availability in stock;
Logistics;Pack articles;packs;"Logistics;articles";Logistics Pack articles;;logistics pack articles;
Logistics;Send articles;sends;"Logistics;articles";Logistics Send articles;sends;logistics|articles;
Logistics;take out of stock;takes out;"Logistics;stock";Logistics take out of stock;takes;logistics|out of stock;
Finance Department;Generate Invoice;generates;"Finance Department;Invoice";Finance Department Generate Invoice;generates;finance department|invoice;
Finance Department;Check payment;checks;"Finance Department;payment";Finance Department Check payment;;finance department check payment;
Finance Department;Send Payment Confirmation;sends;"Finance Department;Payment Confirmation";Finance Department Send Payment Confirmation;sends;finance department|payment confirmation;
Finance Department;send new reminder;sends;"Finance Department;new reminder";Finance Department send new reminder;sends;finance department|new reminder;
Finance Department;Send invoice;sends;"Finance Department;invoice";Finance Department Send invoice;sends;finance department|invoice;
Sales;check customers;checks;"Sales;customers";Sales check customers;;sales check customers;
Sales;check customers age;checks;"Sales;customers age";Sales check customers age;;sales check customers age;
Sales;save customer data;saves;"Sales;customer data";Sales save customer data;saves;sales|customer data;
Sales;check credit status;checks;"Sales;credit status";Sales check credit status;;sales check credit status;
Sales;create customer account;creates;"Sales;customer account";Sales create customer account;creates;sales|customer account;
Sales;do not create an account;creates;"Sales;account";Sales do not create an account;creates;sales|account;
Sales;create a saving account;creates;"Sales;account";Sales create a saving account;creates;sales|saving account;
Sales;create a time desposit;creates;"Sales;time";Sales create a time desposit;creates;sales|time desposit;
Sales;create a current account;creates;"Sales;current account";Sales create a current account;creates;sales|current account;
Sales;check customer type;checks;"Sales;customer type";Sales check customer type;;sales check customer type;
Sales;refuse order;refuses;"Sales;order";Sales refuse order;refuses;sales|order;
Sales;apply customer to database;applies;"Sales;customer to database";Sales apply customer to database;applies;sales|customer to database;
Sales;send offer;sends;"Sales;offer";Sales send offer;sends;sales|offer;
Sales;customer refueses offer;offers;"Sales;customer refueses";Sales customer refueses offer;offers;sales customer refueses;
Sales;send confirmation of payment;sends;"Sales;confirmation of payment";Sales send confirmation of payment;sends;sales|confirmation of payment;
Warehouse;check stock;checks;"Warehouse;stock";Warehouse check stock;;warehouse check stock;
Financing;check solvency;checks;"Financing;solvency";Financing check solvency;;financing check solvency;
Financing;refuse order;refuses;"Financing;order";Financing refuse order;finances;refuse order;
Financing;check payment;checks;"Financing;payment";Financing check payment;;financing check payment;
Financing;prepare invoice;prepares;"Financing;invoice";Financing prepare invoice;prepares;financing|invoice;
Logistics;deliver invoice;delivers;"Logistics;invoice";Logistics deliver invoice;delivers;logistics|invoice;
Logistics;deliver goods;delivers;"Logistics;goods";Logistics deliver goods;delivers;logistics|goods;
Logistics;prepare order;prepares;"Logistics;order";Logistics prepare order;prepares;logistics|order;
Logistics;deliver order;delivers;"Logistics;order";Logistics deliver order;delivers;logistics|order;
Customer service;ask for customers needs;asks for;"Customer service;customers needs";Customer service ask for customers needs;asks for;customer service|customers needs;
Customer service;send to customer advisory;sends to;"Customer service;customer advisory";Customer service send to customer advisory;sends to;customer service|customer advisory;
Customer advisory;ask for kind of account;asks for;"Customer advisory;kind of account";Customer advisory ask for kind of account;asks for;customer advisory|kind of account;
Customer advisory;check age of customer;checks;"Customer advisory;age of customer";Customer advisory check age of customer;;customer advisory check age of customer;
Customer advisory;ask for customer data;asks for;"Customer advisory;customer data";Customer advisory ask for customer data;asks for;customer advisory|customer data;
Customer advisory;open account;opens;"Customer advisory;account";Customer advisory open account;;customer advisory open account;
Customer advisory;advice other account type;advices;"Customer advisory;other account type";Customer advisory advice other account type;;customer advisory advice other account type;
Customer advisory;ask for further needs;asks for;"Customer advisory;further needs";Customer advisory ask for further needs;asks for;customer advisory|further needs;
ABC Bank;Client enters bank;enters;"ABC Bank;Client|bank";ABC Bank Client enters bank;enters;abc bank client|bank;
ABC Bank;current account;;ABC Bank current account;ABC Bank current account;;abc bank current account;
ABC Bank;age?;;ABC Bank age;ABC Bank age?;;abc bank age;
ABC Bank;Declinement the inquiry;declinements;"ABC Bank;Declinement the inquiry";ABC Bank Declinement the inquiry;;abc bank declinement the inquiry;
ABC Bank;close inquiry;closes;"ABC Bank;inquiry";ABC Bank close inquiry;;abc bank close inquiry;
ABC Bank;save client data;saves;"ABC Bank;client data";ABC Bank save client data;saves;abc bank|client data;
Accounting;start production;starts;"Accounting;production";Accounting start production;;accounting start production;
Accounting;take article;takes;"Accounting;article";Accounting take article;;accounting take article;
Accounting;deliver product;delivers;"Accounting;product";Accounting deliver product;delivers;accounting|product;
Accounting;close order;closes;"Accounting;order";Accounting close order;;accounting close order;
Accounting;check number of reminders;checks;"Accounting;number of reminders";Accounting check number of reminders;;accounting check number of reminders;
Accounting;engage a lawyer;engages;"Accounting;lawyer";Accounting engage a lawyer;engages;accounting|lawyer;
Sales;reject order;rejects;"Sales;order";Sales reject order;rejects;sales|order;
Sales;collect order data;collects;"Sales;order data";Sales collect order data;collects;sales|order data;
Sales;send order confirmation;sends;"Sales;order confirmation";Sales send order confirmation;sends;sales|order confirmation;
Sales;send invoice;sends;"Sales;invoice";Sales send invoice;sends;sales|invoice;
Sales;check payment;checks;"Sales;payment";Sales check payment;;sales check payment;
Warehousing;check availability;checks;"Warehousing;availability";Warehousing check availability;;warehousing check availability;
Sales depatrtment;Check if customer already exists;checks;"Sales depatrtment;customer";Sales depatrtment Check if customer already exists;checks|exists;sales depa|##tment|customer;
Sales depatrtment;Check credit status;checks;"Sales depatrtment;credit status";Sales depatrtment Check credit status;;sales depa|##tment check credit status;
Sales depatrtment;Check customer requiremets;checks;"Sales depatrtment;customer requiremets";Sales depatrtment Check customer requiremets;;sales depatrtment check customer requiremets;
Sales depatrtment;Create customer in database;creates;"Sales depatrtment;customer in database";Sales depatrtment Create customer in database;creates;sales depatrtment|customer in database;
Sales depatrtment;Deny customer;denies;"Sales depatrtment;customer";Sales depatrtment Deny customer;denies;sales depatrtment|customer;
Sales depatrtment;Deny order;denies;"Sales depatrtment;order";Sales depatrtment Deny order;denies;sales depa|##tment|order;
Sales depatrtment;Check availability;checks;"Sales depatrtment;availability";Sales depatrtment Check availability;;sales depatrtment check availability;
Sales depatrtment;Generate order confirmation;generates;"Sales depatrtment;order confirmation";Sales depatrtment Generate order confirmation;generates;sales depatrtment|order confirmation;
Sales depatrtment;Generate invoice;generates;"Sales depatrtment;invoice";Sales depatrtment Generate invoice;generates;sales depatrtment|invoice;
Sales depatrtment;Send invoice;sends;"Sales depatrtment;invoice";Sales depatrtment Send invoice;sends;sales depa|##tment|invoice;
Sales depatrtment;Check payment;checks;"Sales depatrtment;payment";Sales depatrtment Check payment;;sales depa|##tment check payment;
Sales depatrtment;Check no. of reminders;checks;"Sales depatrtment;no. of reminders";Sales depatrtment Check no. of reminders;;sales depa|##tment check no|reminders;
Sales depatrtment;Send reminder;sends;"Sales depatrtment;reminder";Sales depatrtment Send reminder;sends;sales depatrtment|reminder;
Sales depatrtment;Confirm payment;confirms;"Sales depatrtment;payment";Sales depatrtment Confirm payment;confirms;sales depatrtment|payment;
Warehouse;Pick articles from storage;picks;"Warehouse;articles from storage";Warehouse Pick articles from storage;picks;warehouse|articles from storage;
Warehouse;Pack articles;packs;"Warehouse;articles";Warehouse Pack articles;;warehouse pack articles;
Warehouse;Send articles;sends;"Warehouse;articles";Warehouse Send articles;sends;warehouse|articles;
Sales;Check Customer Data;checks;"Sales;Customer Data";Sales Check Customer Data;;sales check customer data;
Sales;Check customer requirements;checks;"Sales;customer requirements";Sales Check customer requirements;;sales check customer requirements;
Sales;deny customer;denies;"Sales;customer";Sales deny customer;denies;sales|customer;
Sales;create customer;creates;"Sales;customer";Sales create customer;creates;sales|customer;
Sales;generate order confirmation;generates;"Sales;order confirmation";Sales generate order confirmation;generates;sales|order confirmation;
Accounting;check solvency;checks;"Accounting;solvency";Accounting check solvency;;accounting check solvency;
Accounting;generate Invoice;generates;"Accounting;Invoice";Accounting generate Invoice;generates;accounting|invoice;
Accounting;send Invoice;sends;"Accounting;Invoice";Accounting send Invoice;sends;accounting|invoice;
Accounting;check No. of reminders;checks;"Accounting;No. of reminders";Accounting check No. of reminders;;accounting check no|reminders;
Accounting;finish order;finishes;"Accounting;order";Accounting finish order;;accounting finish order;
Dispositon;check availability;checks;"Dispositon;availability";Dispositon check availability;;dispositon check availability;
Logistics;pick order;picks;"Logistics;order";Logistics pick order;;logistics pick order;
Logistics;pack articles;packs;"Logistics;articles";Logistics pack articles;;logistics pack articles;
Logistics;handover to express company;handovers to;"Logistics;express company";Logistics handover to express company;;logistics handover to express company;
Logistics;send shipping information;sends;"Logistics;shipping information";Logistics send shipping information;sends;logistics|shipping information;
Sales;enter customer data;enters;"Sales;customer data";Sales enter customer data;enters;sales|customer data;
Warehousing;deliver product;delivers;"Warehousing;product";Warehousing deliver product;delivers;warehousing|product;
bank;contact client;contacts;"bank;client";bank contact client;;bank contact client;
bank;check client pers. data;checks;"bank;client pers. data";bank check client pers. data;;bank check client pers|data;
bank;offer savings account;offers;"bank;savings account";bank offer savings account;;bank offer savings account;
bank;offer time desposits;offers;"bank;time desposits";bank offer time desposits;;bank offer time desposits;
bank;offer current account;offers;"bank;current account";bank offer current account;offers;bank|current account;
bank;ask desired accounts;asks;"bank;desired accounts";bank ask desired accounts;asks desired;bank|accounts;
bank;open selected accounts;selects;"bank;accounts";bank open selected accounts;selects;bank|accounts;
Finance;Check solvency;checks;"Finance;solvency";Finance Check solvency;;finance check solvency;
Finance;accepting order;accepts;"Finance;order";Finance accepting order;accepts;finance|order;
Finance;Cancel the order;cancels;"Finance;order";Finance Cancel the order;cancels;finance|order;
Finance;check the reminder;checks;"Finance;reminder";Finance check the reminder;checks;finance|reminder;
Finance;send reminder;sends;"Finance;reminder";Finance send reminder;sends;finance|reminder;
Finance;go to court;goes to;"Finance;court";Finance go to court;goes to;finance|court;
Finance;finish the order;finishes;"Finance;order";Finance finish the order;finishes;finance|order;
Sales;Save customer data;saves;"Sales;customer data";Sales Save customer data;saves;sales|customer data;
Sales;Cancel the order;cancels;"Sales;order";Sales Cancel the order;cancels;sales|order;
Sales;Check customer status;checks;"Sales;customer status";Sales Check customer status;;sales check customer status;
Sales;Create order confirmation;creates;"Sales;order confirmation";Sales Create order confirmation;creates;sales|order confirmation;
Sales;prepare invoice;prepares;"Sales;invoice";Sales prepare invoice;prepares;sales|invoice;
Sales;check for payment;checks for;"Sales;payment";Sales check for payment;;sales check for payment;
Warehouse;Check stock;checks;"Warehouse;stock";Warehouse Check stock;;warehouse check stock;
Warehouse;production;;Warehouse production;Warehouse production;;warehouse production;
Warehouse;get articels;gets;"Warehouse;articels";Warehouse get articels;gets;warehouse|articels;
Warehouse;deliver goods;delivers;"Warehouse;goods";Warehouse deliver goods;delivers;warehouse|goods;
Logistic;take goods;takes;"Logistic;goods";Logistic take goods;takes;goods;
restaurant;Ask for free table;asks for;"restaurant;free table";restaurant Ask for free table;asks for;restaurant|free table;
restaurant;take a seat;takes;"restaurant;seat";restaurant take a seat;takes;restaurant|seat;
restaurant;leave the restaurant;leaves;"restaurant;restaurant";restaurant leave the restaurant;leaves;restaurant|restaurant;
restaurant;look at the menu;looks at;"restaurant;menu";restaurant look at the menu;looks at;restaurant|menu;
restaurant;order a salad;orders;"restaurant;salad";restaurant order a salad;orders;restaurant|salad;
restaurant;order a tiramisu;orders;"restaurant;tiramisu";restaurant order a tiramisu;orders;restaurant|tiramisu;
restaurant;order red wine;orders;"restaurant;red wine";restaurant order red wine;;restaurant order red wine;
restaurant;eat;eats;"restaurant;nan";restaurant eat;;restaurant eat;
restaurant;ask for bill;asks for;"restaurant;bill";restaurant ask for bill;asks for;restaurant|bill;
restaurant;pay the bill;pays;"restaurant;bill";restaurant pay the bill;pays;restaurant|bill;
Itlian Restaurant;Take a seat and ask for the menu;takes;"Itlian Restaurant;seat|menu";Itlian Restaurant Take a seat and ask for the menu;takes|asks for;itlian restaurant|seat|menu;
Itlian Restaurant;Order a glass of red wine;orders;"Itlian Restaurant;glass of red wine";Itlian Restaurant Order a glass of red wine;orders;itlian restaurant|glass of red wine;
Itlian Restaurant;Order a salad;orders;"Itlian Restaurant;salad";Itlian Restaurant Order a salad;orders;itlian restaurant|salad;
Itlian Restaurant;Ask for kinds of desserts;asks for;"Itlian Restaurant;kinds of desserts";Itlian Restaurant Ask for kinds of desserts;asks for;itlian restaurant|kinds of desserts;
Itlian Restaurant;Order a desert;orders;"Itlian Restaurant;desert";Itlian Restaurant Order a desert;orders;itlian restaurant|desert;
Itlian Restaurant;Do not order a desert;orders;"Itlian Restaurant;desert";Itlian Restaurant Do not order a desert;orders;itlian restaurant|desert;
Itlian Restaurant;Ask for the bill;asks for;"Itlian Restaurant;bill";Itlian Restaurant Ask for the bill;asks for;itlian restaurant|bill;
Itlian Restaurant;Pay the bill;pays;"Itlian Restaurant;bill";Itlian Restaurant Pay the bill;pays;itlian restaurant|bill;
Client;check desert menu;checks;"Client;desert menu";Client check desert menu;;client check desert menu;
Client;take seat;takes;"Client;seat";Client take seat;takes;client|seat;
Client;order salad;orders;"Client;salad";Client order salad;orders;client|salad;
Client;order wine;orders;"Client;wine";Client order wine;orders;client|wine;
Client;order tiramisu;orders;"Client;tiramisu";Client order tiramisu;;client order tiramisu;
Client;order no desert;orders;"Client;desert";Client order no desert;orders;client|desert;
Client;have dinner;has;"Client;dinner";Client have dinner;has;client|dinner;
Client;ask for bill;asks for;"Client;bill";Client ask for bill;asks for;client|bill;
Client;pay bill;pays;"Client;bill";Client pay bill;pays;client|bill;
Client;get wine;gets;"Client;wine";Client get wine;gets;client|wine;
Client;get dinner;gets;"Client;dinner";Client get dinner;gets;client|dinner;
Restaurant;Ask for free table;asks for;"Restaurant;free table";Restaurant Ask for free table;asks for;restaurant|free table;
Restaurant;take a seat;takes;"Restaurant;seat";Restaurant take a seat;takes;restaurant|seat;
Restaurant;leave restaurant;leaves;"Restaurant;restaurant";Restaurant leave restaurant;;restaurant leave restaurant;
Restaurant;take a look at the menu;takes;"Restaurant;look at the menu";Restaurant take a look at the menu;takes;restaurant|look at the menu;
Restaurant;order red wine;orders;"Restaurant;red wine";Restaurant order red wine;;restaurant order red wine;
Restaurant;order tiramisu;orders;"Restaurant;tiramisu";Restaurant order tiramisu;;restaurant order tiramisu;
Restaurant;order salad;orders;"Restaurant;salad";Restaurant order salad;;restaurant order salad;
Restaurant;eat;eats;"Restaurant;nan";Restaurant eat;;restaurant eat;
Restaurant;pay the bill;pays;"Restaurant;bill";Restaurant pay the bill;pays;restaurant|bill;
Restaurant;leave;leaves;"Restaurant;nan";Restaurant leave;;restaurant leave;
Manager;Check Alternative Arrangement;checks;"Manager;Alternative Arrangement";Manager Check Alternative Arrangement;checks;manager|alternative arrangement;
PayPal Client;Access PayPal Sign Up Page;accesses;"PayPal Client;PayPal Sign Up Page";PayPal Client Access PayPal Sign Up Page;signs up;paypal client access paypal|page;
PayPal Client;Determine the type of Payment details to be added;determines;"PayPal Client;type of Payment details";PayPal Client Determine the type of Payment details to be added;determines|adds;paypal client|type of payment details to;
PayPal Client;Determine PayPal Account Type;determines;"PayPal Client;PayPal Account Type";PayPal Client Determine PayPal Account Type;determines;paypal client|paypal account type;
PayPal Client;Select Personal Account Type;selects;"PayPal Client;Personal Account Type";PayPal Client Select Personal Account Type;selects;paypal client|personal account type;
PayPal Client;Select Premium Account Type;selects;"PayPal Client;Premium Account Type";PayPal Client Select Premium Account Type;selects;paypal client|premium account type;
PayPal Client;Enter Login Details;enters;"PayPal Client;Login Details";PayPal Client Enter Login Details;enters;paypal client|login details;
PayPal Client;Enter Personal Details;enters;"PayPal Client;Personal Details";PayPal Client Enter Personal Details;enters;paypal client|personal details;
